Turn,Speaker,Utterence
1,F1:,..我是覺得.. OK 啊..因為他們…年紀大所以要快一點
2,F2:,..我們隔壁也是啊..有一個三個月了
3,F1:,...然後呢
4,F2:,..沒有..很可愛
5,F1:,..你說小朋友嗎
6,F2:,..對
7,F1:,..我還以為有人[三個月]
8,F2:,[XX]我還(刪除)想邀他過來賞月呢
9,F1:,..那他有哭吧
10,F2:,..一定的啊..平常[[那麼黏<L3阿媽 ((外婆)) L3>]]
11,F1:,[[如果你邀他來賞月]]..他一定會哭吧..因為他又不認識妳
12,F2:,..住在隔壁..怎麼不認識..大家是鄰居..不要這麼見外
13,F1:,..um..eh..那如果..不常來呢
14,F2:,..說實在..我也不常在家[@@@]
15,F1:,[@@@]..對啊..所以我覺得還好
16,F2:,..平常<L3阿媽 ((外婆)) L3>帶..比較乖..那天<L3阿媽 ((外婆)) L3>走了之後..去溪頭玩..就…[[哭得]]
17,F1:,[[溪頭]]喔..[[[是去]]]洗頭..還是去溪頭
18,F2:,[[[哭得]]]去溪頭玩啦..去洗頭..去溪頭玩
19,F1:,..喔
20,F2:,..對
21,F1:,..eh..我那天怎麼聽成洗[洗頭]
22,F2:,[不是洗頭]..是去溪頭玩..結果<L3阿媽 ((外婆)) L3>..結果那小孩就一直哭
23,F1:,..對啊..我一直以為是洗頭..我想說[[奇怪..怎麼洗個頭需要]]哭成那樣
24,F2:,[[不是...不是]]..不是不是不是…是溪頭
25,F1:,..@@@還好啦..那
26,F2:,..um
27,F1:,..就…沒甚麼...就..你昨天跟我講說..那個…小叮噹的磁鐵還缺甚麼.. Cambodia
28,F2:,..喔..不是.. Cambodia我有了..我還多呢
29,F1:,..要不然呢
30,F2:,..我..缺很多耶…缺埃及的啦…[除了]埃及..你那邊還有甚麼
31,F1:,[埃及] …你..你要講啊..因為
32,F2:,…埃及的…還有…有墨西哥嗎
33,F1:,...墨西哥..有吧..有..埃及[[應該也有]]
34,F2:,[[<X埃及我就沒有X>]]..我..我在家裡的有兩個台灣的
35,F1:,..um
36,F2:,..然後..有俄羅斯..有...澳洲..巴西
37,F1:,…就一個一個嘛
38,F2:,..對..都一個一個..秘魯..然後智利也有...其實我還蠻多沒有的啦..[甚麼春]夏秋冬..甚麼特別版..那個我都沒有
39,F1:,[我也是啊] ..如果沒有..再跟別人<L3 A L3>啊
40,F2:,..跟他小四的要啊..[[他們]]就是
41,F1:,[[他們]]春夏秋冬那種就比較少..就是那種..隱藏版
42,F2:,..沒關係..我先把那個..國家的收齊
43,F1:,..可是很多都…像..我就覺得很奇怪…俄羅斯..我就沒有看到它有重複的…舉例啦..然後..有一些還有
44,F2:,..有啊..我上次還...eh..你那裡有俄羅斯嗎..[我這邊好像]還有多一個
45,F1:,[沒有啊] ..沒有啊..就是..沒有重複的啊..上次周魁怡..我給她一個小叮鈴...[[就是她]]..就是那小四他們家
46,F2:,[[喔喔]]..人物版那個嗎
47,F1:,..對啊
48,F2:,..我回去幫你找找看..我記得我那邊好像[還有很多這種的]
49,F1:,[因為他]..收集到那個…就是..他說..他有去買那個版子啊
50,F2:,..um
51,F1:,..你有看過吧..那種版子..打開的那一種
52,F2:,..um
53,F1:,..然後就..喔他很早就收集好了
54,F2:,..你不是說..你是說小四的嗎
55,F1:,..um
56,F2:,…然後他收集好了
57,F1:,..很早就
58,F2:,..他怎麼收集到的...[[我現在]]
59,F1:,[[就一直去]] Seven買東西啊
60,F2:,..沒有..我發覺..有一些 Seven..它是某種特定的磁鐵會比較多一點..比如說..這地方..這一個就很多
61,F1:,..對啊對啊對啊
62,F2:,..然後[另外一個地方]
63,F1:,[所以它很多]重複啊..像
64,F2:,..對啊
65,F1:,..很多東西都重複..uh..它好像是…因為我叔叔會去…有時候會..台北台中..就是南北..這樣就是幫忙運貨啊…什麼
66,F2:,..所以[[就]]
67,F1:,[[然後]]他常常..他一定會去 Seven啊..他每天都會去 Seven買東西..那你看..南北運貨這樣子..全台灣就有[[[了]]]
68,F2:,[[[難]]]怪可以這樣收集
69,F1:,..而且..他不只國家喔...還有春夏秋冬…剩下他全部都..那個…還有..各個甚麼人物..還有那個...百寶
70,F2:,..好厲害喔
71,F1:,..百寶箱那個喔..就是..他的道具啊...就是..anyway..就是他收齊了一套..我說的齊是..很齊的那種..全部都有的那種
72,F2:,…是喔..所以..那現在有甚麼..國家的..春夏秋冬的
73,F1:,..還有人物啊..比如說小叮鈴..[阿福技安]那種
74,F2:,[小叮噹]..小叮鈴那種人物的..然後還..還有呢
75,F1:,..還有就是..他的那個道具啊..小叮噹的道具..有六種
76,F2:,..甚麼道具
77,F1:,..就是比如說..[[任意門啊]]
78,F2:,[[百寶袋]]..竹蜻蜓喔
79,F1:,..我基本上我沒看清楚
80,F2:,..時光機
81,F1:,..因為就貼滿滿的啊
82,F2:,..所以就是
83,F1:,..然後其他的..他就..拿這樣一大疊..不是..一大袋..然後就… eh..有沒有缺之類的..因為他有時候會跟…我…啊..啊..我嬸嬸會跟那個啊..她的同事有沒有..大家 share
84,F2:,..你嬸嬸是做甚麼的..[老師]
85,F1:,[在]..不是..在那個… Canon..就照相機[[那一個]]
86,F2:,[[uh]] uhuh
87,F1:,.. Canon那邊去…就是那邊的...[[[作業員]]]吧..我在想..應該是作業員
