Turn,Speaker,Utterance
1,F2:,..上課啊像他們幼稚...幼年班...秩序太差...惠..瑩去看完下再下來她覺得..ha我們幼稚班真的[好乖喔]
2,F1:,[@@]你們班蠻皮的都拿..都..都..都丟上來了..哎呀
3,F2:,...她今天一下來看到我下..剛好下了課她說...ha我們幼稚班真的是太乖了
4,F1:,...那[[章]]有空嘛..上來看看嘛
5,F2:,[[哪有]]
6,M:,..我..[[[都在那個]]]
7,F2:,[[[他現在..他現在訓練他們]]]當...翻譯
8,M:,..<L3 嘿 ((對)) L3>
9,F1:,..那怎麼...怎麼讓他們練哪
10,M:,..<L3 啊就坐彼 ((啊就坐在那)) L3>..婦幼室...<L3內底啊((裡面啊)) L3>…<L3 啊亻因去開的就((啊就因為去開的人就)) L3>..都是翻譯啊..上面唸一下他們就底下跟著唸一下
11,F1:,..全部[的人]
12,F2:,[跟著一起翻對]
13,M:,...啊b-..不對啊他就是可能就一個人五分鐘五分鐘這樣子啊
14,F1:,...喔
15,M:,..一個人五分鐘或一個人十分鐘<L3 按呢 ((這樣)) L3>跟著
16,F1:,..今天的很難翻耶
17,M:,...今天沒有啦
18,F2:,...今
19,M:,..今天..國語翻台語他們哪有辦法..台語翻國語都那麼難了
20,F1:,...對啊..而且他又講得很長
21,F2:,..[是喔]
22,M:,[而且他]而且他講的<L3 乎 ((齁)) L3>..有的..真的是
23,F2:,..今天是[[早上]]
24,F1:,[[重點]]很難抓
25,F2:,..早上有...下午都是..德國那一個嗎
26,M:,..[對對對]
27,F1:,[對對對]
28,M:,...而且他講的有點在類似聊天那種感覺..你抓不到..抓不到一個
29,F2:,..一個段落
30,F1:,...因為他常常常常講...[[四五段]]
31,M:,[[講這邊也<L3 嘛想說 ((講這邊也是想說)) L3>]]這邊講又跳那邊..跳那邊..跳那邊這樣子啊
32,F1:,...hen講了七八..可能講了六七段七八段你就把..再把..用一些話再把它講完而且又講台語
33,F2:,..是喔..喔真是為難大家了
34,F1:,..對..因為我都覺得說唉唷..我沒有辦法把他...把他講的話然後我自己再把他講出來..我就覺得他們能夠翻出來那真是不簡單eh
35,F2:,...XXX那請問今天下午是誰
36,M:,..禎
37,F1:,..禎[也]..也..也不錯啦
38,F2:,[@@]
39,F2:,...禎..禎已經翻那麼多年了
40,F1:,...對
41,F2:,...喔<X 那禎大哥是問 X>...彥就有說了還好今天是章[[啊]]
42,F1:,[[對]] ..因為他真的...講台語的很難翻
43,F2:,...彥有沒有快嚇死了..他說還好
44,F1:,...沒...接錯了
45,M:,...他就是說上個禮拜沒辦法..他要洗禮[場]
46,F2:,[他]要洗禮[[場]]..啊只好跟他換哪
47,F1:,[[he ((對))]]
48,F1:,..那是..沒辦法你自己自投羅網就算了...@@@=
49,F2:,...唉呦
50,F1:,...um幼年班啊..幼年班啊還好我上...下..下禮..拜上去看看...因為我mts
51,F2:,..妳很久沒課了
52,F1:,...<L3 嘿 ((對)) L3>..我兩個月沒課
53,F2:,..啊..為什麼
54,F1:,...@@我排了兩次課...然後再來就是噔噔噔噔噔噔噔..[複習]
55,F2:,[妳怎麼那麼幸福]
56,F1:,eh我是熬過來的什麼幸福...[[拜託]]
57,F2:,[[妳要不要看看]]我們的課表好不好@@
58,F1:,...妳要不要上...妳要不要上複習課啊
59,F2:,...我也有上到複習課[eh]
60,F1:,[我總]複習耶...那兩個月的課我...[[全]]
61,F2:,[[啊你們]]你們只有一次總複習喔
62,F1:,..兩次啦兩次
63,F2:,..啊對啊...那哪有兩個月...我們一季也才三個月妳少那個[@@]
64,F1:,[eh]我兩個月我真的兩個月啊...我前面排一個月排了一個頭一個...就是[[一個月的頭]]
65,F2:,[[對啊]]
66,F1:,..[然後在之後]
67,F2:,[那總複習也才]一半啊...[[一個半月而已啊]]
68,F1: ,[[沒有啊沒有沒有]]我第五課複習
69,F2:,...你們為什麼是第五課..不是十二課嗎
70,F1:,..不一定第五課是複習...[然後]再下再下來都是課
71,F2:,[是喔]
72,F1:,...[[喂]]
73,F2:,[[he]]
74,F1:,..我是熬過[來的耶]
75,F2:,[什麼妳是]熬過來的 ...人家我..我們這個是...臨時的..什麼都要做耶
76,F1:,...我知道啊...我我..我什麼都做啊..我[[只是]]那個
77,F2:,[[今天那個]]
78,F1:,...我只是..教唱不..不敢教那個而已..[不敢領詩而已]
79,F2:,[今天那個今天..今天]
80,F2:,..上課..開始..要開始上課了...eh...媺還沒出現..司琴沒人我說...好啦好啦...我來吧...結果說..她說..我去..洗手間不舒服..我說那妳早點跟我講..我就會直接來幫妳先司琴
81,F1:,..喔媺是不舒服喔..啊她還去買菜[[還跟..幫廚房買菜]]
82,F2:,[[她明天是喔]]
83,F1:,...對啊明天是她主..主廚啊...她又怎麼了...[[[不知道]]]
84,F2:,[[[不知道]]]不知道
85,F1:,...喔...這樣子喔...我看她還在那邊買菜耶..我想說還好
86,F2:,...是喔..有啊本來那天不是說要去中壢後來沒去啊
87,F1:,..她..她不一..沒有沒有沒有她說..明天好天氣的話她就去中壢...下雨的話她就會過來幫忙
88,F2:,...是喔
89,F1:,...m
90,F2:,..那明天不就又人很少
91,F1:,...明天人應該少
92,F2:,...啊真..珍他們是明天早上下去
93,F1:,...珍不去啊
94,F2:,..她不去...卓喔
95,F1:,..對啊
96,F2:,..[她不是要去嗎]
97,F1:,[她不能去啊]
98,F2:,..沒有嗎
99,F1:,..她沒有要去...珍她負責的她怎麼去
100,F2:,...是喔...我好像以為她..本來要去
101,F1:,..沒有沒有她沒有去...然後..她..幫我的名字換給別人啊..那我如果沒事啊..我就在廚房啊...啊我想說妳應該不會睡十二..超過十二個小時吧
102,F2:,..不知道eh
103,F1:,..對啊明天是兩點的[[事啊]]
104,M:,[[他說藥]]...盡量不要吃兩倍劑量
105,F1:,..兩倍劑量才一顆啊...還好啊
106,F2:,..他都沒睡久的
107,F1:,..對啊..那睡...頂多睡十二個小時嘛..啊蔡..她跟蔡一樣了啦..反正吃了就是大概睡也是..那幾個小時啦...天亮就起來了...不會睡太久的啦..頂多[十二個小時]
108,M:,[<L3 提一粒我食看覓啊 L3>]
109,F2:,..你不用吃就已經睡成那個樣子了還要[[吃]]
110,M:,[[哪有]]
111,F2:,..開什麼玩笑
112,M:,哪有...我吃吃看..看看真的..會不會睡著...那個真的會睡著[嗎]
113,F1:,[會]
114,F2:,...會..可是很慢真的我很慢我昨天晚上吃了喔...我昨天晚上是再把那個把...因為..我昨天晚上不是才把課本拿回去嗎..可是我起碼要讀吧
115,F1:,..m
116,F2:,..我昨天晚上把它讀一讀然後上網看一看..就是有沒有圖片什麼的..再..再..再..再找...我..大概..十我十一點半左右...我想說好...我應該半個小時至一個小時之內我可以把它全部弄完..我十一點半就把藥吃了
117,M:,..啊那個吃了之後..也是妳要去睡他才會睡著..妳如果不想睡妳這樣撐著他也不會[睡]
118,F2:,[不會]不會...可是昨天到後來電腦已經沒辦法看了
119,M:,...就..就..[[真的就]]
120,F2:,[[那個]你的..你的...你的頭..頭腦的指揮沒有辦法到手上
121,F1:,[[神智不清]]
122,F1:,...<L3 嘿 ((對)) L3>會神智[不太清楚]
123,M:,[真的會像那個]電影裡面這樣子吃了就是
124,F2:,..[[沒..沒那麼誇張]]啦
125,F1:,[[沒有啦我]]
126,F1:,..我們又不是什麼..什麼那個搖頭丸..[FM2的]
127,F2:,[對又不是什麼]那個什麼什麼[[那個的]]
128,F1:,[[不是]]
129,F1:,..你會覺得說你的腦筋沒有辦法集中
130,F2:,...[就是你的]
131,M:,[可是]妳如果不想睡妳還是可以不睡
132,F2:,..不[[行]]
133,F1:,[[不]]是你會不舒服
134,F2:,..你已經粉..粉不舒服了..你的頭就一直會..會一直...眼睛想要閉起來..你頭要一直點
135,F1:,..對
136,M:,..那你[撐]
137,F2:,[我昨天已經]
138,M:,..撐也撐不住嗎
139,F1:,..我們幹嘛要撐啊..[[既然要吃]]
140,F2:,[[我幹麻要撐啊]]我就會..我都想要睡了我[幹嘛要撐啊]
141,M:,[不是啦]我想要試試看
142,F2:,..真是無聊
143,M:,..[[看看有沒有意志力比較強]]
144,F2:,[[我昨天後來]]
145,F2:,..他們還要跟我聊天..我已經沒有辦法跟他那個..我跟他說我的手..已經沒有辦法再打..打下去了
146,F1:,好啦改改天再給他吃一顆啦
147,M:,...<L3妳提一粒乎我食看覓 ((你拿一顆給我吃吃看)) L3>
148,F1:,..<L3 毋好啦... 明仔載愛做工課喂 ((不好啦...明天要做工作啊)) L3>
149,F2:,...<L3 你明仔載愛較早來((妳明天要比較早來)) L3>
150,F1:,..對啊明天要做事情..明天有那十點有靈修會啊..你忘記囉
151,F2:,...你早點來請..來找他們吃早餐
152,M:,...<L3 啊妳咧((那妳呢)) L3>
153,F2:,...我...我多睡一點啊
154,M:,...<L3 我毋就[等妳((我不就等你)) L3>]
155,F2:,[我再出][[來]]
156,M:,[[<L3 我會使]][[[等妳 L3>]]]
157,F2:,[[[我再出來]]]就好了
158,M:,..我一定要等妳
159,F2:,..我要再出來就好了
160,M:,..我一定要等妳
161,F2:,..不用
162,M:,..<L3無要緊((沒關係)) L3>
163,F2:,...不然這樣子我這樣子..我昨天晚上是真的..已經撐不住了...他們還跟我問..問話..我就跟他說..我沒有辦法再回答你了...因為已經打不動了...這個..頭..頭腦的指令沒有辦法到[手]
164,F1:,[對]
165,F1:,會有點..不是..不是說神智不清啦..就是...但是已經..[[那種ji-]]
166,M:,[[<L3 妳妳有食過喔((你是有吃過喔)) L3>]]
167,F1:,..有啊
168,M:,..啊妳如果吃了那個..快要睡的時候妳再去..沖個熱水澡這樣提神這樣子會不會..[就這樣]
169,F1:,[我們]
170,F1:,..[[我們會吃那個怎麼會做..怎麼會做那種事]]
171,F2:,[[eh我幹嘛...我幹嘛要]]做這樣子呢[[[虐待自己啊]]]
172,M:,[[[沒有啊]]]
173,M:,..我是想要試試看..到底是意志力比較強[還是那個比較強]
174,F1:,[好啦明天有事情啦]所以你不要吃啦..你就是...[[你禮拜]]
175,F2:,[[你]]改天
176,F2:,...你自己慢慢試
177,M:,...好
178,F2:,..你覺得怎麼樣
179,M:,..好...我試試看..[啊要睡覺的時候]
180,F1:,[妳藥夠嘛hon]
181,M:,..要..要睡覺的時候..我就我就..拿著球這樣子一直打打...[[打球]]
182,F1:,[[對對對]]
183,F2:,..隨便你...你還可以去騎腳踏車[我都不會反對]
184,M:,[啊看會不會]
185,M:,...會不會撐得住這樣
186,F2:,..好啦..你還可以去騎腳[[踏車]]
187,F1:,[[eh他開]]給你多少
188,F2:,...兩個禮拜而已啊
189,F1:,...嗯那應該不是安眠藥
190,F2:,...是啦
191,F1:,..是嗎...一般醫生不能開那麼多..一般安眠藥[不會開那麼多]
192,F2:,[我我還要簽那個]那是[[管制藥我還要簽名]]
193,F1:,[[喔..對對對]]
194,F1:,...一般不能開那麼久...像我去那個藥房買啊他還會問說妳要..做什麼..然後不能開太久
195,F2:,..對啊那是管制藥啊...我.. 我同學有跟我講那是管制藥...可是他有叫我再回去換藥...他說..人家一般吃了大概五分鐘就會想睡覺
196,F1:,..那妳妳自己的代謝慢哪
197,F2:,...他叫我再..問..問我要不要再回去換藥..我說好啊[那下禮拜回去]
198,M:,[啊妳說吃完啦]
199,F2:,...我幹嘛吃..我幹嘛這樣子啊
200,M:,..不然那個我把他給實驗
201,F2:,...這個人怎麼那麼無聊啊
202,F1:,...沒有啊兩個開兩個禮拜的藥他每天吃啊..放到今天差不多啊
203,M:,..啊對啊妳就吃完不要換藥..啊 那些我拿來試驗看看
204,F1:,...等她有剩再給你試啊..你要讓她睡飽一點拿不掉
205,F2:,..對啊..[妳就知道他真的]是有夠無聊的
206,F1:,[好好好]
207,F2:,..真的是[[不要再跟你講]][[[不要再說了]]]
208,F1:,[[不跟你講不跟你講]]
209,M:,[[[拿一些來]]]
210,F2:,..扯一堆
211,M:,.....拿一些來餵那個小狗看小狗會不會
212,F2:,..eh他...妳[<X 真的是Ｘ>]有沒有發現他真的還蠻無聊的
213,M:,[@@]
214,F1:,...我不想跟他談了[[XXX]]
215,F2:,[[啊@@@=]]
216,F2:,...啊你看你都害她談不下去了...eh那我問妳啊..妳怎麼知..妳知不知道那個禮拜五為什麼要..訂那個..那個啊
217,F1:,..哪個
218,F2:,..那樣子的活動啊
219,F1:,..什麼東[西]
220,F2:,[就是]每個禮拜..每個月的第四周的禮拜五
221,F1:,...什麼..什麼活動
222,F2:,...我不是跟妳講嗎..下個..明年度開始...什麼一個音樂
223,F1:,..喔..為什麼
224,F2:,...我不知道啊..問妳啊
225,F1:,..妳剛剛問不問佳我..我不知道..不知道頭不知道尾啊...啊瑩知道嗎
226,F2:,...知道啊
227,F1:,...她知道原因
228,F2:,..不知道..她沒有告訴我們原因為什麼
229,F1:,..那問瑩啊我也不知道...為什麼要這樣子...不曉得啊
230,F2:,..對啊因為我覺得還這樣子還蠻累的...還有些累
231,F1:,...沒關係妳..妳現在精神很好..妳可以
232,F2:,...我一直精神都很好沒有睡也精神很好
233,F1:,...那就繼續
234,F2:,...ha ...沒有睡也精神很好...對啊...啊妳們家小孩功課都寫完了嗎
235,F1:,蔡...剛剛有回去做東西啊...跟訫翊啊
236,F2:,...喔[啊然後]
237,F1:,[他們回去弄]..相框...昨天畫繪本..還沒畫完...蔡還幫忙畫...蔡最不會畫畫了啊
238,F2:,...是喔
239,F1:,..對啊...啊蔡就上網..抓了一些..資料...跟一些..圖片然後蔡就幫她畫一下啊看怎麼弄這樣子[[然後蔡]]
240,F2:,[[妳昨天弄到幾點]]
241,F1:,...快一點啊十二點多eh
242,F2:,...喔有有有..我有看到她在線上
243,F1:,..@@
244,F2:,...我有看到她在線上..可是我不想理她...因為沒什麼話跟她說
245,F1:,..她也很忙啊..趕快做好啊...ho...然後還要弄什麼相框..喔...然後還要買那個什麼陶土ho...然後後來又決定不要用陶土了..因為人家說..說用陶土..說弄上去不好看
246,F2:,..那她幹嘛不會把上次他們那個si - ..那個..那個..美工夏令營做的那個相框做..拿出來就好了
247,F1:,...她有一個相框eh...他們有一個木頭相框
248,F2:,..喔老師有給他們一個木頭相框不是自己..自己弄一個相框
249,F1:,..不是..就是一個木頭相框
250,F2:,...是喔..我以為想說那個..自己做一個相框..那就把上次那個拿出來就好了啊
251,F1:,..還有一個面具...她就拿一個面具回來[然後]
252,F2:,[上色嗎]
253,F1:,..我不知道幹嘛..蔡就去找..今天去幫她買毛線...說要弄頭髮...面具的頭髮
254,F2:,..是喔...真是麻煩
255,F1:,...這個..這個她就已經很累了...妳如果叫她寫功課她就寫一寫就..就交差了有有做測驗卷她做叫她做這些對她來講是很辛苦的事
256,F2:,..是嗎..啊對蔡來說不會
257,F1:,...對蔡..還好eh..蔡比較...還好
258,F2:,..蔡寫功課比較慢
259,F1:,對..然後..蔡..她比較適合做<L3做東做西 ((到處做事情)) L3>...像蔡叫她燒[她就]
260,F2:,[她就很樂意]
261,F1:,...燒錄那個...那個 CD 啊...啊她就很認真的去做
262,F2:,..因為那順便可以玩..玩電腦啊..她說這樣子媽媽都沒有理由罵她
263,F1:,...她也..也她...不知道..她
264,F2:,..她本來不就對那個很有興趣
265,F1:,..對...她對做事情好像比較有感覺...然後對不知道..eh<X 較用功的 X>畫畫的什麼她就比較不喜歡
266,F2:,...是喔...那這樣子還蠻
267,F1:,..對啊[她跟我講說]她什麼什麼什麼沒做..我說ha..這幾樣都是妳很累的
268,F2:,[還蠻那個的]
269,M:,..ho
270,F1:,..剛剛叫..叫蔡去練琴又在生氣
271,F2:,...是喔
272,F1:,..對啊因為[她]
273,F2:,[蔡]
274,F1:,..蔡啊...前天沒..eh..昨天沒練...前天也沒練啊..[[兩天沒練]]
275,F2:,[[我們家的]]也是昨天沒練
276,F1:,..沒[練啊]
277,F2:,[我們家是]昨天沒練
278,F1:,..然後我跟她說你要去..叫她去練琴..她就生氣了
279,F2:,為什麼要生氣
280,F1:,..她就想生氣啊..我只要叫她做..做她現在不願意做的事她就生氣
281,F2:,真的喔..可是..她還是她有去做嗎
282,F1:,...有啊..會啊[然後]
283,F2:,[會啊]
284,F1:,...就很生氣的去做啊
