Turn,Speaker,Utterance
1,M1:,..對啊
2,M2:,..<L3 你..所以你袂當對我尚歹..無我就..共你偷囥 ((你...所以你不能對我這麼壞...不然我就...說你頭腦)) L3>
3,F1:,..<L3 啥物 ((什麼)) L3>
4,F2:,..煮紅豆湯給你吃
5,M2:,..hm..<L3 挖丟住 ((我就煮)) L3>紅豆湯<L3 予你飲 ((給你喝)) L3>
6,M1:,..@@..等一下..放在這裡好了
7,M2:,..eh<L3哪會欠一雙箸..[妳閣去提好啊 ((哪會少一雙筷子...你要去拿好啊)) L3>]
8,M1:,[有啊有啊有啊]..都有啊
9,M2:,..陳..<L3 妳閣去提一雙箸好啊 ((你就去拿好一雙筷子啊)) L3>..開動..慶祝[[中華隊打敗日本]]
10,F2:,[[yeah]]
11,M1:,..好..慶祝中華隊打敗日本..eh..你怎麼動作那麼快啊..你在哪邊買的啊
12,M2:,...啊
13,M1:,..去哪邊買的啊..不然怎麼動作那麼快... eh..放這裡..eh這邊這邊這裡
14,M2:,..<L3 啊你苴報紙好啊.. 無這澹澹 L3>
15,M1:,...哇
16,F2:,..哇什麼
17,M1:,..燙啊
18,M2:,..<L3 緊食啊 ((快吃啊)) L3>
19,M1:,...哇
20,F1:,...還有想要調醬料嗎
21,M1:,..有啊..這邊有醬啊
22,F2:,..可是..那個沾火鍋料..不一樣
23,M1:,..是啊是啊..我來吃這個小貓鴨腿...喔..我今天去一家..全新竹最好吃的烤鴨店買
24,F2:,..人很多喔
25,M1:,..hm..人都排到馬路上了
26,F2:,..在哪裡
27,M1:,...馬路上
28,F2:,..在哪裡買的
29,M1:,..光復路上那一家
30,F2:,..[hm]
31,M2:,[光復路]
32,M1:,..hm
33,M2:,..<L3 你走到L3>..光復路..<L3 去喔L3>
34,M1:,..hm
35,F2:,..eh ..這炒得比上次的好吃
36,M1:,..hm
37,F2:,..就是排在上面的那個
38,M1:,..對..這家比較會炒啊...又香..又嫩...eh...為什麼又換另外一片吶
39,M2:,..<L3 無啦.. 我柱擠無著.. 閣無 L3>..字幕
