Turn,Speaker,Utterance
1,F1:,昨天...你哥不是去..去人家..那個..那個...那個...那個...就是他就去她那邊嘛..就去 S那邊..就是人家做月子中心給它混到兩點鐘..我說..[你有沒有搞錯啊]
2,F2:,[eh.. <L3 he a ((對啊)) L3>]..對啊..對啊
3,F1:,...人家在坐月子..然後..你給人家混到兩點鐘…他就說沒有啊..就 R 說叫我留下來跟他一起打電動..因為 R 買了一台新的主機
4,F2:,...就在月子中心啊
5,F1:,...um
6,F2:,...@@
7,F1:,..um..然後就兩個..兩個男人在那邊打電動打到兩點鐘..然後也不管人家孕婦這樣
8,F2:,...那 S都沒有睡啊
9,F1:,...有啊..啊 S就在旁..後面睡啊
10,F2:,...[喔]
11,F1:,[可是]問題是...應該...也是睡睡醒來..睡睡醒來
12,F2:,..[[喔]]
13,F1:,[[因為]] ...依照他們兩個…打電動..的那個電視的音量..[@@]
14,F2:,[@@]..除非是…很好睡的人..不然[[的h-((話))]]..應該是睡不ch-((成))..睡不熟..睡不成的..對啊
15,F1:,[[對啊]]..對啊對啊..而且..而且又有...又有外人在的話…就是..你..你睡會比較...如果說...[[[你是坐在]]]沙發上睡就還好..可是..你只躺在床上睡..你可能就會睡比較不自在
16,F2:,[[[可是她可能]]] ...可能她可能對我哥不當外人了吧..可能...已經像是自己人..就像你們..如果你們四個在那邊..她也不覺得拘束到那裡去..啊都那麼熟了
17,F1:,..um
18,F2:,...[對啊]
19,F1:,[因為]
20,F1:,…R 可能是這樣想啦..[[可是..我]]..我會覺得說人家是去坐月子..你幹嘛給人家去那麼晚
21,F2:,[[對啊]]
22,F1:,...那因為..那天..算那天…eh我們...跟...太宇去吃飯那天...然後…你哥就說...eh不然去看一下 S她女兒好了
23,F2:,..um
24,F1:,...然後...結果去...已經..我們吃完飯已經九點多了
25,F2:,..<L3 he ((對啊)) L3>
26,F1:,..快..然後到那邊已經快十點了...然後去之前我就說...可是人家孕婦不是..um..產..產..產婦..產後不是應該要
27,F2:,..[多休息]
28,F1:,[九點]十點就會睡覺了[[嗎]]
29,F2:,[[對對對]]對對對
30,F1:,..那我們這樣給他去…不會太晚啊
31,F2:,..um
32,F1:,..然後你哥說..不會啦不會啦他就打電話我就說要不然你打問 R 好了…看看有沒有門禁...然後...eh
33,F2:,..真的..真的太
34,F1:,..打..沒有..打電話去的時候… R 說..喔..好啊..來
35,F2:,..um
36,F1:,..來
37,F1:,...然後結果去…去到差不多十點半左右吧…護士進來了
38,F2:,..eh
39,F1:,...他說..um..你們怎麼還這麼多客人在..而且你們客人的量也多了一點喔..因為我們3個人嘛
40,F2:,...ha..這樣子喔…還有限人數喔
41,F1:,...因為..通常可能..你如果兩個客人..因為..還有加 R 嘛
42,F2:,...um
43,F1:,..所以加 R 的話總共..客人就有四個人啊
44,F2:,..喔喔...喔..喔..還有太宇嘛..那一天[還有太宇]
45,F1:,[對啊對啊]..[[那天還有太宇啊]]
46,F2:,[[對對對對對]]
47,F1:,..但是如果說..只是說... S跟 R 的話…然後我跟你哥...4個人可能就還好[一點]
48,F2:,[還好]
49,F1:,..[[對啊]]
50,F2:,[[喔..喔喔喔]]
51,F1:,..然後...結果..護士就說..啊這樣不行喔..產後要好好的休息..那你們這樣子..這麼..一下來了這麼多人
52,F2:,..um [um]
53,F1:,[等一下] baby 又感染..然後又什麼的
54,F2:,..喔
55,F1:,..就講了..講了一大堆..然後我們就說..我就跟你哥講…你看吧..就跟你講ho[[@@@]]
56,F2:,[[@@@]]
57,F1:,...就被趕出來了
58,F2:,…ha ((什麼))
59,F1:,...對啦..就被趕出來了
60,F2:,... eh..那 S是…月子中心是1個月…還是15天
61,F1:,...她好像最少要住20天
62,F2:,...喔最少要住20天
63,F1:,..um
64,F2:,...啊 baby 也是在
65,F1:,...在啊...[就是你..你]
66,F2:,[也是在樓上]
67,F1:,..你..你不想要她在房間的時候..你想要休息..就把她抱上去啊
68,F2:,..喔
69,F1:,..或是你叫護士來把她抱上去
70,F2:,...um um um
71,F1:,...那護士就會照顧她
72,F2:,..喔...那家應該不錯吧..我哥說在消防..不是不是...um..在那個全國電子那邊吧
73,F1:,..對啊對啊..後面巷子
74,F2:,..我知道我知道..我有印象有一家…he..我有印象有一家
75,F1:,..喔...就是每次那個..停車場停..路邊停車場..停的滿滿滿那邊..對
76,F2:,..我有印象那邊有一家..但是...但是...好像看起來還好耶
77,F1:,...[[就]]
78,F2:,[[外]]觀看起來還好
79,F1:,...<L3 he a ((對啊)) L3>…就像住家
