Turn,Speaker,Utterance
1,M1:,可是就是他..eh比酷那一..那一部真的很讚..就是...你看到 J然後還有那個..就是那那那個那個誰..追殺比爾那個..鄔瑪
2,M2:,..鄔瑪
3,M1:,..對對對然後就這些人..然後..整個片子就是超酷
4,M2:,..eh有潔西卡是哪一部..萬惡城市喔
5,M1:,...萬惡城市有潔西卡嗎我忘了eh
6,M2:,..有嗎...有..有
7,M1:,..有喔..喔有萬惡城市我有看過可是我忘了有沒有潔西卡
8,M2:,..超正...潔西卡
9,M1:,..可是萬惡城市你主要[是]
10,M2:,[你]不喜歡潔西卡
11,M1:,..我當然喜歡啊這超正的好不[[好]]
12,M2:,[[你]]喜歡喔
13,M1:,..對啊
14,M2:,..但是.你要排我後面喔
15,M1:,..啊..好啦隨便啦
16,M2:,..@@@
17,M1:,..反正[這個]這個隊應該是永遠不會前進的
18,M2:,[爛死]
19,M2:,...喔對
20,M1:,..對啊這排哪裡無所[[謂啊]]
21,M2:,[[好啦]]
22,M1:,..反正最後都到不了
23,M2:,..反正就..高興
24,M1:,..對啊..[對啊]
25,M2:,[對啊]
26,M1:,..超正
27,M2:,..好啊然後你要講..那個比酷怎麼樣
28,M1:,..就黑道比酷[[啊]]..就..就真的很酷啊
29,M2:,[[hehe]]
30,M2:,..多酷
31,M1:,...就你還可以看到約翰跳舞
32,M2:,...喔真[的啊]
33,M1:,[eh他]跳舞真的跳得很好eh他以前年輕的時候有拍過那種..有點像歌舞片的片
34,M2:,..真的喔
35,M1:,..真的..而且他而且他跳舞真的[跳超好]
36,M2:,[他跳什麼]的..free style
37,M1:,..沒有有點像...[[有點像]]芭蕾那種..還有就是那種國標那種感覺的舞
38,M2:,[[喔有點像]]
39,M2:,...喔
40,M1:,..可是..他真的他真的舞感很好..他真的[跳得很好]
41,M2:,[他舞感很好]
42,M1:,..對...[[然後]]他在裡面是演一個黑道大哥..他真的超酷
43,M2:,[[真的喔]]
44,M2:,..所以是跳類似斧頭舞之類那種東西嗎
45,M1:,..也..也不是
46,M2:,..再..更高級
47,M1:,..沒有我說他以前是跳那種..然後他在這部片子裡面跳的是那種就是在... pub 裡面..然後有那種現場樂隊..就是black eyed peas 在裡面演奏..好像..好像是union 那首吧
48,M2:,..[ho我知道我知道]
49,M1:,[好像是union ]對然後他就他就是是邀那個..邀鄔瑪然後跳舞..然後兩個就開始跳..[[那邊]]超讚
50,M2:,[[嗯嗯]]
51,M1:,...[[[然]]]後
52,M2:,[[[讚]]]
53,M1:,..黑眼豆豆也讚
54,M2:,..這麼酷
55,M1:,..對..[酷]
56,M2:,[黑]眼豆豆客串是不是
57,M1:,..有客串啊..我記得是..[[我記得有客]]串我記得在裡在 pub 唱歌的真的就是他們
58,M2:,[[喔]]
59,M2:,..喔
60,M1:,..對
61,M2:,..eh… B 不是..昨天演唱會喔
62,M1:,..是昨天[嗎]
63,M2:,[昨天]十二號啊…是不是
64,M1:,..好好好像是吧[[我不知道我不知道是哪一天]]..她來她不是什麼一來就..花了三百多萬
65,M2:,[[還蠻酷的啊]]
66,M2:,...好像是
67,M1:,..她買了一件什麼…皮..皮大衣還什麼的就花一百九十九萬
68,M2:,..反正她超酷的啊
69,M1:,..她超..超酷的啊
70,M2:,..而且聽說她的…就是...就是...當天...我有看一下她那個…報導啊
71,M1:,..uh-huh
72,M2:,.. 我就覺得…TSK((可惜))
73,M1:,..很high 喔
74,M2:,..對啊…怎麼會沒去咧
75,M1:,..啊就..eh可是她票賣很貴eh
76,M2:,..可是我要補習
77,M1:,..她票賣超貴的
78,M2:,..你咧..你也你也去上課..啊沒有啊你昨天在家
79,M1:,..昨天禮拜..一沒有我昨天在學校唸書啊
80,M2:,..啊我不是找你去補習你就說..[要吃飯]
81,M1:,[喔對啊]..對啊可是我在那個啊可是我在學校唸書啊
82,M2:,..嗯
83,M1:,..就是我沒有離開學校啊..對啊..就衝點[[進度]]
84,M2:,[[好吧]]
85,M2:,..我想 B 會原諒我們
86,M1:,..嗯
87,M2:,..對啊
88,M1:,..應該是畢竟[那 L ]也會原諒我們
89,M2:,[eh我們]
90,M2:,..對啊拜託..我們都
91,M1:,..eh我們都要衝了耶
92,M2:,..我覺得這個就是..有時候就是
93,M1:,..好啦算了啦[[這是]]
94,M2:,[[機緣]]的問題
95,M1:,..老天叫我們要好好唸書
96,M2:,..你有跟曾講說你要去.本來要去看 L 嗎
97,M1:,..我忘了有沒有跟他講..應該是有..這些<L3 wu e bo e ((有的沒有的)) L3>我應該都有跟他講過了
98,M2:,..那你有跟他講說劉最近怎麼了嗎
99,M1:,..喔有啊@@@
100,M2:,..就是劉最近的論文...題目已經想到了喔
101,M1:,..有啊我有跟他講啊
102,M2:,..他他題目是什麼你知道嗎
103,M1:,...他題目喔..[是]
104,M2:,[超]級酷
105,M1:,..是喔
106,M2:,..跟公館國小有關係喔
107,M1:,..喔喔@@@
108,M2:,..@@@
109,M1:,..這是你的論文吧
110,M2:,..沒有啦跟..跟那個教育有關係
111,M1:,..喔...對啊[[他是]]..劉教授..他要當教授
112,M2:,[[就是]]
113,M2:,..我真的覺得劉..蠻適合那個eh
114,M1:,..當教授喔
115,M2:,..對啊不覺得嗎..[如果是學生我一定會]喔
116,M1:,[他他蠻適合的啊]
117,M1:,..喔超帥
118,M2:,..帥炸
119,M1:,..然後結果收考卷的時候..考卷上都不是答案都是學生的那個msn跟電話這樣
120,M2:,..@@@
121,M1:,..還有家裡住址
122,M2:,..太扯了啦..這樣..他..會太困擾..我不希望他這樣
123,M1:,..我不想有這個困擾..[[老婆]]
124,M2:,[[對對對]]..對呀..[好]沒關係..我們
125,M1:,[好]
126,M1:,..那你要不要出來護花一下
127,M2:,...你說...[[好]]
128,M1:,[[就]]保護劉不要受到廣大fans的侵擾
129,M2:,..我覺得這沒辦法啊..這...必經的..[[[人帥]]]就是要承受這種事
130,M1:,[[[也是]]]
131,M1:,..也對
132,M2:,..對啊你看
133,M1:,..那我們兩個多輕鬆啊對不對
134,M2:,..沒有啊你不是很困擾嗎
135,M1:,..我..我..我不困擾啊我沒有困擾啊
136,M2:,..真的嗎
137,M1:,..對啊我為什麼要困擾..[又]沒人要跟我
138,M2:,[eh]
