Turn,Speaker,Utterence
1,F1:,按理講是應該是小孩好好的…自己z…自己工作找好…好好的…去
2,F2:,..不懂[得教育啦]
3,F1:,[賺錢吶]
4,F1:,..對啊..像這樣[[她教]]育失敗了啊
5,F2:,[[當父母親]]
6,F2:,…不懂得教育..自己…自己甚麼都不懂啊…那那…那…能幹..會賺錢…然後又不懂得教育..那孩子就..就就就就
7,F1:,..沒出息呀
8,F2:,..孩子..覺得..反正…不做的話..[也有錢]
9,F3:,[跟你講]
10,F3:,..好像她[[老公]]
11,F2:,[[有飯吃]]
12,F3:,..前一任的老公好像..沒..管她
13,F1:,…hon那這樣就是說..跟…也是自己生的啦hon
14,F3:,..hm…對
15,F2:,..她國語講得很溜嘍
16,F3:,…hm…都講國語
17,F2:,..口[音聽得出來嗎]
18,F1:,[那可能那個]外省人…嫁外省人肯[[定]]
19,F3:,[[he]]
20,F2:,..口語聽得出來嗎…[口音]
21,F3:,[口音]喔…hm
22,F1:,..有那個音調啦
23,F3:,..對
24,F2:,…外國
25,F3:,..有一..一種…就是
26,F2:,…外國口音
27,F3:,…<L3 i..ji1 ji1 jiau3 jiau3 按呢 ((很吱吱喳喳那樣的)) L3>..很很..嘰嘰喳喳的
28,F2:,…不是啊你那個…音調聽得出來嗎台
29,F3:,..聽得[出來]
30,F2:,[台灣]人..台灣人…跟
31,F3:,..剛開始你不知道
32,F1:,..越南
33,F3:,..可是聽久了會..會
34,F2:,..hm hm
35,F3:,..[有差]啦
36,F2:,[對對]
37,F2:,..對…對..台灣人嫁給外省人的那種..那種音…調..她..聽起來就是台灣口音…那外..外國的就是外國口音…東南亞的東南亞口音…聽得出來
38,F3:,…ei…好像…以後..可能..那種…外勞啊…會..比我們..還優越…他
39,F2:,..哪一方面
40,F3:,..過來久了hon..甚麼都會..會
41,F1:,..ei..[[他們]]
42,F3:,[[甚麼]]都懂..甚麼都[比]我們
43,F1:,[他]
44,F1:,..對啊..他們有些…會做生意的真的是…有一手
45,F2:,…那..自己就要多學啊…台灣..那..那..對呀很多人…甚麼都不懂甚麼都不學呀..那那…那水準越來越低落啊
46,F1:,..不是說…甚麼都不懂甚麼都不學就是他..他們…他們..好像比較敢啦
47,F2:,…不是啦..也是情勢所逼
48,F1:,…對啦 <L3 heh1 lah1((對啦)) L3>
49,F2:,..人到[外國]去…你為了生存你就..你你你
50,F1:,[也是]
51,F1:,..hm
52,F2:,..你要
53,F1:,..要
54,F2:,..[[很堅強]]
55,F1:,[[要不然]]
56,F1:,..沒有就…沒辦法生存下去啊
57,F2:,..對啊…那人家敢..敢…敢去..去努力敢去..敢去抓住..抓..抓住機會…那台灣人就…你甚麼..你..原本沒有的..沒有教育水準的…然後…沒有技術能力的…然後…又..沒有出去競爭…他s..那那不去動..那那..那當然就是那..更糟糕啦..越來越糟糕啦…[那]
58,F3:,[可能]啦
59,F2:,…競爭的..那個甚麼…法則就是這樣子啊
60,F3:,…對啊..主要也是..台灣..太…懶惰了
61,F2:,…他們如..如果留在本土也是跟我們一樣..只是說..他們…跑到外國來了
62,F3:,..不是 <L3 按呢 ((這樣)) L3>…那麼多..一直過來一直過來也不好啊…以後..真的…台灣..比較弱勢
63,F2:,…不會啦
64,F3:,..沒有
65,F2:,..那
66,F3:,..應該要管制一下
67,F2:,..有吧..我想有啦..一定有的啦..不可能說…無限制的啦
68,F3:,..我看沒有..都是..一直…人過來..也沒有
69,F2:,..應該有的啦…不是…不可能說…完全沒有限制…有啦..那任何政策都有個限..度啦..一個那個
70,F1:,…eh像那個…大陸現在都發展得很…很快啊…那…像…um…可能也有很多都到大陸去…大陸那邊…像我們那個一九九零年…過去的時候…要回去一趟說…至少…像…江西啦…湖南啦…湖北啦…四川啦…四川…要回去就都要一個xi…一個星期至十天…現在說不用
71,F3:,…現在不用回去啊
72,F1:,..不是..不用那麼長時間
73,F3:,..hon..就[是]
74,F1:,[說]三天
75,F3:,…交代..出去交代一下要…回來
76,F1:,..沒有..我說…回去一趟
77,F3:,…有的..到香港又回來
78,F1:,…不是這樣啦..我是
79,F3:,..ha
80,F1:,..現在說..很方便啊…有那個像..我們的直達車那種火車…火車啦..還有那個…大巴車啦..有些…轉一轉..轉…就是很快就…以前都繞山路嘛
81,F3:,..hm
82,F1:,..現在有..有那個開創那..開辦那個…道路出來ho
83,F3:,…喔 …比較[快]
84,F1:,[說是]直達..像我們這樣直達的過去…三天就到了…發展那麼快喔…啊以前我在那邊本來…聽他們講說..一般都要…一個星期十天..現在三天就可以到家了
85,F3:,..um
86,F1:,…江西的..以前..回去要
87,F3:,..hm
88,F1:,..在深圳…深zu圳那邊啊
89,F3:,…eh大陸的…大陸
90,F1:,..要回去一趟說要三天..現在說
91,F3:,..大陸[的那個]經濟可能…蕭條嗎
92,F1:,[一天就到家了]
93,F1:,…江西那一邊吶
94,F2:,..也會跟著下去啊…會啊…全世界都一樣啊
95,F1:,…沒有..大陸真的發展得很..快
96,F3:,…他們會…會..跟著下來..可能不會吧
97,F2:,…也會啊…只是…程度沒有xi..像其他國家那麼嚴重吧..他們原本水平低..你在xi…我們是…其他國家是爬得…高…所以摔得也重..那他們沒有那麼..快啊..沒有那麼高啊
98,F1:,..大
99,F2:,..所以
100,F1:,…沒有..大陸發展得…人家就是…超…太快了啦…幾年…才十幾年就..就全
101,F2:,…對啦這他們國內本身…su…現在跟十年前比…的話..那是…差距很大..那[如果]
102,F1:,[對啊]
103,F2:,..水平的問題…國家跟國家水平的問題的話
104,F1:,..喔喔…就是成長…也就還沒有那麼快啦…是不..就是說…水平…[[就]]
105,F2:,[[沒有]]..主要是看通貨膨脹率啦..通貨[膨]脹率..就是那個…那個
106,F3:,[hm]
107,F3:,..房子也蓋蠻多的ho
