Turn,Speaker,Utterance
1,F:,..所以..這個醫生就說..很多人都說他很挑食...好像很多東西都不吃...他說他不是挑食..他是真的不敢吃...對啊所以就是看了之後就覺得很恐怖
2,M:,...TSK那你以後少吃一點路邊攤啦
3,F:,..有啊我看了我其實有在害怕
4,M:,..炸雞也不能吃
5,F:,..我..上..哪有..我上禮拜回家之後回來我就不敢買麥當勞了...我覺得超恐怖的…[也不敢買]洋芋片
6,M:,[對啊XX]
7,F:,...啊可是泡麵也是 ne..泡麵也是氫化油
8,M:,...當然囉
9,F:,...對啊
10,M:,...所以吃這種東西不能吃啊..不要亂吃
11,F:,...然後…上個禮拜回家那個什麼..就我爸他錄那個節目是那個文茜小妹大
12,M:,..um
13,F:,..然後文茜小妹大就是可能就是因應就是最近全球暖化的那個問題..然後其實...像我說…年底啊..年底其實就是會在哥本哈根kan-…開一個那種環保會議..然後那種環保會議其實是前幾年每年都有在召開的..然後就是在講說就是..二氧化碳排放量..就是應該要減低到多少…然後可是因為就是富國一直不願意妥協啊..然後所以就是…一直都沒有辦法達成共識..然後..所以它其實也有牽涉到一些政治的議題啊..對所以可能..因為這樣文茜小妹大所以才會..才會播…然後…陳文茜她就是他們那電視台就是去收集就是美國那邊..還有英國那邊..就是..可能是氣象局啊..或者是一些科學家他們的那個研究報告…然後再加上中研院…地質所…然後還有..大氣科學…研究方面的那個專家..他們的那個報告…然後…喔..地質所是那個..台大教授有個地質..地質研究所教授..叫..搞不好龍井茶認識…對
14,M:,..XXX…[<X不知道X>]
15,F:,[<X有可能X>]..有..有可能..然後然後就..就可能收集他們研究報告..然後也有…播放一些他們的那個什麼..訪問的影片哪…然後就是..在講說..地球大概…現在地球不是就是那個..平均溫度有上升嗎...氣溫…然後其實..本來不知道從...兩千零幾年開始算其實…到…不知道從兩千零幾年開始..然後到二零一五年的樣子…這中ch-..到二零一五年..地球…還可以si-..平均溫度還可以上升的總 quota 其實只剩兩度
16,M:,..喔
17,F:,..然後可是因為現在已經兩千零九了…然後其實現在地球的溫度已經有在上升所以現在好像..其實再減掉這中間上升的那個溫度那個溫差..其實好像才只剩下一點三的樣子…然後如果..兩千..二零一五年後我沒記錯的話啦..二零一五年如果…之後…你超過那之前兩度的quota ..再繼續上升的話…就會整個失控…然後不知要到幾年的時候…地球就會整個滅亡…然後
18,M:,..我的那個..不知道哪哪邊有個傳說..二零一二年的十二月二十一號是太陽季..世紀末日
19,F:,…ei可是我覺得…那個末日…就是那種..末世預言那種傳說..就是很奇怪..他們…這個 像是這個是很有根據..可是他們那個只是好像單純預言就說是..是世界末日這樣子
20,M:,..我忘記誰提了那個
21,F:,…這樣看起來可能二零一二年還太早..可是…二零一五年的話..就是照目前的那種科學家的推斷是..二零一五年…之後再上升的話…就會整個失控就對..而且..它那個溫度上升很誇張因為…溫度上升的話主要就是當然是會造成冰層溶解啊..然後可是其實那個冰層不是在北極圈…主要是在那個南極
22,M:,…對啊
23,F:,..對啊..然後…而且你知道當那些..冰層開始融化的時候..其實首當其衝的會是台灣…因為台灣它那個..位置的關係..因為它是位在…那個..一個大洋…跟..就世界大洋跟..世界最大大陸的那個..都在邊陲的地方…然後所以它會受到的衝擊其實是會最大的..然後…而且…就是…等到那個冰層溶解之後啊…除了海平面會上升..然後就是…可能會把一些陸地淹掉之外…其實還有一樣很嚴重的問題就是說…他說會引起那個什麼..板塊的那個運動有沒[有]
24,M:,[地]震
25,F:,..對..因為那個南極那邊就有很多那種…就是可..啊..火山…想起來了..對..就是那種…就是他說…如果說你冰層溶解的話..然後好像…連帶的就會..影響到版塊的活動..然後南極那邊..就是火山活動頻繁的話..又會連帶影響到世界各地的那個板塊帶..所以那個最近印尼才會那個頻繁的發生地震…對啊..然後其實我覺得台灣好像…不知道..不一定是那種很強的..地震..可是就是那種地震的次數好像有在增加
26,M:,…對..小震小震小震一直有震那還好..反正就慢慢釋放能量…如果積久了一次來一個很大的..那就[完了]
27,F:,[對啊] …然[[後]]
28,M:,[[而且]]那個世界環保那個…溫度上升真的造成很多的那個…衝擊..就像鯨魚啊..妳之前不是有一個新聞
29,F:,..嗯
30,M:,…鯨魚會si-擱淺..擱擱淺死在那個台南的那個海邊啊
31,F:,..嗯
32,M:,..大很大的那種[鯨魚唷]
33,F:,[嗯]
34,M:,…他就用大貨車嘛..大卡車來把牠載呀..載忽然整個鯨魚爆炸
35,F:,…嘿
36,M:,..炸了整個都是血..[[就是]]
37,F:,[[為什為什]]麼要[[[爆炸]]]
38,M:,[[[整個街]]]道…不是牠為什麼爆炸..牠已經死了..然後…然後..不曉得怎樣[X]
39,F:,[他]載一載然後牠在..車上的時候爆炸
40,M:,..就牠在拖板車..很大那種拖板車..啊開在馬路中央就爆炸
41,F:,..唉ya
42,M:,..不知道是幾…相當於那個..威力好像是幾幾..幾幾噸的黃..黃色炸藥
43,F:,…所以那個是可以..會炸死人嗎
44,M:,…那是還沒有人傷..沒有沒有人傷亡..可是很多人…路邊的車全部[[都被炸成紅色的..都是鯨魚血]]
45,F:,[[都sh-..對啊都是血]]
46,M:,..超臭的
47,F:,..唉ya
48,M:,..聽說三天..幾天還是都..完全都[<X沒有辦法消失X>]
49,F:,[ei我完全不知道這個新]聞耶
50,M:,..我是去我爸那邊看新聞才看到的..咦..上禮拜三
51,F:,…是上禮拜三喔
52,M:,…那時候已經過了..也是文茜小妹大..還是什麼節目[這樣]講的
53,F:,[@]
54,M:,…劉寶傑的吧..什麼的
55,F:,..太酷了
56,M:,..對啊..就是..節目在講的…就整個炸掉..然後那個…旁邊的車全部都是血就變紅了..地板上也全部都是紅的..那種…鯨魚的血肉整個都..炸飛..整隻喔
57,F:,..可是我覺得很怪耶..怎麼會爆炸<L3乎L3>
58,M:,…他那個是..不知道是怎麼樣就是
59,F:,..壓力嗎還是什麼
60,M:,…跟壓力有關啦..可是[[因為牠]]
61,F:,[[嗯]]
62,M:,..因為牠死掉了..然後..可是鯨魚是…哺乳類.. 牠裡面..裡面會..會幹嘛或什麼東西..然後…會一直..會分解..急速分解..你死掉之後他會在裡面..急速分解..然後又起化學變化就一直膨脹
63,F:,..嗯
64,M:,..壓力就很大
65,F:,..嗯
66,M:,..然後就整個都爆掉了..鯨魚開始從那個..鯨魚不是噴水的地方嗎
67,F:,..對對[對對]
68,M:,[先噴出血]…噗[[psi ..<X就噴到那種X>]]
69,F:,[[唉ya]]
70,M:,..爆炸…超酷的
71,F:,…@..可是..那時候載著牠的那個司機還在車上嗎
72,M:,…在啊..因為車子在開..他也被爆到
73,F:,..可是你不是說那相當於什麼..幾噸的黃色炸藥爆炸..[這樣不會炸%]炸飛他
74,M:,[是那個壓力<X 炸% X>]
75,M:,..可是<X炸他X>還好啊..因為牠是鯨鯨魚啊..牠也沒有什麼
76,F:,..畢竟[[不是說火]]
77,M:,[[破片..整個]]不是[火藥吧]
78,F:,[火藥]
79,M:,..可能就是他[[那個皮肉..對對對..他能]]量<X 那個 X>大..可是…因為他是皮肉..可能就是..炸出去的藥
80,F:,[[只是威力相當於那樣子]]
81,F:,..@@@
82,M:,..就是炸整條路都是紅色的..然後很臭..牠超臭..經過的人全部都是
83,F:,..唉ya@@
