Turn,Speaker,Utterance
1,M:,…台灣的…就講綜藝節目好了
2,F1:,..嗯
3,M:,..那個花費就差多少
4,F2 :,..喔綜藝節目就不用講…完全就就打趴
5,M:,..對啊那完全打趴
6,F2:,..對啊
7,F1:,..為什麼會這樣啊那我上次去韓國才知道韓國有四千南韓四千人萬人
8,M:,..差不多啊…光是首爾就一千多萬啦
9,F1:,..對啊
10,F2:,..剩下三千多萬都那個
11,M:,..對啊..剩下剩下三可它比我們大好幾倍
12,F2:,..山啊什麼的
13,F1:,…對
14,M:,..光是一個首爾就都快跟台灣一樣
15,F2:,..喔
16,F1:,…所以他們的品質有比較好嗎
17,M:,..也沒有啦
18,F1:,..@@@=
19,F2:,..嗯…韓劇…喔還有那個吧我覺得就是色彩運用的什麼很講究..他們那個取景那個你就覺得那個每個都是跟畫一樣..那台劇有沒有就雜亂雜亂雜亂雜亂雜亂雜亂
20,F1:,..@@@=
21,F2:,..就很雜亂
22,F1:,..台劇都在攝影棚吧
23,F2:,…攝影棚就不會可是那個整個色彩的就是運鏡什麼的都好很多可是技術層面也是有大的…差別
24,M:,..他們比較…嚴謹
25,F1:,..是喔
26,F2:,..對
27,F1:,..比較嚴謹
28,M:,..嗯
29,F1:,..我是覺得我看那個什麼有時候會拍會寫什麼…舞台效..就是看一些MV啊舞台效果都比台灣好為什麼啊為什麼會這樣
30,F2:,..嗯
31,F2:,..因為那個舞台砸多少錢啊
32,M:,..就投入的錢啊
33,M:,..那就投入的錢啊
34,F1:,..XXX
35,F2:,..每個禮拜都跟開演唱會一樣然後
36,F1:,..@@
37,F2:,..你看台灣的打歌制度跟韓國的打歌制度差多少
38,M:,..沒有啦其實最主要是因為說我們的東西好像不能夠…有所謂性的置入性行銷
39,F1:,..我們不行喔
40,M:,…對我們不行他們的好像可以
41,F2:,..音樂節目還好吧
42,M:,..TSK音樂節目可能還好
43,F2:,..嗯..對啊音樂節目怎麼可能買一個置入性行銷@
44,M:,..可是..你你們..就是那個現在中國最有名的那中國好聲音你們知道吧
45,F2:,..嗯
46,M:,..你看那個從頭到尾都在置入性行銷啊
47,F2:,..@
48,F1:,..喔對
49,M:,..可是
50,F2:,..就什麼什麼保險之類之類
51,M:,..對對對對對
52,F1:,..@@@=
53,F2:,..XXXXXXXX
54,F1:,..什麼洗衣精什麼的@
55,M:,..對啊
56,M:,..就是說你只要肯給錢你就可以出現在他們的節目裡啊可是台灣的不行啊
57,F2:,..對
58,F1:,..嗯
59,F2:,..可是節目好不好看跟置入性行銷沒有絕對關係啊
60,M:,..對啊可是
61,F2:,..他們都看XXXX啊
62,M:,..因為
63,M:,..對..可是因為就是因為他們可以置入性行銷所以他們可以拿到錢他們可以拿到更多錢
64,F1:,..資金嗎
65,M:,..嗯…他們給你很多錢
66,F1:,..喔…那我們台灣的綜藝節目是..靠什麼賺錢啊
67,M:,..收視率啊廣告啊
68,F2:,..一直都在賠錢啊沒有賺錢這回事
69,F1:,..這樣子喔
70,F2:,..都在會賠錢吧@
71,F1:,..所以舞台效果才會那麼爛嗎@@@
72,F2:,..爛到爆炸那個棚也超小的耶
73,F1:,..對啊就就算是唱歌好了感覺好像規模就是人家的好像後面還有煙火會炸出來之類
74,F2:,..他們每一首歌你看一個..歌唱節目音樂節目九十分鐘下來
75,F1:,..對
76,F2:,..每一首歌的布景都不一樣ei
77,F1:,..對就是後面那種 LED 什麼都不一樣耶
78,F2:,..對啊dancer 什麼一大群什麼的...打趴
79,F1:,..嗯
80,M:,..可是台灣就是這樣
81,F1:,..@@@=
82,F2:,..台灣就是這樣子今天國慶日我們這樣好嗎@@
