Turn,Speaker,Utterance
1,F1:,..他昨天回來看起來好累喔
2,F2:,…因為從淡水回來
3,F1:,..對[啊]
4,F2:,[我]每次從淡水回來都覺得好累喔
5,F1:,..我也是
6,F3:,..超遠的
7,F1:,…超遠的[[啊]]
8,F2:,[[我]]每次都想要乾脆住在我同學那裡隔天再回來@@
9,F1:,..你可以這樣做啊沒關係你又不是王…@
10,F2:,…怎樣
11,F1:,…ei如果你..就是很晚哪就比如說你聊天聊到忘記時間啊就聊到12點沒有公車..然後就會[被罵說]
12,F3:,[<L3 tse si be] tang huat sing e tai tsi L3>
13,F1:,..<L3 si anra lei L3>
14,F3:,…<L3 li si an tsuann ..e tang kai kang kai kah hiah ni wa..ha L3>
15,F1:,..<L3 li e tang a… gua siong sin li L3>
16,F3:,..<L3 ai tsu i si kan L3>
17,F1:,…<L3 a na an ne L3>
18,F3:,..< L3 m si tse si lei .. [bo ho] guan un ma kong e ue L3>
19,F1:,[比如說]
20,F1:,…@@@
21,F1:,..真的嗎...ha可是這不可能有這種事情嗎比如說有人生總是有意外比如說你就是..從10點等到12點都沒有236過去啊
22,F2:,..那一定是[236發生什麼事情]
23,F1:,[@@@=]
24,F2:,..[[XXXX]]
25,F3:,[[哇say]]
26,F1:,[[@]]@@@
27,F2:,..她應該已經放[棄啦]
28,F3:,[太誇]張了
29,F2:,..就會坐那個計[[程車之類的]]
30,F3:,[[對啊]]
31,F1:,..他比如說他那個門可能鎖住啊啊啊啊啊我出不去啊然後就搞到12點之類的
32,F2:,..他媽應該會報警來抓我們吧@@@
33,F1:,..@
34,F3:,..對啊..像我上次就是坐計程車啊因為等不到公車啊bu bu是...是那時候就算…TSK
35,F2:,..可是你大學[的]時候應該有..就是
36,F3:,[對]
37,F3:,..大學就隨[[便啊]]
38,F1:,[[就住]]外面啊
39,F3:,..因為大學本來就在嘉義又沒差
40,F1:,..所以你是那[種]
41,F3:,[然]後回家就回[[回家就]]乖乖的這樣
42,F1:,[[反正你]]
43,F1:,..反正你不住台北的話你媽就不會管你可是你住台北的話你媽就會
44,F3:,..對啊
