Turn,Speaker,Utterance
1,M1:,..你們中山是不是可以修第二外語
2,F:,..可以啊
3,M1:,..對啊..[我覺得這個超好的]
4,F:,[我們高一進去就會選]
5,M1:,..對啊
6,M2:,..哦..[[好好喔]]
7,M1:,[[我覺得]]這個很好
8,M2:,..超好的耶
9,F:,..可是就沒學到什麼東西啊...[學不到什麼]
10,M1:,[為什麼沒學到]..你之前是學什麼
11,F:,..西班牙文
12,M2:,..西班牙文
13,M1:,...沒學到東西嗎
14,F:,..不是..就是一..一點點
15,M2:,..[[一點點喔]]
16,F:,[[就是很淺]]
17,M2:,..很淺
18,F:,..超淺
19,M1:,..一個禮拜上多少小時
20,F:,..上…上兩…兩堂課
21,M1:,..哦哦哦
22,F:,..然後因為..因為有些老師很鬆啊
23,M2:,..嗯
24,M1:,..也是
25,F:,..對啊..然後有很多人根本就沒有想要學就只是因為一定要選
26,M2:,..嗯huh…那選那個要多付嗎..沒有就是在
27,F:,..就是一般的課
28,M2:,..一般的課…哦那還不錯啦
29,M1:,..對啊
30,F:,..現在台北市很多學校都這樣
31,M1:,..我覺得這樣很好…好過我們之前都…用一堆時間來上馬來文
32,M2:,..@@
33,M1:,..超沒用的..現在感覺都沒用
34,F:,..那你會..你會講嗎
35,M1:,..我會講…但是就..不會用到啊平常
36,F:,..為什麼
37,M2:,..只會在馬來西亞用到
38,M1:,..對啊..只會在馬來西亞…而且馬來西亞…你要用也只會跟政府部門..但是跟政府部門用英文
39,F:,..可是你出去買東西不是都
40,M1:,…不一定啊..有…華人就…通常都會跟華人買
41,F:,…就你那一區都是華人
42,M1:,…住的地方都是華人
43,F:,..哦
44,M1:,..哦但是也是會跟馬來人買東西啊
45,F:,..對然後你[就會用到]
46,M1:,[很簡單的]
47,F:,..那你跟印度人
48,M1:,…講英文吧…印度人不會馬來文
49,F:,..是喔
50,M1:,..他們也是像我們這樣就是…會一點點…會一半吧
51,M2:,..會一半
52,M1:,..以前還比較..流利..來台灣太久了
53,M2:,..太久了
54,M1:,…從來沒講過
55,F:,..@@
56,M2:,..所以你回去會…會有卡卡的
57,M1:,..一定會啊
58,M2:,..一定會
59,M1:,..有些很多甚至都忘了..忘了
60,F:,…好奇怪的感覺喔
61,M2:,..好奇怪
62,M1:,..為什麼
63,F:,..因為你明明是在那裡長大的啊
64,M1:,…但是平常不會用啊就你跟家人聊天都是用中文
65,F:,..哦
66,M2:,..所..所以馬來文算是你的母語嗎
67,M1:,..不是
68,M2:,..馬來文以前..不是
69,M1:,…母語就是中文
70,M2:,..廣..廣東話還反而比馬來文好
71,M1:,..對..目前來說
72,M2:,..目前來說
73,M1:,..因為中文..eh馬來文太少用了
74,M2:,..太少用了
75,M1:,..平常唸的都不會用
76,M2:,..嗯
77,M1:,..有些人馬來文的考試都根本不想唸
78,M2:,..但是有時候John跟你講一些印尼文你..你還是聽得懂
79,M1:,..聽得懂..你..講的話我可能…會馬上想到那是什麼意思..但是你要我突然間..講的話..我就不會
80,M2:,..就不會
81,F:,..我講台語也是這樣
82,M1:,...你講台語也是這樣
83,F:,..我就全部都聽得懂..可是我就是…就是講的話就要想
84,M1:,..對..要想那個字怎麼
85,M2:,..嗯
86,F:,..[對]
87,M1:,[對]對對對對..我也是這樣
88,M2:,..但是聽啊…[[沒問題]]
89,F:,[[聽都聽得]]懂
90,M2:,..聽得懂聽得懂
91,M1:,..台語我們應該還比他厲害
92,M2:,..對啊..我不會
93,F:,..你會西班牙文啊
94,M2:,..西班牙文
95,M1:,..他會[西班牙]文和還有葡萄牙文
96,F:,[和葡萄牙文]
97,M2:,..葡萄牙文
98,M1:,…這樣更好
99,F:,..超好的
100,M2:,..XXX
101,F:,..超好的
102,M2:,..還..普普通通
103,M1:,..普普通通嘞..你還講普普通通
104,M2:,..但中文很爛啊..超爛的
105,F:,..你..有嗎
106,M1:,..不會啊
107,M2:,..有啊
108,M1:,..中文會溝通就好啦
109,F:,..對啊
110,M2:,..真的嗎..我覺得寫很重要
111,F:,..可是你看
112,M2:,..你看發一個考卷寫申論題..人家申論題不是那一張長的嗎..正反面都會寫我才寫一半
113,M1:,..中文的申論題寫那麼多幹嘛
114,M2:,…對啊我也不[知道]
115,M1:,[以後]又不會用到
116,F:,…分數比較高
117,M1:,…對…有些..有些老師..考試他會說你用英文寫的話給你加分
118,M2:,..對啊會給你加分
119,M1:,..我覺得好奇怪喔…那個...歐洲政府與外交政策
120,M2:,..對對對對對
121,M1:,..湯..湯XX老師
122,M2:,..你有修喔
123,M1:,..我有修過
124,M2:,..好修嗎
125,M1:,…是很廢的課
126,M2:,..很廢喔
127,M1:,..因為上課他…第一堂課就一百..一百個人嗎..他是…大勇樓…105最大間那個教室
128,M2:,..uhuh
129,M1:,..一百多個人..然後第二個禮拜開始就剩十個人
130,M2:,..[@@]
131,F:,[@@]
132,M1:,..然後老師…就是..然後課室很長的嗎..大家都坐到後面去
133,M2:,..uhuh
134,M1:,..然後老師也沒關係..他照樣教課
135,F:,..是通識課嗎
136,M1:,…對通識課…[[兩]]…兩小時
137,F:,[[我要去修]]
138,M1:,..對啊..你可以去修[啊]
139,F:,[我]要去修
140,M1:,…就真的很廢..就真的十個人..你…老師會隨機點名…就是他會..點三次..這樣子..[[然後]]
141,M2:,[[他..他]]不會當人
142,M1:,…不會..你..三次都沒到應該也不會怎樣
143,F:,..那他上課在上什麼
144,M1:,…上課他就在講歐洲的東西
145,F:,..那怎麼知道考試
146,M1:,…考試他有考古題
147,F:,…所以[就很容易]就過了
