Turn,Speaker,Utterance
1,M:,..還有嗎
2,F1:,..好
3,F2:,..@
4,M:,..再來啊再說一堂課讓我感受一下…沒有了嘛沒有了嘛..啊有Homework 三嗎
5,F2:,..好像[還沒說]
6,F1:,[還沒吧]
7,M:,(0)Yeah 啊有期中考嗎
8,F1:,..他[[沒]]考試吧我記得就只有期末報告
9,F2:,[[沒有..]]就期末報告
10,M:,(0)但我機器學習下禮拜要期中考欸
11,F1:,..什麼
12,M:,..那個機器學習概論
13,F2:,..哦=你後來有去修
14,F1:,..誰的啊
15,F2:,..禮拜四下午那個
16,M:,..禮拜二早上..資科的啊我跟劉還有呂
17,F2:,…誰上的啊
18,M:,..嗯=我看看
19,F2:,..說不定我可以幫你拿到考古題
20,M:,..[哎呦]
21,F1:,[哎呦]你說問資科的[[宅宅們]]
22,M:,[[宅宅們]]
23,F2:,..你看你們就這樣X誤會我
24,F1:,..沒有我只是順著你的話
25,M:,..劉
26,F2:,..哦=
27,M:,..有嗎..不熟
28,F2:,..我有…認識可以開個口問問這樣
29,F1:,..他是考考古題喔
30,M:,..Yeah 劉我不知道啊他第一堂課就一直在講線性迴歸我就覺得超無聊的..然後第二堂課去還是在講線性迴歸..我想說你到底要講到什麼時候
31,F1:,..所以你最後去了幾堂
32,M:,..然後就再也沒去了..我去了三次了..去了三週
33,F1:,..會不會發現今天去結果發現是今天考
34,M:,..沒有我去了三週就三週
35,F2:,..沒有他的意思是說不定是今天考試你已經
36,M:,..沒有禮拜二啊.. 禮拜二..可是我問了劉和呂說他們都沒去所以就..嗯=沒關係
37,F1:,..結果你們都不知道這週其實就已經考完了這樣
38,F2:,..哦好那我可以幫你問一下
39,M:,..沒有其實他說已經考完了
40,F2:,..喔對說不定其實考完了
41,F1:,..說不定考完了GG
42,F2:,..沒有拉他們資科的老師都喜歡在當週
43,M:,..真的喔…有有四月十六有建議作業那就一定沒有考試因為它都會它都會po 在moodle 然後有人回他建議作業就會一直寄信給我所以我現在被它佔滿了..我的信箱被被ML 佔滿了但我從來沒有打開來過
44,F1:,..可是實用投資學會一直寄信
45,F2:,..嗯
46,M:,..真的喔
47,F1:,..你寫了嗎
48,F2:,..還沒我還沒動
49,M:,..一定要寫喔
50,F1:,..因為我們那是[期中考]
51,F2:,[期中考]
52,M:,..哦=我下午
53,F1:,..但他要打印出來我都覺得很微妙
54,M:,..我下午還有一堂課要打心得超智障的
55,F1:,..你下午不是
56,M:,..程式設計概論[[為什麼要打心得]]
57,F1:,[[要打心得]]這是什麼
58,M:,..那個老師就是一直很想要做那種翻轉教室的感覺
59,F2:,..你們也有印那種聖誕樹什麼的嗎
60,M:,..什麼聖誕樹
61,F1:,..你是學哪一種
62,F2:,..我那時候..在引水人值班室就是看到一個學妹然後我看著她對著電腦皺著眉頭不知道在幹嘛
63,M:,..現在是什麼時間你給我印聖誕樹
64,F1:,..所以現在要印什麼
65,F2:,…然後
66,M:,(0)今天是受難日啊..禮拜天是復活節
67,F1:,..喔=
68,M:,..但應該沒有人在乎..who cares
69,F1:,..我國中的時候會過復活節欸
70,M:,..因為你們是天主教學校
71,F1:,..就那時候大家都要帶一個雞蛋去學校這樣
72,M:,..然後畫嗎
73,F1:,..對對對
74,M:,..可是不是有一個套子可以套起來
75,F2:,..對[可是就是整個那種]
76,M:,[我小時候一直很好奇]那個套子怎麼套上去的欸
77,F1:,..不知道我們就是自己
78,M:,..妳不好奇嗎
79,F1:,..什麼套子
80,M:,..就是有的雞蛋他會有那種塑膠套..就是他們的彩繪蛋很便宜可以買到那種
81,F2:,..直接弄上去的那種
82,M:,..可是你不知道那怎麼套進去因為它是
83,F2:,..好像是那種長方形的然後用熱讓它縮起來那種
84,F1:,..我沒看過欸
85,M:,..喔你還研究過喔
86,F1:,..我們以前都是自己帶就是空的蛋殼
87,M:,..然後你們要自己畫
88,F1:,..對啊…然後還要做什麼裝飾而且那時候我同學還忘記帶..他就去福利社買了一顆蛋然後拿一根針把蛋黃全部戳出來..就是那個..然後再拿去畫..而且他那個蛋還中午拿去給廚房然後阿姨就說..阿姨要加菜然後中午就多了一個煎蛋吃
89,F2:,..@=
90,M:,..QQ
91,F1:,..就福利社[也有賣生雞蛋]@
92,M:,[欸PyTorch ..有要期中考嗎]你都有去嗎
93,F2:,..我沒有都有去..我這禮拜有去我上禮拜沒去
94,M:,..喔因為學長都會問我說你要不要去PyTorch 我都說嗯
95,F2:,..你為什麼有認識學長
96,M:,..那個啊詹
97,F1:,.. [[哦]]=
98,F2:,[[哦]]=
99,M:,..他沒有修啊..可是他都會問我要不要去
100,F2:,..之之他就是想跟你聊天啊
101,M:,..對啊然後我就會跟他說..嗯=然後他說好拉你不去就算了拉@@然後我就嗯=就嗯=你可以跟他聊天啊
102,F2:,..啊他就沒去了啊
103,M:,..他後來就沒再出現了..喔我好像有一次問他他說他XXXX..他不是有修那個嗎
104,F2:,..哪個
105,M:,..無人機
106,F2:,..喔對啊有啊..他有修
107,M:,..無人機好玩嗎
108,F2:,..就飛啊
109,M:,..你們真的飛喔
110,F2:,..我不是跟你講我們實驗室有那個..架網子設備..然後就是小小的
111,M:,..那飛了摔下來怎麼辦
112,F2:,..所以我們架網子就是底下就是那種有底端具
113,F1:,..就摔了不會怎樣那種
114,F2:,..我們現在飛的是小飛機..三千多塊的那種小Tello [而已]
115,M:,[喔好爛喔..]那個很難飛吧
116,F2:,..就用ROS
117,M:,..喔你們是寫程式
118,F2:,..就用ROS
119,M:,..我飛過那個
120,F2:,..有..他們也有..有做過這個那種的..然後飛在河堤..然後結果就掉下去河堤裡面..然後就叫他們不要去撿了
121,M:,..那個大什麼[大]
122,F2:,[大疆]
123,M:,..那個一台超貴的十五萬
124,F2:,..有我們有買一台二十萬的
125,M:,..那個超好飛的欸
126,F2:,..可=是=因為那台不能做ROS [然後]就
127,M:,[對啊]可是那個手感真的是<L3 iao-shiu-zhang ((非常讚)) L3>欸@
128,F2:,..他們也不敢讓我飛他們也不敢飛..他們..那一..那一..台到現在還沒有就是整個打開
129,M:,..那就是只要附近是空曠的..基本上你隨便飛欸
130,F2:,..但..像山上就是雖然空曠[[但是山上有那個]]
131,F1:,[[會撞到嗎]]
132,F2:,..沒有他有訊號干擾所以其實山上其實..那時候我們一開始在上面辦記者招待會的時候..他有想要就是在那邊展示就是那個無人機飛..好像就是那種軍隊可以在空中做一些什麼排列組合那種
133,M:,..你說屏東那個
134,F2:,..對對對那種東西然後在山上就弄不起來
135,M:,..真的喔那山上是有什麼訊號干擾
136,F2:,..不知道他們說山上訊號很強..可是訊號干擾就真的…就是他可以就是我們明明就已經控制好無人機是從這邊這樣飛過去的..但是它可以就是直接這樣偏掉
137,M:,..哦=那我覺得是你們無人機太爛@
138,F2:,..沒有他們好像試過很多方法就是..就是訊..山上訊號的問題
139,M:,..因為他那個..他那個有GPS 定位在戶外..它是真的會完全死..死在那邊不動
140,F2:,..對啊它那個是連GPS 都失效
141,M:,..好可怕就是那個我非常確定那天風超大我在那邊飛..然後他就完全不會動我就wow 好帥喔
142,F2:,..而且那很[吵]
143,F1:,[喔]
144,M:,[喔]@而且很涼
145,F1:,..可以當吹風啊[[電風扇]]
146,F2:,[[我那時候穿裙子]]裙子是整個起來的那種
147,F1:,..[哇=]
148,F2:,[我後來是黏]雙面膠
149,F1:,..你那時候是黏雙
150,F2:,..什麼
151,F1:,..裙子黏在腿上
152,M:,..那你幹嘛穿裙子
153,F2:,..因為他說我那天是主持人要穿
154,F1:,..那你穿安全褲
155,F2:,..我有穿安全[[褲了]]但它還是整個飛
156,F1:,[[穿褲裙]]
157,M:,..wow
158,F2:,..大飛..然後後來他們就去拿雙面膠給我黏
159,F1:,..黏雙面膠也太微妙了吧
160,F2:,..@=
161,F1:,..就什麼黏在腿上裙子黏在[腿上]
162,F2:,[我那裙子是..]我那裙子是兩層的
163,F1:,..但不能穿西褲那種的嗎
164,M:,..尷尬..你說穿那種連身長
165,F1:,..可是那種裙子不是應該就是窄裙嗎
166,F2:,..我有po 在IG 上是那種裙XX
167,M:,..哇=
168,F1:,..那你下次就穿那種OL 的窄裙啊
169,M:,..我是八是沒有追蹤你
170,F2:,..哇=
171,F1:,..你就穿窄裙
172,F2:,..有啦..有吧
173,M:,..沒有吧
174,F2:,..有拉你有回我..那個上次po 的那一句話
175,M:,..哦=真的喔
176,F2:,..對啊
177,M:,..其實很多人我都沒有追蹤
178,F2:,..哇
179,M:,..我真的形同邊緣人..我不會用啊…我都不知道誰是誰..我只有追蹤一百九十二個人
180,F1:,..那也是滿多的
181,F2:,..@那還比我多欸..哈哈
182,M:,..喔真的喔..沒有我就是當初辦的時候我可能認識哪些人然後我就按OK 按OK 然後就192了就never change
183,F1:,..中間不會一直刪嗎我都會一直刪
184,M:,..不會啊反正我又不常看
185,F2:,..對啊我也不會刪
186,F1:,..我都會覺得不想一直看到不熟的人
187,M:,..真的喔..不會啊不熟的人應該也不會發給你看吧
188,F1:,..就有人不熟但是很愛發啊
189,M:,..你說限動喔
190,F1:,..就是..也不是就是[貼文]
191,M:,[限動]硬要講縮寫..北車、限動、桃機
192,F1:,..桃機還好吧
193,M:,..真的喔
194,F1:,..我覺得這還好
195,F2:,..嗯=
196,M:,..還有什麼..不知道..還有什麼縮寫
197,F2:,..政大啊政大是縮寫啊
198,M:,..喔台大也是縮寫啊
199,F1:,..哪個學校不是
200,M:,..建中也是縮寫啊景美..景美女中景女
201,F1:,..可是
202,M:,..沒有人在講景女的拉
203,F1:,..很少吧因為講景美大家就會知道啊…是女中
204,M:,..可是北一女也是差一個中啊@=
205,F1:,..可是有人會講一女中啊
206,M:,..喔那也只差一個北啊@啊...你講北一大家也聽得懂啊
207,F1:,..因為你講北一你可能會混淆吧…會跟[台北醫混淆]
208,F2:,[嗯..會跟臺北]醫學院混淆
209,M:,..所以大家還是會講中山女中..因為中山太<L3 tsai chi-a ((菜市場)) L3>名了..有沒有有人講中大@@講中大會戰起來..唯一支持央大
210,F1:,..可是像什麼成功也不會說縮吧
211,M:,..成高..功高..沒有欸..成功高中..成功..只會講成功
212,F1:,..就好像高中都講前面兩個字
213,M:,..對啊..我們不會叫[[建國]]啊@建國感覺很蠢欸＠..成功…對欸不會..不會啊..但會講新高啊
214,F1:,[[對啊]]
215,F1:,..我第一次聽到這種說法欸
216,M:,..大家都叫新高新高新高啊
217,F2:,..哪個新
218,M:,..新店高中..新高
219,F1:,..我沒有聽過欸
220,M:,..喔你不唸新高啊..我高中多想唸新高啊
221,F1:,..欸我同學那時候也說想什麼他要唸新店高中..然後後來她考上北一女..還是我們全班第一[名…]超猛的
222,M:,[就是]
223,M:,..可是我高三的時候一直很後悔當初..就是直接唸新高..多爽..雖然沒有比較早到學校
224,F1:,..這樣你榜單不就被學校放三年＠
225,M:,..沒關係啊..搞不好我現在就在台大了
226,F1:,..那會被放出來說什麼賀陳上台大@
227,M:,..對啊..爽啊..讀新高多棒啊..你看又可以每天耍廢..耍一耍廢然後又可以班上前幾名@
228,F1:,..然後直接用繁星就可以上[[台大]]
229,M:,[[對啊]]..我在建中..我連繁星的資格都沒有耶..八十幾..八八還九十二趴..真的是超墊底
230,F1:,(0)但反正你還是要考學測啊..所以也沒有比較輕鬆到哪裡去吧
231,M:,..沒有欸..我覺得真的比較輕鬆..我同學五十..我有認識五十八上台大的
232,F1:,..他是有特殊的
233,M:,..沒有..他就是繁星一趴
234,F1:,..喔
235,M:,..上台大社工..安康的..五十八..我唸那麼辛苦幹嘛
236,F2:,..對啊..我那些念台大的也是..比我還要
237,M:,..對啊..那麼辛苦幹嘛
238,F2:,..不一樣啊
239,M:,..我不用唸書模考就超過五十八
240,F2:,..你好失禮喔
241,F1:,..台大裡頭也很多人很奮鬥你都
242,F2:,..對啊=
243,M:,(0)戰起來
244,F2:,..你要想你在政大才可以認識這麼多
245,M:,(0)誰
246,F2:,..楷啊
247,F1:,..如果你在台大..然後你就會進台大的理工科..你就會系上全部都是宅宅
248,M:,..沒關係啊..反正我高中也都是宅宅@
249,F1:,..感覺起來
250,M:,..但我覺得我應該不會想念大學資工啦..感覺會好累…我不想念普化..普生..普物
251,F2:,…這都要唸嗎
252,M:,(0)這都要唸..三類要選一個..然後大家都會選普物..因為普物學分多..然後普化真是…你們都沒有寫過結報月報對不對..化學..[化學]
