Turn,Speaker,Utterence
1,F1:,..喝咖啡[早上..]有喝咖啡會對胃不好
2,F3:,[很好喝eh]
3,F3:,..半糖eh..半[[糖]]
4,F2:,[[等]]一下胃破洞等一下胃破洞
5,F3:,..屁啦
6,F2:,..[真的啦]
7,F1:,[要<L3套水 L3>]
8,F3:,..我有吃啊我吃兩口
9,F2:,..才吃兩口而已[怎麼夠]
10,F3:,[@@@]..我胃很..堅強
11,F1:,..[[很堅強細胞壁]]
12,F2:,[[@@@=胃]]壁也[破掉]
13,F1:,[就是]
14,F2:,..@@@..白痴
15,F3:,..你看了沒..[我還沒看]
16,F1:,[我=]我回家有看可是..沒有[[背很熟]]就[看過一遍..他們]都在教室看ne..他們三個
17,F3:,[[我忘記了]]
18,F2:,[[好用功喔..今天]]
19,F3:,..[誰]
20,F2:,[哪]三個
21,F1:,..就..那個..我們那組演爺爺那個啊..劉..那個那個
22,F3:,..那個劉喔
23,F1:,..不是..不是劉
24,F3:,..不然le
25,F1:,..演爺爺那個叫什麼
26,F2:,..誰什麼誰演爺爺@
27,F1:,..那個..邱..邱..[[邱]]
28,F3:,[[邱]]
29,F2:,..喔對
30,F1:,..[然後還有][[那個..姚]]跟班長
31,F2:,[你看]
32,F3:,[[唉唷我劇本寫好了]]
33,F3:,..昨天那個張拿那個..拿劇本來..來跟我講..那個拿劇本來之後我就..覺得有點那個他把那個重要地方都刪掉了所以[我就重改]
34,F1:,[啊..你們要]怎麼怎麼演…不是啊就是[[那個]]..什麼時候要演
35,F2:,[[賢]]
36,F3:,..啊你今天不是不能留
37,F1:,..我問你們啊..啊你們要怎麼演
38,F3:,..就排戲啊[下午]
39,F1:,[禮拜一]..還是
40,F3:,..沒有..今天下午
41,F1:,..um你們就重要的角色就派給有來的啊
42,F3:,..@@@=原來是這樣
43,F1:,..啊不然我們沒有來的就[不知道]
44,F3:,[是這樣]
45,F2:,..誰叫你們要去坐後面
46,F3:,..而且我在想說
47,F2:,..因為
48,F3:,..我們要不要做道具
49,F1:,..道具..可是道具不是像..別組..[桌子椅子這樣幹這樣用]
50,F2:,[做一下比較好..做一下]..做一下會比較好
51,F3:,..你們有那個嗎
52,F2:,..幹嘛塗這樣
53,F3:,..不是啦..那個我要問那個..那個
54,F1:,..哪個[[混亂]]了
55,F3:,[[音樂]]..音樂
56,F2:,..音樂
57,F3:,..對..[你們不是]有那個什麼dengdengdengdeng那個
58,F2:,[什麼音樂]
59,F2:,..喔你[[要跟那個軒]]拿
60,F1:,[[dengdengdengdeng]]
61,F3:,..軒是誰
62,F2:,..@@@
63,F1:,..軒..就是
64,F2:,..不知道要怎麼講
65,F1:,..ei ...啊我知道..[跟我]
66,F2:,[就是那個]
67,F1:,..同一個[[社團的]]
68,F2:,[[黑黑的]]
69,F3:,..誰跟你同一個社團我怎麼知道啊
70,F1:,..[就是一個短頭髮然後戴眼鏡]
71,F2:,[黑黑的啊..對對對對]..[[對]]
72,F3:,[[X]]軒
73,F1:,..[沒關係]你回去問去看[[座位表]]
74,F2:,[沒關係]
75,F3:,[[是那個]]..蠢蠢加臭臭那個嗎
76,F2:,..對對對對對[對]
77,F3:,[喔]那我知道了...[[為什麼他綽號叫臭臭]]
78,F1:,[[這個我就不知道]]為什麼他要叫臭臭
79,F3:,..我不知[道]
80,F2:,[好]像是說以前說什麼有人去爬樓梯然後在後面然後就說他屁股很臭[[@@@=]]
81,F3:,[[@@@=]]
82,F1:,[[@@@=]]很沒品[怎麼會講這個]
83,F2:,[對..真的]..是那個誰莊..那個什麼恬稜講的..突然忘記他的名字
84,F3:,..芬跟他同班喔
85,F2:,..對啊但是[他們原本]很好可是現在就...還好
86,F3:,[喔是喔]
87,F3:,..我要再吃一口
88,F2:,..各自都有那個
89,F1:,...各自有歸屬
90,F2:,..對那個..不不一樣的那個
91,F3:,...的什麼
92,F2:,..朋友那個類型不一樣...[所以就..比較]
93,F3:,[XX家還不錯]X跟麵都還不錯啊
94,F1:,..便當..對啊
95,F3:,..對啊
96,F1:,..配菜的很好
97,F3:,..對啊
98,F2:,..[對啊]
99,F1:,[對啊]
100,F3:,..對啊
101,F1:,..對啊[@@][[@@]]
102,F3:,[幹嘛]
103,F2:,[[@@]]
104,F1:,..沒有看你吃早餐...[看起來很好]吃
