Turn,Speaker,Utterence
1,M:,我今天有跟你講..那個..Jason的事嗎
2,F:,..沒有啊
3,M:,..就是
4,F:,..他抱你
5,M:,..對..他..他因為做錯..不知道做錯甚麼事情..然後就覺得很對不起我
6,F:,..嗯  
7,M:,..然後他就說..eh朱怎樣怎樣..然後我就說停止放開..這個不是你能抱的..只有一個人可以抱而已
8,F:,..[ @@@]=你這樣跟他講
9,M:,[@@@=]
10,M:,..對..然後他整個人喔喔喔..這樣..趕快放開
11,F:,..ha
12,M:,..然後第二次喔..第二次我坐在辦公室..他過來我不知道..承認甚麼事..又錯..然後就過來摸我的頭..我說手拿開..這個也不是你能夠摸的[@@@=]
13,F:,[@@@=]
14,M:,他整個人很尷尬
15,F:,你很over 吧..可是很好..以後[就這樣]
16,M:,[對啊]
17,F:,..[[@@@]]
18,M:,[[@@@]]..他也很好笑啊..然後他說我快被淹死了
19,F:,..你
20,M:,..嗯
21,F:,..你淹死
22,M:,..嗯
23,F:,..為甚麼
24,M:,..因為他說我沈浸在愛河裡面..快被淹死了
25,F:,..那跟掃螞蟻有甚麼兩樣
26,M:,..對啊..整個很好笑[喜歡虧我]
27,F:,[他那天很好笑]..掃地就掃地..掃甚麼..[[掃螞蟻]]
28,M:,[[掃螞蟻]]..@
29,F:,..為甚麼
30,M:,..啊
31,F:,..[為]甚麼要掃螞蟻
32,M:,[就]
33,M:,..就..太甜了啊..吸引一堆螞蟻過來
34,F:,..@@@=
35,M:,..笑得太甜了...Jason其實人..人很好
36,F:,..對啊..我們改天找他吃[[飯哪]]
37,M:,[[有啊我有跟他講]]
38,M:,..對啊
39,F:,那..那這個就真的你來排了
40,M:,..嗯..好
41,F:,..反正我就是晚上
42,M:,..嗯
43,F:,..如果不是weekend 的話
44,M:,..OK…可以叫他帶他女朋友..沒有[曝光的]
45,F:,[<X有伴Ｘ>]
46,M:,..<X有伴X>..沒有曝..曝光過的
47,F:,..到現在都沒有嗎
48,M:,..大家應該大家現在應該知道..可是你想想看他們交往多久了..三年了..三年le..然後他一直隱藏得很好
49,F:,..很久嗎
50,M:,..可是在公司來講他們是同一個部門..在同一個部[門]
51,F:,[喔]你是說時間很久..可是是..大家不知道的情況之下
52,M:,..對
53,F:,..還那麼久又同部門
54,M:,..對..然後都沒有一些破綻
55,F:,..你講的這個..我那天不是跟V 聊天..我就說..喔..有可能E又要調回去高雄了
56,M:,..嗯
57,F:,..然後他就說那天他跟鈴聊很久啊..甚麼的..然後就說他了解E的處境啊..畢竟在同一個公司綁手綁腳的..我就不認同...我沒有回他甚麼..我只是覺得說..但是我覺得..琴他能力也不錯..他[應該]
58,M:,[對啊]
59,F:,..deserve it ..[[然後]]
60,M:,[[eh..其實]]他比任何一個主任的觀念都還好
61,F:,..對..然後..他就說他覺得琴看起來很強勢
62,M:,..嗯
63,F:,..或許應該要建議他跟..他說他可能跟..E的溝通沒有很好..我就說可能是..他說或許他應該要..我應該要建議..琴就是..可以用以柔制剛..因為琴會..像我一樣
64,M:,..對
65,F:,..得理不饒人
66,M:,..對..[很硬]
67,F:,[如果]..你…你就是有理的時候..你要..你要..你要我..[[軟]]下來
68,M:,[[軟]]...[不可能]
69,F:,[就是]..當下就不行..可是我覺得這樣就是佔弱勢了..以後應該得理可是
70,M:,..[[可以饒人]]
71,F:,[[又要用]]..不是..又要用軟的攻勢讓你一點輒都..你就有..辦..有可能會被我說服
72,M:,..嗯..對...很機車的想法.. @@@ [=]
73,F:,[誰..我嗎沒有啊]可是你自己想想看..你也希望人家跟你講事情的時候是..不是太..太..[[硬的]]
74,M:,[[情緒太高漲的]]
75,F:,..不是情緒..就是太硬..我知道你對..但是如果你那麼的硬那麼的強勢的時候..我就是不爽[接受]
76,M:,[不爽]
77,M:,..嗯
78,F:,..不曉得不爽這兩個字..S有沒有辦法打出來
79,M:,..@@@不爽應該可以吧
80,F:,..對啊..然後..[可是]
81,M:,[不爽]不爽不爽
82,F:,..可是＠＠＠=＠
83,M:,..@@@=這個有沒有在repeat 的感覺
84,F:,..有…可是
85,Ｍ1:,..而且頭還回喔
86,F:,..對啊..然後可是..如果說我有理..可是我又用很低姿態或比較柔的方式去講..請問你要怎麼回絕我
87,M:,..就沒辦法
88,F:,..對啊
89,M:,..就是很高招的一招
90,F:,..也不是高招..只是人都喜歡...人家不要講比較..硬[或]難聽的話啊
91,M:,[硬]
92,M:,..嗯..對啊..我喜歡聽好話
93,F:,..嗯..朱你去倒一杯水..講那麼久..口[[渴了]]
94,M:,[[@@@=]]可以離開鏡頭嗎
95,F:,..再回來啊
96,M:,..@@[@@@=]
97,F:,[@@@=]
98,F:,..你沒有打..[[你沒有打開蓋子]]請問水怎麼跑下來
99,M:,[[＠＠＠=]]
100,M:,..這個...請把它剪掉...如果我喝一口餵你XX..可能沒辦法接受
101,F:,..嗯
102,M:,..呵
103,M:,…夠嗎
104,F:,..嗯
105,M:,…ha
106,F:,..我覺得我們好有義氣喔
107,M:,..甚麼意思
108,F:,..我們在錄影[＠＠＠]
109,M:,[@@@=]
110,M:,..可是剛剛講到我..沒有想到錄影這件事
111,F:,..甚麼東西
112,M:,..剛剛有些談話沒有想到..錄影..這件事
113,F:,..因為其實就很..自..[[自]]然的在談話
114,M:,[[嗯]]
115,M:,..嗯
116,F:,..你剛剛說新竹怎樣
117,M:,..如果我去新竹就剩你一個人在這邊
118,F:,..如果你們大家都去了[然後]琴去當主任
119,M:,[對啊]
120,F:,..你跟E去當副店..[[然後我]]弟也走了
121,M:,[[對啊]]
122,M:,..對啊
123,F:,..你們好耶...＠＠＠
124,M:,..這樣你的..你的..那個想法就實現拉..大家都走了..剩我一個人..留在這邊
125,F:,..我的想法..我的恐懼吧..我的[想法]
126,M:,[你的恐]
127,M:,..想法..恐懼啊
128,F:,..那那時候你要答應我
129,M:,…what
130,F:,..我不是有跟你講過
131,M:,..嗯..喔..安全感
132,F:,..是甚麼
133,M:,..嗯
134,F:,…你還是要買房子[啊]
135,M:,[嗯]
136,M:,..是啊..eh[[我本來想說]]..eh..禮拜..五..我們去..可以去新店看說
137,F:,[[不能因為]]
138,F:,..好啊..我們先..這兩..eh那明天就要找了..明天不曉得有沒有空找..因為[你要看之前]你還要預約啊
139,M:,[嗯對喔]
140,M:,..明天..不然..我..我找
141,F:,..除非..你如果不怕仲介的話啊
142,M:,..嗯
143,F:,..我們就是去新店那附近的
144,M:,..找仲介
145,F:,..的房..不動產的..那個[[公司]]
146,M:,[[對]]
147,F:,..有沒有..直接去問他有甚麼物件
148,M:,..嗯
149,F:,..然後請他帶我們看
150,M:,..eh
151,F:,..然後..如果那樣就可以..可是如果說..而且那樣..他可以先幫你挑選..他[可能]有你的預算
152,M:,[嗯嗯]
153,F:,..有你[[的]]
154,M:,[[嗯]]
155,F:,..想要找的..譬如說五年內的房子..等等[大小]
156,Ｍ:,[嗯]
157,F:,..喔..甚麼的那..可是..你只要一找到他之後會一直不斷的call 你..當他有物件的時候..如果你不怕煩.. [[可是]]
158,M:,[[嗯]]
159,F:,..其實你換個角度..如果你真的要買
160,M:,..對[啊]
161,F:,[他]call 你[[也OK啊]]
162,M:,[[你不用怕煩啊]]
163,M:,..對啊..[不怕煩]
164,F:,[對啊]
165,F:,..因為你隨時會知道..而且你的時間又很好
166,M:,..嗯
167,F:,..因為你是..week day
168,M:,..嗯嗯
169,F:,..休假[比較多]
170,M:,[對啊對啊]
171,F:,..白天又可以看屋
172,M:,..嗯
173,F:,..有可能是下午才上班
174,M:,..嗯
175,F:,..就很不錯
176,M:,..嗯
177,F:,..那..你就有機會看到很多
178,M:,..嗯
179,F:,..然後你可以去找兩到三家不要太多
180,M:,..嗯
181,F:,..兩家..左右的仲介
182,M:,..嗯
183,F:,..然後去那附近[找這樣說不定有甚麼]
184,M:,[看看]
185,M:,..我們就搭捷運..過去看..因為我們畢竟也是要找捷運附近的..對不對
186,F:,..嗯..因為我想問如果你..都因為說你連要住哪都還不確定你永遠都不可[[能settle down 那你就不會買]]
187,M:,[[嗯真的]]
188,F:,..那..如果..嗯..這個對話
189,M:,..[@@@=]
190,F:,[如果..如果..你是]..譬如說..我們兩個有個commitment
191,M:,..嗯
192,F:,..然後..我覺得我一定是會在台北
193,M:,..嗯
194,F:,..對..除非哪天你發達了說M你不要做了
195,M:,..嗯
196,F:,..那..不然我應該就是會在台北因為我不像你們會調來調去啊
197,M:,..不是說你們公司有可能會到哪邊去
198,F:,..請問網路公司要到哪邊去網路公司在哪都可以是..根本不可能有甚麼分公司啊
199,M:,..喔
200,F:,..可是我不可能..不太..短期內不可能換掉啊
201,M:,..嗯
202,F:,..因為...工作一來不好找你又要考慮到pay
203,M:,..嗯
204,F:,..有沒有比較好
205,M:,..嗯
206,F:,..那我一定會在台…北啊
207,M:,..嗯
208,F:,...你介意嗎..講得好像反過來我要問你..你介意我都在台北嗎..還是你覺得我也要辭掉工作去新竹找
209,M:,..＠＠我那天跟..E講說..其實如果我去新竹..我可能..可能就是叫..M辭掉這邊然後一起.. 到新竹那邊去
210,F:,..去那邊幹嘛
211,M:,..就找竹科的啊或是甚麼樣..或者是..或者是你要幹嘛都可以啊
212,F:,..幹嘛都可以
213,M:,..對啊
214,F:,..你要養我喔
215,M:,..eh可以..應該可以養得起吧
216,F:,..可是我們沒有房子跟車子啊
217,M:,..那可以買啊
218,F:,..那..也要等..你s-..你穩定了吧
219,M:,..嗯
220,F:,..對啊..因為如果你[沒有]穩定然後我就..冒冒失失的說..喔好啊我也不想要工作..我就去陪你
221,M:,[穩定]
222,M:,..嗯
223,F:,..那..之後...沒了..我還..工作也沒了..人也沒了..甚麼都沒了..青春也沒了
224,M:,..@..講得好大條喔..可是很現實
225,F:,..可是我..對我來講真的是很可怕啊
226,M:,..嗯
227,F:,..第一我..目前我覺得我需要工作..而且..如果我一不工作..你的負擔就很大啊
228,M:,..嗯
229,F:,..對不對
230,M:,..對..想東想西..買東買西..吃東吃西..[[那麼多]]
231,F:,[[目前]]只有吃東吃西
232,M:,..那麼多吃吃的在引誘著你＠＠
233,F:,..嗯..最近會吃少一點..都沒有[XX]
234,M:,[二十四]二十四號之前吃少一點
235,F:,..對啊..那麼肥
236,M:,..我怕他們..到..高雄看到你會..M你怎麼... @＠..一圈@@@＠＠..繞一圈@@@=
237,F:,..沒有啊我那時候不是也很胖前陣子幸好我有瘦一點
