Turn,Speaker,Utterence
1,F:,以前的那個salon什麼 hair salon 就是..[蕃茄紅隔壁]隔壁
2,M1:,[就那個]
3,M2:,..喔ei那一家
4,M1:,..你吃過了喔
5,M2:,..喔那家喔
6,F:,..它一開始就九折然後飲料又第二杯半價所以我就進去了..[[然後我那時候]]點鬆餅
7,M1:,[[你跟誰]]
8,F:,..我跟我前室友..我們現在蠻常出去的
9,M1:,..嗯huh
10,F:,..一個女生然後
11,M1:,..正嗎
12,F:,...嗯[她比較嚴謹]
13,M2:,[可以介紹給他啊]
14,F:,...[[她比較嚴謹]]不是你喜歡的型
15,M2:,[[喔那就算了]]
16,F:,...[很漂亮]但不是你喜歡
17,M1:,[不不不像]..不像徐是正妹級..徐跟亮...[[@@@]]
18,F:,[[不是那種的]]..絕對不是[那種的]
19,M2:,[喔那就s-]..[[那就算了]]
20,F:,[[你應該]]...那個型是漂亮有氣質可是你應該不會喜歡因為她很[嚴謹]
21,M1:,[老大]
22,F:,...不太一樣..不太一樣
23,M2:,..跟你一樣大是不是
24,F:,..她..跟我弟[一樣大]
25,M1:,[算了]
26,F: ..,..她小我三歲
27,M1:,..算了..就跟[[XXXX]]
28,F:,[[她現在大四]]
29,M1:,..就跟
30,M2:,..ha她現在[大四]
31,F:,[跟你]一樣大
32,M2:,..喔跟我們[一樣大]
33,F:,[然後她要]提早畢業
34,M1:,...跟邱[[一樣]]
35,F:,[[要提早]]畢業是不是很強
36,M1:,..還好啊
37,M2:,..要看是不[是]
38,M1:,[邱]也也提早畢業[[啊]]
39,M2:,[[對啊]]邱提早[畢業]
40,F:,[可是]..[[邱]]邱學分很..不是只要修很少嗎通常那種傳播的學程學分
41,M1:,[[好我們]]
42,M1:,..[哪有]還是128啊
43,M2:,[重點是]...對啊還是128啊..基礎沒有變啊
44,F:,..對啊可是我們138啊
45,M1:,...so ..你們系是你們..那麼簡單啊
46,F:,...也是..我們系是128還是138我都忘記了..喔..反正蝴蝶漾就...它鬆餅一個就100塊嘛
47,M1:,..嗯
48,M2:,..喔
49,F:,..是沒什麼東西那種就100塊喔
50,M2:,..喔沒什麼東[西]
51,M1:,[原][[味的]]
52,F:,[[有冰]]淇淋就要150喔
53,M2:,..這樣還要150[塊喔]
54,M1:,[那]老薑lei
55,F:,...老薑我覺得是店很[可愛然後]
56,M2:,[老薑在哪裡啊]
57,F:,...uh
58,M1:,..在後山公企中心的 Seven那邊的旁邊
59,M2:,..喔喔[喔]
60,F:,[對]對對 ei你講得好確切yo我每次[[都講飛碟早餐]]的
61,M1:,[[因為我..在..我]]...沒有我我家教學生要從那旁邊那邊繞過去
62,F:,..老薑就是很漂亮然後它東西也蠻特別的它那個法式吐司也是150可是它吐司很大片..然後它...主食就只有咖哩飯跟...歐式麵包的 set的跟
63,M2:,[嗯]
64,F:,..就我會說老薑的東西比較精緻可是它也比較貴
65,M2:,..嗯..[對啊]
66,F:,[所以]這就是感覺就是很正[[常]]
67,M1:,[[啊]]那個lei..蝴蝶漾樓上開了一間美式X
68,F:,..還不錯...大魚墮落它還不錯
69,M2:,..大魚墮落不錯啊
