Turn,Speaker,Utterence
1,M:,你那天侯跟我說他說你有話要跟我們講我想說喔g該不會要結婚吧..因為我覺得你們好像很穩穩到就是
2,F1:,…他直接line 我問我說
3,M:,..你是不是要[結婚]
4,F1:,[ei]是不是要[[結婚]]
5,M:,[[好像直接]]問你..對啊
6,F1:,..我是不是要結婚
7,F2:,..我不講他還生氣耶
8,M:,…ha
9,F2:,..我那時候說到時候就知道了..[然後他就生氣]
10,M:,[我說賣什麼關子]..結[[果搞半天]]是你離職
11,F2:,[[那不會]]
12,M:,..那我就整個…[就喔還好嘛離職那我就che]如果說結婚的話我說喔
13,F2:,[@@@]
14,F1:,..我要去澳洲啊
15,M:,..那還好我以為你説結婚再去
16,F1:,..ei你一年看不到我ei
17,M:,…我兩三個好姐妹國中的都..去一個去..一個變CCR … CCR 是什麼..你知道嗎
18,F1:,..fe fe尺
19,M:,..fe fe尺哎yo..你是鄉民喔
20,F2:,..fefe尺是什麼
21,M:,…cross cuture [romance]
22,F1:,[cul] cross [[culture]]
23,M:,[[cul]] ..是culture 不是cuture ..[culture romance]..romance
24,F1:,[culture啦]..羅曼史
25,M:,..羅曼史…就是女生[去外國]然後跟
26,F1:,[S]
27,F1:,…異國[[戀啦哪有人講那麼]]
28,M:,[[異國戀..沒有沒有沒有喔]]..男生去那不叫fe fe尺是女生才有他們這個詞是設計給女生的
29,F1:,..然後lei
30,M:,..就是女生去然後..男朋友是…外國人的話就是
31,F1:,..就是女生[很崇洋啊]
32,F2:,[可是他沒有他要跟]E一起去ei
33,M:,..不是我説我朋友..[[就是很常出國]]一個月現在現在還在美國uh去韓[[[國去]]]
34,F2:,[[那他你沒辦法片面分析]]
35,F1:,[[[沒關係啊]]]我本來就叫小fe啊
36,M:,...對啊
37,F2:,..@@@
38,M:,..反正那你們要去幹嘛..去打工
39,F1:,..去打工啊…去玩
40,M:,..摘櫻桃…農莊的那種摘櫻桃..然後清理[那種]
41,F1:,[或是]..對啊清理的…[[然後]]賣東西
42,M:,[[那個]]
43,F2:,…ha賣東西
44,F1:,…可能就是雜貨店啊[還是什麼的]
45,F2:,[喔]
46,M:,..可是..EXX不是説他他們有家庭的那個事業要顧他爸媽那個允許[[讓他去]]
47,F1:,[[啊哪有]]啊還好吧他又不用接他爸媽的生意
48,M:,..喔
49,F1:,..而且他現在有工作他的
50,M:,..可是他要辭掉
51,F2:,..誰要[接]
52,F1:,[他又要]辭掉
53,F2:,..就不用不用有人接他爸媽工作
54,F1:,..他媽又沒有工作只有他爸有
55,F2:,..對啊他爸你不是說在哪裡
56,F1:,..在印[[尼啊]]
57,F2:,[[菲律]]喔
58,F1:,…但我覺得..他他[不]
59,M:,[不]想沒興趣
60,F1:,…應該沒吧
61,M:,..是喔..什麼應該沒[[你]]
62,F1:,[[未來]]的事很難說
63,M:,..真的你講的沒錯
64,F1:,…你幹嘛你手機響喔
65,M:,..沒有啦我剛把它調震動..這樣就[不會打擾到我們對談]
66,F1:,[為什麼..你以為]我們在看電影嗎[[@@@]]
67,F2:,[[@@@]]
68,F1:,..[@@@]
69,M:,[最近電影..有什麼好看的]
70,F2:,..地心[[XXX]]
71,M:,[[我都沒有]]
72,F1:,..喔我已經看地心引力[了]
73,F2:,[好]看嗎..[[我想]]
74,M:,[[不好看]]
75,F1:,..很像…那個外太空版的浩劫重生..如果你喜歡看浩劫重生的話你就會覺得地心引力[還不錯]
76,M:,[我想要看]..我想要看那個什麼什麼鋼鐵墳墓
77,F2:,…喔那兩個[[那麼老]]了
78,M:,[[超好看]]
79,M:,..我[超喜歡]
80,F2:,[你想看那]種老星打架
81,M:,..ei可是..難得不是重點是內容還我還滿喜歡它是監獄然後説要逃出來
82,F1:,..喔我有覺得[[想看這個]]
83,M:,[[最高科技的]]科
84,F2:,..可是你知道是誰演的嗎…阿諾[史瓦辛革跟席維斯史特龍]
