Turn,Speaker,Utterence
1,M2:,(0)有啊..他們時間點都訂得很怪
2,M1:,..你說加我們大家嗎...啊怎麼沒有跟大家講...是還沒有跟大家講
3,M2:,..[對啊]
4,M3:,[可是]..禮拜三我們也不行啊
5,M1:,...對啊
6,M2:,..為什麼
7,M3:,...沒有啊..我是說我可以..其他人不行...一定有人不行[吼]
8,M1:,[對啊]
9,M2:,[喔]
10,M1:,..像..像我..像我禮拜四..我..很多人都還有期末考
11,M2:,...對啊
12,M3:,...我還要考棒球欸
13,M1:,...@
14,M3:,..我唸一下
15,M2:,....然後他們又說什麼...你唸棒球唸什麼啊..[拿那顆球起來唸喔...喔縫線...是縫線]
16,M3:,[@@@=]
17,M2:,...不是最爛喔...[[@]]
18,M3:,[[幹]]
19,M2:,..還是K最爛
20,M3:,..K[...最爛@@@=]
21,M2:,[@@@=]
22,M3:,...K..最爛隊長
23,M2:,..@@@
24,M1:,..可是他..可是他
25,M2:,..他球滾到他旁邊他不會撿
26,M3:,..可是他..球如果離你這麼近...你會不會去接它
27,M1:,..他..他說他最..他說你們..他..什麼..你們打得很爽的那場..他有認真打
28,M3:,...有啊
29,M1:,..[他說]
30,M3:,[還要]
31,M1:,..有點像..高中體育課的感覺[[XX]]
32,M3:,[[@@]]...我要當開路先鋒..好球...欸投得不錯哦投得不錯哦...欸為什麼打不到
33,M2:,..@@@=
34,M3:,...我讓你的我讓你的..來再一顆好球快快我要走了
35,M2:,...XX我要[走了]
36,M3:,[@]被三振
37,M2:,...好可憐...密籌是什麼時候啊
38,M1:,..[[就]]
39,M2:,[[下禮拜一]]
40,M1:,..禮拜一...禮拜一到十...九號
41,M2:,...那麼長喔
42,M3:,...它是中間都沒有休息
43,M1:,...對啊...六日都不休息
44,M2:,..[huh]
45,M1:,[那..]那天我們就問過[[啊]]
46,M3:,[[這樣]]會很累欸
47,M1:,..那天我們就問[過啦]
48,M3:,[每天就]
49,M2:,..是有那麼多事情要做喔
50,M3:,..[[弄到晚上]]
51,M1:,[[就不知道]]啊...而且早..我是..我是想早一點起來做一點自己的事...因為我們
52,M2:,..我們系籃有那個啊
53,M1:,..我們..就是每週都有訂自己要練的東西
54,M3:,...啊我...可是
55,M1:,...喔晚..我是覺得晚上也不會練到太晚啦
56,M3:,..不是啊我們不是只有劇...跟
57,M1:,..一堆[舞啊]
58,M3:,[舞]..舞也沒有[[一堆啦]]
59,M2:,[[沒有一堆啦]]
60,M1:,[[沒有]]..合舞雙人男舞女舞搞笑
61,M3:,..雙人很[快啊]
