Turn,Speaker,Utterence
1,F2:,..超好笑..我也不知道啊..就剪片的時候..還有更誇張的啊第一集就直接拍到那個..就攝影機@因為他有很多個角度..然後他就..照這個角度的時候..他就不小心拍到..就是這邊的[攝影機]
2,F1:,[為甚麼會]沒有[[發現啊]]
3,F2:,[[我也覺得]]超誇張..可能那時候也很久吧..就是[一九..欸]
4,F1:,[喔=嗯]
5,F2:,..兩千年嗎...差不多..對啊
6,F1:,..[[嗯嗯]]
7,F2:,[[對啊]]...可能就沒有那個..然後現在..啊..可以現在..講別人的壞話嗎..欸..我有跟你講朱...那個..我之前不是申請捷克那個
8,F1:,..喔=對對對
9,F2:,..[然後我沒有上]對不對..然後結果他就
10,F1:,[你有..你有講]
11,F2:,..喔我有..[[喔..我有講過]]
12,F1:,[[他有問你]]
13,F2:,..對對對
14,F1:,..上次吃飯的時候
15,F2:,..對對對..他..他其實一開始是去問陳..但陳就直接..也..沒有讀他
16,F1:,..喔喔..[所以大家都不理他]
17,F2:,[所以他才來問我]..就..我以為他先來問我..然後我..我沒有跟他講..他才去纏她..結果[[不是]]
18,F1:,[[嗯]]
19,F2:,..是[陳]
20,F1:,[他]跟他比較熟吧
21,F2:,..[[嗯=]]
22,F1:,[[現]]..可能吧
23,F2:,..同班..現在同班吧..對啊
24,F1:,..嗯嗯
25,F2:,..然後..陳前幾天還跟我講說...沒有..是...他先去問她..然後她完全不想理他..然後..就..未讀他所以他才來問我
26,F1:,..嗯
27,F2:,..結果我也未讀他
28,F1:,..嗯
29,F2:,..然後他現在..喔..陳跟我講說他把她踢出他的摯友..就IG 的摯友...[然後]
30,F1:,[你說]陳踢出他的還是
31,F2:,..朱把陳踢出IG 摯友可是我覺得IG 現在好像..沒有...沒有那個功能..我也不知道欸..[[就是]]
32,F1:,[[摯友]]功能沒有嗎
33,F2:,..就是
34,F1:,..你說不會通知說你
35,F2:,..就是..因為你..你點進去別人的帳號
36,F1:,..嗯
37,F2:,..比如說因為我們之前都是朱的摯友嘛
38,F1:,..[嗯]
39,F2:,[然後]點進去之後他的頁面不是會有一個選項是可以選...呃...就是他這邊..是不是有四格
40,F1:,..哦
41,F2:,..但他現在就沒有
42,F1:,..我看一下
43,F2:,..所以就不知道到底是..可是如果他把我踢出去我還是可以點那個選項..他只會顯..他只會顯示說
44,F1:,..這個只會
45,F2:,..這邊..對對對..[[他發布的]]
46,F1:,[[對那個..開]]
47,F2:,..對對對..可是現在也沒有那個...那個功能..我就覺得超怪..可是..反正就是..陳就跟我講說他很久沒有看到朱的限動..然後我就[突然發現]
48,F1:,[被他封鎖了喔]
49,F2:,..我好像也很久沒有看到他的限動...我也不確定[[他]]
50,F1:,[[他本來]]就很少發了吧我也不知道
51,F2:,..是沒錯但..所以我..我也很難確定..可是..他現在..直接..看到我直接假裝沒看到...我就覺得超[傻眼]..就是
52,F1:,[他好像]現在都這樣欸
53,F2:,..[[喔]]
54,F1:,[[我]]在路上遇到他還是會打招呼啦
55,F2:,..他..可是我...他之前[是]
56,F1:,[因為我..]嗯
57,F2:,..比如說我..站在排..我排公車..然後他經過還會這樣子
