"id","doc","unitSeq","Speaker","TurnSeq","IUSeq","Utterance","docTokenSeqFirst","docTokenSeqLast"
"6644D47B39EB","NCCU-TM025-CN-FM_Ryan",1,"F:","1","1","(.) 而且 我 發覺 啊 .",1,6
"2847452249607","NCCU-TM025-CN-FM_Ryan",2,"F:","1","2","(.) 現在 不是 都 有 很多 部落客 在 寫 [那種] ,",7,17
"33BD93A0F36AD","NCCU-TM025-CN-FM_Ryan",3,"M:","2","3","[嗯] .",18,19
"169DC25B62545","NCCU-TM025-CN-FM_Ryan",4,"F:","1","4","(.) 什麼 推薦 文 啊 ,",20,25
"1D0EEA1C665C4","NCCU-TM025-CN-FM_Ryan",5,"F:","1","5","(.) 什麼 的 .",26,29
"1111D1AE63362","NCCU-TM025-CN-FM_Ryan",6,"F:","3","6","(.) 他們 那些 人 都 ,",30,35
"29045138C50F0","NCCU-TM025-CN-FM_Ryan",7,"F:","3","7","(...) 都 不約而同 會 同時 ,",36,41
"13060E4F543B7","NCCU-TM025-CN-FM_Ryan",8,"F:","3","8","(...) 就是 大概 那 個 時間 都 推薦 同 一 間 店 .",42,54
"1BA96DC7B3DC9","NCCU-TM025-CN-FM_Ryan",9,"M:","4","9","(.) mhm .",55,57
"31A7FAF53DD7D","NCCU-TM025-CN-FM_Ryan",10,"F:","5","10","(.) 就 大概 都 是 那些 店 同時間 [2找2] 他們 ,",58,68
"4BEAF9E316D7","NCCU-TM025-CN-FM_Ryan",11,"M:","6","11","[2對 啊2] ,",69,71
"186BBBB3BD0F7","NCCU-TM025-CN-FM_Ryan",12,"F:","5","12","(...) 那 個 嗎 ?",72,76
"5BE86CA9C543","NCCU-TM025-CN-FM_Ryan",13,"M:","6","13","(...) 差不多 .",77,79
"262288687E640","NCCU-TM025-CN-FM_Ryan",14,"F:","7","14","(.) 可是 有人 會 因為 這樣 ,",80,86
"2425EB9AB589F","NCCU-TM025-CN-FM_Ryan",15,"F:","7","15","(.) 然後 就 真的 去 買 去 那 個 ,",87,96
"2EA0144A60979","NCCU-TM025-CN-FM_Ryan",16,"M:","8","16","(.) 會 啊 .",97,100
"CB070A525230","NCCU-TM025-CN-FM_Ryan",17,"M:","8","17","(...) 不然 為什麼 那些 部落客 那麼 紅 .",101,108
"310C3158DC625","NCCU-TM025-CN-FM_Ryan",18,"F:","9","18","(...) 好 ,",109,111
"235314F563F69","NCCU-TM025-CN-FM_Ryan",19,"F:","9","19","(.) 好 無聊 .",112,115
"211E7D51E6510","NCCU-TM025-CN-FM_Ryan",20,"F:","9","20","(...) 可是 那 畢竟 ,",116,120
"2580C184F71CB","NCCU-TM025-CN-FM_Ryan",21,"F:","9","21","(...) 不 是 真實 的 生活 ,",121,127
"32A790C67677","NCCU-TM025-CN-FM_Ryan",22,"F:","9","22","(.) 真實 的 生活 根本 不 會 那麼樣 啊 .",128,137
"1CA9D4A1F9AD0","NCCU-TM025-CN-FM_Ryan",23,"M:","10","23","(...) mhm .",138,140
"38883C8CB1980","NCCU-TM025-CN-FM_Ryan",24,"F:","11","24","(.) 我 不 是 跟 你 說 我 跟 小氣鬼 討論過 那 話題 .",141,154
"AC6125FEB22","NCCU-TM025-CN-FM_Ryan",25,"F:","11","25","(.) 就 說 這些 部落客 到底 平常 都 在 幹 嘛 .",155,166
"6AEFD1616C1B","NCCU-TM025-CN-FM_Ryan",26,"F:","11","26","(...) 有的 那 樣子 每天 出 --",167,173
"20A82E7B55E2E","NCCU-TM025-CN-FM_Ryan",27,"F:","11","27","(.) 出去 吃 喝 玩 樂 ,",174,180
"25B0204602A8A","NCCU-TM025-CN-FM_Ryan",28,"F:","11","28","(...) uh 歐洲 的 遊記 也 可以 寫 .",181,189
"A4B9442ADFCF","NCCU-TM025-CN-FM_Ryan",29,"F:","11","29","(...) 日本 的 也 能 寫 .",190,196
"2498F0C55FDD5","NCCU-TM025-CN-FM_Ryan",30,"F:","11","30","(...) 然後 東南亞 的 也 寫 .",197,203
"1A6403875C49F","NCCU-TM025-CN-FM_Ryan",31,"F:","11","31","(.) 台灣 的 也 寫 .",204,209
"B853449125ED","NCCU-TM025-CN-FM_Ryan",32,"F:","11","32","(.) 所有 的 飯店 什麼 她們 都 住過 了 .",210,219
"6B913B3DBEDE","NCCU-TM025-CN-FM_Ryan",33,"M:","12","33","(.) mhm .",220,222
"30A2A37B3A0D5","NCCU-TM025-CN-FM_Ryan",34,"F:","13","34","(.) 對 啊 .",223,226
"2BB405D95A714","NCCU-TM025-CN-FM_Ryan",35,"F:","13","35","(...) 她 老公 不 知道 到底 在 幹 嘛 .",227,236
"138F848CCA865","NCCU-TM025-CN-FM_Ryan",36,"M:","14","36","(.) @",237,238
"11F712FB4B6EF","NCCU-TM025-CN-FM_Ryan",37,"F:","15","37","(.) 或是 她 本身 到底 在 幹 嘛 .",239,247
"3A17CE3CED3E","NCCU-TM025-CN-FM_Ryan",38,"M:","16","38","(...) 問號 .",248,250
"23CE43990545D","NCCU-TM025-CN-FM_Ryan",39,"F:","17","39","(.) 都 不用 賺錢 ,",251,255
"276E06C43C39B","NCCU-TM025-CN-FM_Ryan",40,"F:","17","39","都 不用 生活 了 .",256,260
