turnSeq,unitSeq,participant,text
1,1,F1:,(.)
1,1,F1:,今天
1,1,F1:,去
1,1,F1:,幫
1,1,F1:,—
1,2,F1:,(...)
1,2,F1:,幫
1,2,F1:,妳
1,2,F1:,領
1,2,F1:,那
1,2,F1:,個
1,2,F1:,","
1,3,F1:,(...)
1,3,F1:,今天
1,3,F1:,帶
1,3,F1:,皮皮
1,3,F1:,下去
1,3,F1:,啊
1,3,F1:,.
2,4,F2:,(.)
2,4,F2:,um
2,4,F2:,.
3,5,F1:,(.)
3,5,F1:,結果
3,5,F1:,上來
3,5,F1:,啊
3,5,F1:,.
3,6,F1:,(.)
3,6,F1:,[然後]
3,6,F1:,","
4,7,F2:,[um]
4,7,F2:,.
3,8,F1:,(...)
3,8,F1:,然後
3,8,F1:,就
3,8,F1:,順便
3,8,F1:,幫
3,8,F1:,妳
3,8,F1:,領
3,8,F1:,掛號
3,8,F1:,啊
3,8,F1:,.
4,9,F2:,(.)
4,9,F2:,um
4,9,F2:,.
5,10,F1:,(.)
5,10,F1:,然後
5,10,F1:,又
5,10,F1:,手上
5,10,F1:,又
5,10,F1:,拿
5,10,F1:,了
5,10,F1:,兩
5,10,F1:,—
5,11,F1:,(...)
5,11,F1:,就是
5,11,F1:,","
5,12,F1:,(...)
5,12,F1:,就是
5,12,F1:,信
5,12,F1:,.
5,13,F1:,(.)
5,13,F1:,就是
5,13,F1:,我們
5,13,F1:,信箱
5,13,F1:,裡面
5,13,F1:,有
5,13,F1:,兩
5,13,F1:,張
5,13,F1:,東西
5,13,F1:,啊
5,13,F1:,.
6,14,F2:,(.)
6,14,F2:,um
6,14,F2:,.
7,15,F1:,(...)
7,15,F1:,然後
7,15,F1:,我
7,15,F1:,我
7,15,F1:,不是
7,15,F1:,都
7,15,F1:,在
7,15,F1:,我
7,15,F1:,—
7,16,F1:,(.)
7,16,F1:,我
7,16,F1:,都
7,16,F1:,會
7,16,F1:,在
7,16,F1:,電梯
7,16,F1:,裡面
7,16,F1:,幫
7,16,F1:,皮皮
7,16,F1:,綁
7,16,F1:,.
