turnSeq,unitSeq,participant,text
1,1,M:,我
1,1,M:,今天
1,1,M:,有
1,1,M:,跟
1,1,M:,你
1,1,M:,講
1,1,M:,(.)
1,1,M:,那
1,1,M:,個
1,1,M:,","
1,2,M:,(.)
1,2,M:,Jason
1,2,M:,的
1,2,M:,事
1,2,M:,嗎
1,2,M:,.
2,3,F:,(.)
2,3,F:,沒有
2,3,F:,啊
2,3,F:,.
3,4,M:,(.)
3,4,M:,就是
3,4,M:,","
4,5,F:,(.)
4,5,F:,他
4,5,F:,抱
4,5,F:,你
4,5,F:,.
5,6,M:,(.)
5,6,M:,對
5,6,M:,.
5,7,M:,(.)
5,7,M:,他
5,7,M:,","
5,8,M:,(.)
5,8,M:,他
5,8,M:,因為
5,8,M:,做錯
5,8,M:,","
5,9,M:,(.)
5,9,M:,不
5,9,M:,知道
5,9,M:,做錯
5,9,M:,甚麼
5,9,M:,事情
5,9,M:,","
5,10,M:,(.)
5,10,M:,然後
5,10,M:,就
5,10,M:,覺得
5,10,M:,很
5,10,M:,對不起
5,10,M:,我
5,10,M:,.
6,11,F:,(.)
6,11,F:,嗯
6,11,F:,.
7,12,M:,(.)
7,12,M:,然後
7,12,M:,他
7,12,M:,就
7,12,M:,說
7,12,M:,","
7,13,M:,(.)
7,13,M:,eh
7,13,M:,朱
7,13,M:,怎樣
7,13,M:,怎樣
7,13,M:,","
7,14,M:,(.)
7,14,M:,然後
7,14,M:,我
7,14,M:,就
7,14,M:,說
7,14,M:,停止
7,14,M:,放開
7,14,M:,","
7,15,M:,(.)
7,15,M:,這個
7,15,M:,不是
7,15,M:,你
7,15,M:,能
7,15,M:,抱
7,15,M:,的
7,15,M:,.
7,16,M:,(.)
7,16,M:,只有
7,16,M:,一
7,16,M:,個
7,16,M:,人
7,16,M:,可以
7,16,M:,抱
7,16,M:,而已
7,16,M:,.
8,17,F:,(.)
8,17,F:,[@@@]=
8,17,F:,你
8,17,F:,這樣
8,17,F:,跟
8,17,F:,他
8,17,F:,講
8,17,F:,.
9,18,M:,[@@@=]
10,19,M:,(.)
10,19,M:,對
10,19,M:,.
10,20,M:,(.)
10,20,M:,然後
10,20,M:,他
10,20,M:,整
10,20,M:,個
10,20,M:,人
10,20,M:,喔
10,20,M:,喔
10,20,M:,喔
10,20,M:,.
10,21,M:,(.)
10,21,M:,這樣
10,21,M:,(.)
10,21,M:,趕快
10,21,M:,放開
10,21,M:,.
11,22,F:,(.)
11,22,F:,@
12,23,M:,(.)
12,23,M:,然後
12,23,M:,第二
12,23,M:,次
12,23,M:,喔
12,23,M:,.
12,24,M:,(.)
12,24,M:,第二
12,24,M:,次
12,24,M:,我
12,24,M:,坐
12,24,M:,在
12,24,M:,辦公室
12,24,M:,.
12,25,M:,(.)
12,25,M:,他
12,25,M:,過
12,25,M:,來
12,25,M:,.
12,26,M:,我
12,26,M:,不
12,26,M:,知道
12,26,M:,","
12,27,M:,(.)
12,27,M:,承認
12,27,M:,甚麼
12,27,M:,事
12,27,M:,","
12,28,M:,(.)
12,28,M:,又
12,28,M:,錯
12,28,M:,.
12,29,M:,(.)
12,29,M:,然後
12,29,M:,就
12,29,M:,過來
12,29,M:,摸
12,29,M:,我
12,29,M:,的
12,29,M:,頭
12,29,M:,.
12,30,M:,(.)
12,30,M:,我
12,30,M:,說
12,30,M:,—
12,31,M:,手
12,31,M:,拿
12,31,M:,開
12,31,M:,.
12,32,M:,(.)
12,32,M:,這個
12,32,M:,也
12,32,M:,不是
12,32,M:,你
12,32,M:,能夠
12,32,M:,摸
12,32,M:,的
12,32,M:,[@@@=]
12,32,M:,.
13,33,F:,[@@@=]
14,34,M:,他
14,34,M:,整
14,34,M:,個
14,34,M:,人
14,34,M:,很
14,34,M:,尷尬
14,34,M:,.
15,35,F:,你
15,35,F:,很
15,35,F:,over
15,35,F:,吧
15,35,F:,.
15,36,F:,(.)
15,36,F:,可是
