turnSeq,unitSeq,participant,text
1,1,F1:,(.)
1,1,F1:,對
1,1,F1:,啊
1,1,F1:,","
1,2,F1:,(.)
1,2,F1:,你們
1,2,F1:,可以
1,2,F1:,去
1,2,F1:,苗栗
1,2,F1:,玩
1,2,F1:,耶
1,2,F1:,","
1,3,F1:,(...)
1,3,F1:,反正
1,3,F1:,不
1,3,F1:,太
1,3,F1:,遠
1,3,F1:,.
2,4,F2:,(.)
2,4,F2:,我
2,4,F2:,覺得
2,4,F2:,要
2,4,F2:,先
2,4,F2:,去
2,4,F2:,鶯歌
2,4,F2:,.
3,5,F1:,(.)
3,5,F1:,對
3,5,F1:,呀
3,5,F1:,","
3,6,F1:,(.)
3,6,F1:,我
3,6,F1:,也
3,6,F1:,覺得
3,6,F1:,.
4,7,F2:,@@@
5,8,F1:,(.)
5,8,F1:,你
5,8,F1:,之前
5,8,F1:,都
5,8,F1:,住
5,8,F1:,在
5,8,F1:,哪裡
5,8,F1:,.
6,9,F2:,(.)
6,9,F2:,我
6,9,F2:,之前
6,9,F2:,喔
6,9,F2:,住
6,9,F2:,在
6,9,F2:,","
6,10,F2:,(...)
6,10,F2:,各地
6,10,F2:,.
6,11,F2:,(.)
6,11,F2:,@@@=
6,11,F2:,.
6,12,F2:,(...)
6,12,F2:,就
6,12,F2:,我
6,12,F2:,很
6,12,F2:,難
6,12,F2:,說
6,12,F2:,我
6,12,F2:,熟
6,12,F2:,哪
6,12,F2:,個
6,12,F2:,地方
6,12,F2:,","
7,13,F1:,(.)
7,13,F1:,[um]
7,13,F1:,.
8,14,F2:,[因為]
8,14,F2:,","
8,15,F2:,(...)
8,15,F2:,就
8,15,F2:,桃園
8,15,F2:,住
8,15,F2:,最
8,15,F2:,久
8,15,F2:,啊
8,15,F2:,","
8,16,F2:,(.)
8,16,F2:,但是
8,16,F2:,就是
8,16,F2:,小時候
8,16,F2:,","
8,17,F2:,(.)
8,17,F2:,就
8,17,F2:,","
8,18,F2:,(.)
8,18,F2:,到
8,18,F2:,高中
8,18,F2:,以前
8,18,F2:,都
8,18,F2:,住
8,18,F2:,桃園
8,18,F2:,.
8,19,F2:,(.)
8,19,F2:,可是
8,19,F2:,我
8,19,F2:,對
8,19,F2:,桃園
8,19,F2:,其實
8,19,F2:,也
8,19,F2:,不
8,19,F2:,會
8,19,F2:,很
8,19,F2:,熟
8,19,F2:,","
9,20,F1:,(.)
9,20,F1:,我
9,20,F1:,也
9,20,F1:,是
9,20,F1:,.
9,21,F1:,(.)
9,21,F1:,我
9,21,F1:,對
9,21,F1:,高雄
9,21,F1:,也
9,21,F1:,不
9,21,F1:,熟
9,21,F1:,.
9,22,F1:,不
9,22,F1:,知道
9,22,F1:,[2為什麼]
9,22,F1:,.
10,23,F2:,[2對
10,23,F2:,啊]
10,23,F2:,.
10,24,F2:,(.)
10,24,F2:,我
10,24,F2:,高中
10,24,F2:,以前
10,24,F2:,好像
10,24,F2:,都
10,24,F2:,","
10,25,F2:,(.)
10,25,F2:,都
10,25,F2:,沒有
10,25,F2:,在
10,25,F2:,生活
10,25,F2:,耶
10,25,F2:,.
11,26,F1:,(...)
11,26,F1:,你
11,26,F1:,應該
11,26,F1:,是
11,26,F1:,念
11,26,F1:,大學
11,26,F1:,的
11,26,F1:,地方
11,26,F1:,會
11,26,F1:,最
11,26,F1:,熟
11,26,F1:,.
12,27,F2:,(.)
12,27,F2:,對
12,27,F2:,.
12,28,F2:,(...)
12,28,F2:,比較
12,28,F2:,熟
12,28,F2:,","
12,29,F2:,(.)
12,29,F2:,嘉義
12,29,F2:,.
13,30,F1:,(.)
13,30,F1:,結果
13,30,F1:,你
13,30,F1:,住在
13,30,F1:,好山好水
13,30,F1:,","
13,31,F1:,(.)
13,31,F1:,@
13,31,F1:,好
13,31,F1:,無聊
13,31,F1:,的
13,31,F1:,地方
13,31,F1:,","
13,32,F1:,(.)
13,32,F1:,@@@=
13,32,F1:,就
13,32,F1:,我
13,32,F1:,的
13,32,F1:,印象
13,32,F1:,.
14,33,F2:,(.)
14,33,F2:,還好
14,33,F2:,吧
14,33,F2:,.
14,34,F2:,(.)
14,34,F2:,我們
14,34,F2:,那邊
14,34,F2:,很
14,34,F2:,漂亮
14,34,F2:,耶
14,34,F2:,.
14,35,F2:,(.)
14,35,F2:,有沒有
14,35,F2:,去過
14,35,F2:,中正大學
14,35,F2:,.
15,36,F1:,(.)
15,36,F1:,um
15,36,F1:,","
15,37,F1:,(...)
15,37,F1:,我
15,37,F1:,就
15,37,F1:,去
15,37,F1:,考
15,37,F1:,插大
15,37,F1:,啊
15,37,F1:,.
16,38,F2:,(.)
16,38,F2:,um
16,38,F2:,.
16,39,F2:,(.)
16,39,F2:,妳
16,39,F2:,本來
16,39,F2:,就
16,39,F2:,想
16,39,F2:,考
16,39,F2:,中正
16,39,F2:,嗎
16,39,F2:,?
17,40,F1:,(.)
17,40,F1:,插大
17,40,F1:,的
17,40,F1:,原則
17,40,F1:,就是
17,40,F1:,","
17,41,F1:,(.)
17,41,F1:,能
17,41,F1:,考
17,41,F1:,都
17,41,F1:,去
17,41,F1:,考
17,41,F1:,@@
17,41,F1:,.
17,42,F1:,(.)
17,42,F1:,因為
17,42,F1:,機率
17,42,F1:,太
17,42,F1:,低
17,42,F1:,","
17,43,F1:,(.)
17,43,F1:,所以
17,43,F1:,幾乎
17,43,F1:,都
17,43,F1:,會
17,43,F1:,考
17,43,F1:,.
17,44,F1:,.
17,44,F1:,.然後
17,44,F1:,時間
17,44,F1:,沒有
17,44,F1:,—
17,45,F1:,(.)
17,45,F1:,沒有
17,45,F1:,衝到
17,45,F1:,","
17,46,F1:,(...)
17,46,F1:,我
17,46,F1:,就
17,46,F1:,都
17,46,F1:,會
17,46,F1:,去
17,46,F1:,.
17,47,F1:,(.)
17,47,F1:,但是
17,47,F1:,最後
17,47,F1:,還是
17,47,F1:,沒有
17,47,F1:,.
18,48,F2:,(.)
18,48,F2:,um
18,48,F2:,.
18,49,F2:,(.)
18,49,F2:,啊
18,49,F2:,你
18,49,F2:,本來
18,49,F2:,想念
18,49,F2:,中正
18,49,F2:,喔
18,49,F2:,.
19,50,F1:,(.)
19,50,F1:,還好
19,50,F1:,我
19,50,F1:,沒有
19,50,F1:,考上
19,50,F1:,中正
19,50,F1:,.
20,51,F2:,(.)
20,51,F2:,為什麼
20,51,F2:,.
21,52,F1:,(.)
21,52,F1:,考
21,52,F1:,不
21,52,F1:,上
21,52,F1:,@@
21,52,F1:,.
22,53,F2:,(.)
22,53,F2:,不
22,53,F2:,會
22,53,F2:,啦
22,53,F2:,.
23,54,F1:,(.)
23,54,F1:,那
23,54,F1:,後來
23,54,F1:,—
23,55,F1:,(.)
23,55,F1:,後來
23,55,F1:,就
23,55,F1:,考上
23,55,F1:,中興
23,55,F1:,啊
23,55,F1:,","
23,56,F1:,(.)
23,56,F1:,中興
23,56,F1:,比較
23,56,F1:,在
23,56,F1:,市區
23,56,F1:,.
24,57,F2:,(.)
24,57,F2:,我們
24,57,F2:,三不五時
24,57,F2:,就
24,57,F2:,可以
24,57,F2:,去
24,57,F2:,阿里山
24,57,F2:,.
24,58,F2:,(...)
24,58,F2:,@@
24,59,F2:,(.)
24,59,F2:,也
24,59,F2:,沒有
24,59,F2:,三不五時
24,59,F2:,","
24,60,F2:,(.)
24,60,F2:,騎車
24,60,F2:,要
24,60,F2:,三
24,60,F2:,個
24,60,F2:,小時
24,60,F2:,@@@=
24,60,F2:,.
25,61,F1:,(.)
25,61,F1:,那
25,61,F1:,也
25,61,F1:,是
25,61,F1:,@@@=
25,61,F1:,","
25,62,F1:,(.)
25,62,F1:,阿里山
25,62,F1:,我
25,62,F1:,也
25,62,F1:,去
25,62,F1:,過
25,63,F1:,(.)
25,63,F1:,好幾次
25,63,F1:,.
25,64,F1:,(.)
25,64,F1:,不
25,64,F1:,用
25,64,F1:,—
25,65,F1:,(.)
25,65,F1:,不
25,65,F1:,用
25,65,F1:,念
25,65,F1:,中正
25,65,F1:,","
25,66,F1:,(.)
25,66,F1:,@
25,66,F1:,也
25,66,F1:,可以
25,66,F1:,去
25,66,F1:,阿里山
25,66,F1:,@
25,66,F1:,","
26,67,F2:,(.)
26,67,F2:,不過
26,67,F2:,我們
26,67,F2:,就
26,67,F2:,在
26,67,F2:,山腳
26,67,F2:,下
26,67,F2:,.
27,68,F1:,(.)
27,68,F1:,我們
27,68,F1:,三不五時
27,68,F1:,就
27,68,F1:,可以
27,68,F1:,騎到
27,68,F1:,那
27,68,F1:,個
27,68,F1:,耶
27,68,F1:,","
27,69,F1:,(...)
27,69,F1:,溪頭
27,69,F1:,啊
27,69,F1:,","
27,70,F1:,(.)
27,70,F1:,然後
27,70,F1:,—
27,71,F1:,(...)
27,71,F1:,因為
27,71,F1:,","
27,72,F1:,(.)
27,72,F1:,台中
27,72,F1:,也
27,72,F1:,是
27,72,F1:,啊
27,72,F1:,","
27,73,F1:,(...)
27,73,F1:,太平
27,73,F1:,啊
27,73,F1:,.
27,74,F1:,(.)
27,74,F1:,然後
27,74,F1:,我們
27,74,F1:,團練
27,74,F1:,也
27,74,F1:,在
27,74,F1:,山上
27,74,F1:,.
28,75,F2:,(.)
28,75,F2:,團練
28,75,F2:,.
29,76,F1:,(.)
29,76,F1:,對
29,76,F1:,對
29,76,F1:,對
29,76,F1:,","
29,77,F1:,(.)
29,77,F1:,就
29,77,F1:,國樂團
29,77,F1:,的
29,77,F1:,團練
29,77,F1:,都
29,77,F1:,會
29,77,F1:,在
29,77,F1:,山上
29,77,F1:,.
29,78,F1:,(.)
29,78,F1:,也
29,78,F1:,是
29,78,F1:,三不五時
29,78,F1:,就
29,78,F1:,可以
29,78,F1:,","
29,79,F1:,(.)
29,79,F1:,@
29,79,F1:,爬山
29,79,F1:,上
29,79,F1:,@
29,79,F1:,.
30,80,F2:,(.)
30,80,F2:,你們
30,80,F2:,會
30,80,F2:,去
30,80,F2:,","
30,81,F2:,(.)
30,81,F2:,山上
30,81,F2:,團練
30,81,F2:,喔
30,81,F2:,.
31,82,F1:,(.)
31,82,F1:,寒訓
31,82,F1:,的
31,82,F1:,時候
31,82,F1:,","
31,83,F1:,(.)
31,83,F1:,就是
31,83,F1:,一
31,83,F1:,年
31,83,F1:,級
31,83,F1:,就
31,83,F1:,會
31,83,F1:,參加
31,83,F1:,寒訓
31,83,F1:,嘛
31,83,F1:,.
31,84,F1:,(.)
31,84,F1:,寒訓
31,84,F1:,就
31,84,F1:,會
31,84,F1:,在
31,84,F1:,山上
31,84,F1:,一
31,84,F1:,個
31,84,F1:,廟
31,84,F1:,","
31,85,F1:,(.)
31,85,F1:,那
31,85,F1:,個
31,85,F1:,時候
31,85,F1:,921
31,85,F1:,—
31,86,F1:,[(.)921
31,86,F1:,之前]
31,86,F1:,.
32,87,F2:,[(.)
32,87,F2:,在
32,87,F2:,山上
32,87,F2:,一
32,87,F2:,個
32,87,F2:,廟]
32,87,F2:,.
33,88,F1:,(.)
33,88,F1:,對
33,88,F1:,對
33,88,F1:,對
33,88,F1:,.
34,89,F2:,(.)
34,89,F2:,團練
34,89,F2:,?
34,90,F2:,(.)
34,90,F2:,這樣
34,90,F2:,?
35,91,F1:,(...)
35,91,F1:,那邊
35,91,F1:,有
35,91,F1:,溫泉
35,91,F1:,.
35,92,F1:,(.)
35,92,F1:,反正
35,92,F1:,就是
35,92,F1:,在
35,92,F1:,廟
35,92,F1:,","
35,93,F1:,(.)
35,93,F1:,住在
35,93,F1:,廟
35,93,F1:,裡面
35,93,F1:,","
35,94,F1:,(.)
35,94,F1:,因為
35,94,F1:,比較
35,94,F1:,便宜
35,94,F1:,吧
35,94,F1:,.
35,95,F1:,(.)
35,95,F1:,我
35,95,F1:,也
35,95,F1:,不
35,95,F1:,知道
35,95,F1:,為什麼
35,95,F1:,.
35,96,F1:,(.)
35,96,F1:,反正
35,96,F1:,就是
35,96,F1:,—
35,97,F1:,(...)
35,97,F1:,那
35,97,F1:,個
35,97,F1:,—
35,98,F1:,(.)
35,98,F1:,我們
35,98,F1:,社團
35,98,F1:,的
35,98,F1:,慣例
35,98,F1:,","
35,99,F1:,(.)
35,99,F1:,好像
35,99,F1:,就是
35,99,F1:,每年
35,99,F1:,都
35,99,F1:,是
