turnSeq,unitSeq,participant,text
1,1,M:,(.)
1,1,M:,還
1,1,M:,有
1,1,M:,嗎
1,1,M:,?
2,2,F1:,(.)
2,2,F1:,好
2,2,F1:,.
3,3,F2:,(.)
3,3,F2:,@
4,4,M:,(.)
4,4,M:,再來
4,4,M:,啊
4,4,M:,.
4,5,M:,(.)
4,5,M:,再
4,5,M:,說
4,5,M:,一堂
4,5,M:,課
4,5,M:,","
4,6,M:,(.)
4,6,M:,讓
4,6,M:,我
4,6,M:,感受
4,6,M:,一下
4,6,M:,.
4,7,M:,(...)
4,7,M:,沒有
4,7,M:,了
4,7,M:,嘛
4,7,M:,?
4,8,M:,(...)
4,8,M:,沒有
4,8,M:,了
4,8,M:,嘛
4,8,M:,?
4,9,M:,(.)
4,9,M:,啊
4,9,M:,","
4,10,M:,(.)
4,10,M:,有
4,10,M:,Homework
4,10,M:,三
4,10,M:,嗎
4,10,M:,?
5,11,F2:,(.)
5,11,F2:,好像
5,11,F2:,[還
5,11,F2:,沒
5,11,F2:,說]
5,11,F2:,.
6,12,F1:,[還
6,12,F1:,沒
6,12,F1:,吧]
6,12,F1:,.
7,13,M:,(0)
7,13,M:,Yeah
7,13,M:,啊
7,13,M:,","
7,14,M:,有
7,14,M:,期中考
7,14,M:,嗎
7,14,M:,.
8,15,F1:,(.)
8,15,F1:,他
8,15,F1:,[2沒]
8,15,F1:,考試
8,15,F1:,吧
8,15,F1:,.
8,16,F1:,(.)
8,16,F1:,我
8,16,F1:,記得
8,16,F1:,就
8,16,F1:,只有
8,16,F1:,期末
8,16,F1:,報告
8,16,F1:,.
9,17,F2:,[2沒有
9,17,F2:,","
9,18,F2:,(.)2]
9,18,F2:,就
9,18,F2:,期末
9,18,F2:,報告
9,18,F2:,.
10,19,M:,(0)
10,19,M:,但
10,19,M:,我
10,19,M:,機器學習
10,19,M:,下
10,19,M:,禮拜
10,19,M:,要
10,19,M:,期中考
10,19,M:,欸
10,19,M:,.
11,20,F1:,(.)
11,20,F1:,什麼
11,20,F1:,?
12,21,M:,(.)
12,21,M:,那
12,21,M:,個
12,21,M:,機器學習
12,21,M:,概論
12,21,M:,.
13,22,F2:,(.)
13,22,F2:,哦=
13,22,F2:,你
13,22,F2:,後來
13,22,F2:,有
13,22,F2:,去
13,22,F2:,修
13,22,F2:,?
14,23,F1:,(.)
14,23,F1:,誰
14,23,F1:,的
14,23,F1:,啊
14,23,F1:,?
15,24,F2:,(.)
15,24,F2:,禮拜四
15,24,F2:,下午
15,24,F2:,那
15,24,F2:,個
15,24,F2:,","
16,25,M:,(.)
16,25,M:,禮拜二
16,25,M:,早上
16,25,M:,—
16,26,M:,(.)
16,26,M:,資科
16,26,M:,的
16,26,M:,啊
16,26,M:,.
16,27,M:,(.)
16,27,M:,我
16,27,M:,跟
16,27,M:,劉
16,27,M:,還有
16,27,M:,呂
16,27,M:,.
17,28,F2:,(...)
17,28,F2:,誰上
17,28,F2:,的
17,28,F2:,啊
17,28,F2:,?
18,29,M:,(.)
18,29,M:,嗯=
18,29,M:,我
18,29,M:,看看
18,29,M:,.
19,30,F2:,(.)
19,30,F2:,說不定
19,30,F2:,","
19,31,F2:,(.)
19,31,F2:,我
19,31,F2:,可以
19,31,F2:,幫
19,31,F2:,你
19,31,F2:,拿到
19,31,F2:,考古
19,31,F2:,題
19,31,F2:,.
20,32,M:,(.)
20,32,M:,[哎
20,32,M:,呦]
20,32,M:,.
21,33,F1:,[哎
21,33,F1:,呦]
21,33,F1:,你
21,33,F1:,說
21,33,F1:,問
21,33,F1:,資科
21,33,F1:,的
21,33,F1:,[2宅宅
21,33,F1:,們]
21,33,F1:,.
22,34,M:,[2宅宅
22,34,M:,們]
22,34,M:,.
23,35,F2:,(.)
23,35,F2:,你
23,35,F2:,看
23,35,F2:,你們
23,35,F2:,就
23,35,F2:,這樣
23,35,F2:,#
23,35,F2:,誤會
23,35,F2:,我
23,35,F2:,.
24,36,F1:,(.)
24,36,F1:,沒有
24,36,F1:,我
24,36,F1:,只是
24,36,F1:,順著
24,36,F1:,你
24,36,F1:,的
24,36,F1:,話
24,36,F1:,.
25,37,M:,(.)
25,37,M:,劉
25,37,M:,.
26,38,F2:,(.)
26,38,F2:,哦=
26,38,F2:,.
27,39,M:,(.)
27,39,M:,有
27,39,M:,嗎
27,39,M:,?
27,40,M:,(.)
27,40,M:,不
27,40,M:,熟
27,40,M:,.
28,41,F2:,(.)
28,41,F2:,我
28,41,F2:,有
28,41,F2:,—
