unitSeq	TurnSeq	Speaker	Text
1	1	F1:	(.) 今天 去 幫 —
2	1	F1:	(...) 幫 妳 領 那 個 ,
3	1	F1:	(...) 今天 帶 皮皮 下去 啊 .
4	2	F2:	(.) um .
5	3	F1:	(.) 結果 上來 啊 .
6	3	F1:	(.) [然後] ,
7	4	F2:	[um] .
8	3	F1:	(...) 然後 就 順便 幫 妳 領 掛號 啊 .
9	4	F2:	(.) um .
10	5	F1:	(.) 然後 又 手上 又 拿 了 兩 —
11	5	F1:	(...) 就是 ,
12	5	F1:	(...) 就是 信 .
13	5	F1:	(.) 就是 我們 信箱 裡面 有 兩 張 東西 啊 .
14	6	F2:	(.) um .
15	7	F1:	(...) 然後 我 我 不是 都 在 我 —
16	7	F1:	(.) 我 都 會 在 電梯 裡面 幫 皮皮 綁 .
17	7	F1:	(.) 因為 ,
18	7	F1:	(.) 剛好 ,
19	8	F2:	(.) 我 現在 都 不 敢 放 牠 跑 耶 .
20	8	F2:	(.) 如果 我 帶 牠 下去 ,
21	8	F2:	(...) [2我 都 是 拉著] 牠 耶 .
22	9	F1:	[2會 我 會 讓 牠 跑] .
23	9	F1:	(.) 要不然 牠 怎麼 大便 .
24	10	F2:	(...) 我 就 拉著 牠 ,
25	10	F2:	(.) 到 草叢 那邊 大 啊 .
26	11	F1:	(.) 我 都 會 讓 牠 跑 .
27	11	F1:	(...) 結果 尿完 (.) 我 就 會 像 (.) 讓 牠 在 斜坡 那邊 ,
28	11	F1:	(...) 牠 一定 都 會 在 斜坡 [那邊] 尿 啊 .
29	12	F2:	[um] .
30	11	F1:	(.) 尿完 然後 就 (.) 把 牠 放開 了 .
31	11	F1:	(...) 然後 ,
32	11	F1:	(...) 就是 ,
33	11	F1:	(.) 坐 電梯 的 時候 就 好像 有 一 個 從 地下室 坐 上來 的 吧 .
34	11	F1:	(...) 那 有 母子 ,
35	11	F1:	好像 三樓 ,
36	13	F1:	(.) [2就是 三樓 的] .
37	14	F2:	[2um] .
38	13	F1:	(...) 就是 ,
39	13	F1:	(...) 從 也是 ,
40	13	F1:	(.) 他們 也是 ,
41	13	F1:	(...) 他們 是 在 一樓 坐 .
42	13	F1:	(...) 我們 是 一起 坐 電梯 的 .
43	14	F2:	(.) um .
44	15	F1:	(...) 然後 進去 原來 他們 三 個 都 是 ,
45	15	F1:	(.) 連 那 個 有 一 個 女 的 [ <# 一 #> ] ,
46	16	F2:	[一起 的] .
47	17	F1:	(.) 對 他們 都 三樓 的 .
