unitSeq	TurnSeq	Speaker	Text
1	1	F1:	(.) 對 啊 ,
2	1	F1:	(.) 你們 可以 去 苗栗 玩 耶 ,
3	1	F1:	(...) 反正 不 太 遠 .
4	2	F2:	(.) 我 覺得 要 先 去 鶯歌 .
5	3	F1:	(.) 對 呀 ,
6	3	F1:	(.) 我 也 覺得 .
7	4	F2:	@@@
8	5	F1:	(.) 你 之前 都 住 在 哪裡 .
9	6	F2:	(.) 我 之前 喔 住 在 ,
10	6	F2:	(...) 各地 .
11	6	F2:	(.) @@@= .
12	6	F2:	(...) 就 我 很 難 說 我 熟 哪 個 地方 ,
13	7	F1:	(.) [um] .
14	8	F2:	[因為] ,
15	8	F2:	(...) 就 桃園 住 最 久 啊 ,
16	8	F2:	(.) 但是 就是 小時候 ,
17	8	F2:	(.) 就 ,
18	8	F2:	(.) 到 高中 以前 都 住 桃園 .
19	8	F2:	(.) 可是 我 對 桃園 其實 也 不 會 很 熟 ,
20	9	F1:	(.) 我 也 是 .
21	9	F1:	(.) 我 對 高雄 也 不 熟 .
22	9	F1:	不 知道 [2為什麼] .
23	10	F2:	[2對 啊] .
24	10	F2:	(.) 我 高中 以前 好像 都 ,
25	10	F2:	(.) 都 沒有 在 生活 耶 .
26	11	F1:	(...) 你 應該 是 念 大學 的 地方 會 最 熟 .
27	12	F2:	(.) 對 .
28	12	F2:	(...) 比較 熟 ,
29	12	F2:	(.) 嘉義 .
30	13	F1:	(.) 結果 你 住在 好山好水 ,
31	13	F1:	(.) @ 好 無聊 的 地方 ,
32	13	F1:	(.) @@@= 就 我 的 印象 .
33	14	F2:	(.) 還好 吧 .
34	14	F2:	(.) 我們 那邊 很 漂亮 耶 .
35	14	F2:	(.) 有沒有 去過 中正大學 .
36	15	F1:	(.) um ,
37	15	F1:	(...) 我 就 去 考 插大 啊 .
38	16	F2:	(.) um .
39	16	F2:	(.) 妳 本來 就 想 考 中正 嗎 ?
40	17	F1:	(.) 插大 的 原則 就是 ,
41	17	F1:	(.) 能 考 都 去 考 @@ .
42	17	F1:	(.) 因為 機率 太 低 ,
43	17	F1:	(.) 所以 幾乎 都 會 考 .
44	17	F1:	. .然後 時間 沒有 —
45	17	F1:	(.) 沒有 衝到 ,
46	17	F1:	(...) 我 就 都 會 去 .
47	17	F1:	(.) 但是 最後 還是 沒有 .
48	18	F2:	(.) um .
49	18	F2:	(.) 啊 你 本來 想念 中正 喔 .
50	19	F1:	(.) 還好 我 沒有 考上 中正 .
51	20	F2:	(.) 為什麼 .
52	21	F1:	(.) 考 不 上 @@ .
53	22	F2:	(.) 不 會 啦 .
54	23	F1:	(.) 那 後來 —
55	23	F1:	(.) 後來 就 考上 中興 啊 ,
56	23	F1:	(.) 中興 比較 在 市區 .
57	24	F2:	(.) 我們 三不五時 就 可以 去 阿里山 .
58	24	F2:	(...) @@
59	24	F2:	(.) 也 沒有 三不五時 ,
60	24	F2:	(.) 騎車 要 三 個 小時 @@@= .
61	25	F1:	(.) 那 也 是 @@@= ,
62	25	F1:	(.) 阿里山 我 也 去 過
63	25	F1:	(.) 好幾次 .
64	25	F1:	(.) 不 用 —
65	25	F1:	(.) 不 用 念 中正 ,
66	25	F1:	(.) @ 也 可以 去 阿里山 @ ,
67	26	F2:	(.) 不過 我們 就 在 山腳 下 .
68	27	F1:	(.) 我們 三不五時 就 可以 騎到 那 個 耶 ,
69	27	F1:	(...) 溪頭 啊 ,
70	27	F1:	(.) 然後 —
71	27	F1:	(...) 因為 ,
72	27	F1:	(.) 台中 也 是 啊 ,
73	27	F1:	(...) 太平 啊 .
74	27	F1:	(.) 然後 我們 團練 也 在 山上 .
75	28	F2:	(.) 團練 .
76	29	F1:	(.) 對 對 對 ,
77	29	F1:	(.) 就 國樂團 的 團練 都 會 在 山上 .
78	29	F1:	(.) 也 是 三不五時 就 可以 ,
79	29	F1:	(.) @ 爬山 上 @ .
80	30	F2:	(.) 你們 會 去 ,
81	30	F2:	(.) 山上 團練 喔 .
82	31	F1:	(.) 寒訓 的 時候 ,
83	31	F1:	(.) 就是 一 年 級 就 會 參加 寒訓 嘛 .
84	31	F1:	(.) 寒訓 就 會 在 山上 一 個 廟 ,
85	31	F1:	(.) 那 個 時候 921 —
86	31	F1:	[(.)921 之前] .
87	32	F2:	[(.) 在 山上 一 個 廟] .
88	33	F1:	(.) 對 對 對 .
89	34	F2:	(.) 團練 ?
90	34	F2:	(.) 這樣 ?
91	35	F1:	(...) 那邊 有 溫泉 .
92	35	F1:	(.) 反正 就是 在 廟 ,
93	35	F1:	(.) 住在 廟 裡面 ,
94	35	F1:	(.) 因為 比較 便宜 吧 .
95	35	F1:	(.) 我 也 不 知道 為什麼 .
96	35	F1:	(.) 反正 就是 —
97	35	F1:	(...) 那 個 —
98	35	F1:	(.) 我們 社團 的 慣例 ,
99	35	F1:	(.) 好像 就是 每年 都 是 在 那裡 辦 .
100	36	F2:	(.) 廟 還是 寺 —
101	36	F2:	(.) 廟 聽起來 就 只有 ,
102	36	F2:	(.) 這麼 大 喔 .
103	36	F2:	(.) 寺 —
104	37	F1:	(.) 我 忘記 那 叫 什麼 [寺] .
105	38	F2:	[應該] 是 什麼 什麼 寺 吧 .
106	39	F1:	(.) 反正 裡面 有 那 個 啊 ,
107	39	F1:	(.) 有 給 香客 住 的 地方 ,
108	39	F1:	[(.) 我們 就] 住 在 裡面 .
109	40	F2:	[um] .
110	41	F1:	(.) 然後 早上 —
111	41	F1:	(.) 就是 被 關 在 上面 的 意思 啊 .
112	41	F1:	(.) 然後 早上 起來 團練 啊 .
113	41	F1:	(.) 玩 大地 遊戲 啊 什麼 的 .
114	41	F1:	(.) 然後 —
115	42	F2:	(.) 這樣 沒有 人 嫌 你們 ,
116	42	F2:	(.) 吵 嗎 ?
117	43	F1:	(.) 就是 因為 怕 人家 嫌 我們 吵 ,
118	43	F1:	(.) 才 會 去 那種 地方 .
119	43	F1:	(.) 因為 —
120	43	F1:	(...) 就 沒有 人 啊 .
121	43	F1:	(.) 然後 每天 都 吃素 ,
122	43	F1:	(.) 吃 一 個 禮拜 .
123	43	F1:	(.) 然後 下山 ,
124	43	F1:	(.) 全 社團 第一 件 事
125	43	F1:	(.) 就是 奔向 —
126	44	F2:	(.) 開- ;
127	44	F2:	(.) 開葷 .
128	45	F1:	(.) 對 @@[@=] .
129	46	F2:	[@@@=] .
130	47	F1:	(.) 海產 buffet .
131	47	F1:	(.) 然後 社長 帶頭 .
132	47	F1:	(.) 那 時候 本來 說來 我們 去 吃 ,
133	47	F1:	(.) 肯德基 .
134	47	F1:	(...) 社長 說 ,
135	47	F1:	(.) 吃 什麼 肯德基 啊 ?
136	47	F1:	(.) 帶 你們 去 吃 buffet 啦 @@ .
137	47	F1:	(.) 結果 沒出 幾道 # —
138	48	F2:	(.) 你們 有 多少 人 .
139	49	F1:	(.) 我們 —
140	49	F1:	(.) 我 一 年級 ,
141	49	F1:	(.) 進去 那 一 屆 喔 —
142	49	F1:	(...) 我 那 時候 去 只有 十 —
143	49	F1:	(.) 一 個 團 哪 .
144	49	F1:	(.) 一 個 國樂團 .
145	49	F1:	(.) 大概 只有 二十 .
146	49	F1:	(.) 二十 .
147	50	F2:	(...) 哎 ,
148	50	F2:	(.) 我 以前 是 管樂團 .
149	51	F1:	(.) 好 厲害 喔 .
150	51	F1:	(.) 都 吹 不 動 .
151	52	F2:	(.) 我 是 —
152	52	F2:	(.) @ 我 是 唯一 一 個 不 用 吹 的 @ .
153	53	F1:	(.) 喔 .
154	54	F2:	(.) 我 是 [打鼓 的 @@@=2] .
155	55	F1:	[####] .
156	62	F2:	(.) 不用 [公開] .
157	63	F1:	[沒 有] .
158	55	F1:	(.) 喔 ,
159	55	F1:	(.) 好 厲害 喔 .
160	56	F2:	(.) 所以 我 肺[2活] .
161	57	F1:	[2是 定音] 鼔 還是 小 鼓 .
162	58	F2:	(.) 都 可以 .
163	59	F1:	(.) 好 棒 喔 .
164	60	F2:	(.) 就是 那種 ,
165	60	F2:	(.) 可是 我 沒有 打 得 很 好 .
166	61	F1:	(.) 我們 以前 國樂團 最= 帥 的 ,
167	61	F1:	(.) 就是 打 定音鼓 .
168	62	F2:	(.) 喔 ,
169	62	F2:	(.) 妳 喜歡 那 個 ,
170	62	F2:	(.) 沒 關係 ,
171	64	F2:	(.) 在 這邊 公開 .
172	64	F2:	(.) @@@= .
173	65	F1:	(.) 不 是 .
174	65	F1:	(.) 我 不 是 說 人 帥 .
175	65	F1:	(.) 我 是 說 打 定音鼓 很 帥 .
176	66	F2:	(.) 噢 ,
177	66	F2:	(.) 這件 事情 很 帥 @@@= .
178	67	F1:	(.) 對 .
179	67	F1:	(.) 因為 那 個 時候 ,
180	67	F1:	(.) 不 是 我們 ,
181	67	F1:	(.) 那 個 ,
182	67	F1:	(.) 算是 國樂團 的 ,
183	67	F1:	(...) 半 標配 .
184	67	F1:	(.) 簡配 可能 就 沒有 .
185	67	F1:	(.) 就是 比較 大 的 國樂團 ,
186	67	F1:	(.) 會 有 定音鼓 .
187	67	F1:	(.) 然後 ,
188	67	F1:	(.) 我們 社團算 比較 大 ,
189	67	F1:	(.) 但是 有 一些 小 一 點 的 國樂團 不 一定 有 .
190	67	F1:	(.) 有 時候 借來 的 —
191	67	F1:	(.) 有 時候 是 借來 的 .
192	67	F1:	(.) 就是 要 比賽 的 時候 ,
193	67	F1:	(.) 就 借來 用 .
194	67	F1:	(.) 我們 用 過 最 神奇 —
195	67	F1:	(.) 最 —
196	67	F1:	(.) 神奇 —
197	67	F1:	(...) 最 神秘 的 樂器 ,
198	67	F1:	(.) 神奇 —
199	67	F1:	(.) 就是 編鐘 .
200	68	F2:	(.) 編鐘 喔 ,
201	68	F2:	(.) [我 不 曉得] —
202	69	F1:	[真的 借 了 一 個 鐘] .
203	69	F1:	(.) 那 個 啊 ,
204	69	F1:	(.) 就是 在 古裝片 裡面 ,
205	69	F1:	(.) 那 個 啊 ,
206	69	F1:	(.) 會 看到 的 東西 .
207	69	F1:	(.) 但 從頭 到 尾 ,
208	69	F1:	(.) 只有 三個 音 .
209	70	F2:	(.) 噢 ,
210	70	F2:	(.) 就是 ,
211	70	F2:	(.) 黑色 ,
212	70	F2:	(.) [2鐵 的 ,
213	70	F2:	(.) 很 大 的2] —
214	71	F1:	[2對 對 對 ,
215	71	F1:	(.) 對 對 對2] .
216	71	F1:	(.) 我 忘記 我們 借 的 ,
217	71	F1:	(.) 是 編鐘 還是 磬 .
218	71	F1:	(.) 有 一種 是 只有 一排 的 .
219	71	F1:	(.) 有 一種 是 這樣 ,
220	71	F1:	(.) [方 形] 的 喔 .
221	72	F2:	[um] .
222	71	F1:	(.) 對 對 對 .
223	72	F2:	(.) 啊 你們 借 的 是 —
224	73	F1:	(.) 我 忘記 我們 借 哪 一 種 .
225	73	F1:	(.) @@ [我 的 頭] .
226	74	F2:	[感覺 是] 山東大學 ,
227	74	F2:	(.) 的 孔子學院 .
228	75	F1:	(.) 對 對 對 對 對 .
229	75	F1:	(.) 類似 那 種 .
230	75	F1:	(.) [2然後 就是] ,
231	76	F2:	[2會 出現 在 那邊] .
232	77	F1:	(.) 一共 只有 三個 音 ,
233	77	F1:	(.) 在 一開始 ,
234	77	F1:	(.) 一定 要 把 它 借到 @@ .
235	78	F2:	(.) 要 在 哪裡 借 .
236	79	F1:	(.) 我 也 忘 —
237	79	F1:	(.) 我 不 知道 ,
238	79	F1:	(.) 我們 社長 去 哪裡 弄 來 .
239	80	F2:	(.) um .
240	81	F1:	(.) 因為 ,
241	81	F1:	(.) 我 當 社長 那 一 屆 ,
242	81	F1:	(.) 我們 就 整個 ,
243	81	F1:	(.) 都 借 不 到 .
244	82	F2:	(.) um .
245	83	F1:	(.) 就 ,
246	83	F1:	(.) 隨便 啦 ,
247	83	F1:	(.) 隨便 啦 ,
248	83	F1:	(.) 有 就 好 .
249	84	F2:	(.) 哪 一 個 編 啊 —
250	84	F2:	(.) 編鐘 .
251	85	F1:	(.) 就 編 —
252	85	F1:	(.) 編 頭髮 .
253	86	F2:	(.) um .
254	87	F1:	(.) 編 在 上面 .
255	87	F1:	(.) 忘記 到底 是 借 了 編鐘 ,
256	87	F1:	(.) 還是 磬 .
257	87	F1:	(...) 總 之 ,
258	87	F1:	(.) 就是 ,
259	87	F1:	(.) 很 神奇 的 一 個 樂器 .
260	87	F1:	(.) 我 也 不 知道 ,
261	87	F1:	(.) 好像 是 —
262	88	F2:	(.) 應該 —
263	89	F1:	(.) @ 去 孔廟 借 ,
264	89	F1:	(.) 是不是 @@@ .
265	90	F2:	(.) 孔- —
266	90	F2:	(.) 應該 是 很 像 是 —
267	90	F2:	(.) [有] —
268	91	F1:	[um] —
269	92	F2:	(.) 我們 西 ,
270	92	F2:	(.) 就是 管樂團 ,
271	92	F2:	(.) 裡面 有 一 個 ,
272	92	F2:	(.) 那 個 ,
273	93	F1:	(.) um .
274	93	F1:	(.) 豎琴 .
275	94	F2:	(.) 不 是 啦 ,
276	94	F2:	(.) 現在 ,
277	94	F2:	(.) 想 不 起來 ,
278	94	F2:	(.) 它 的 名字 .
279	94	F2:	(.) 太 久 了 ,
280	94	F2:	(.) 就是 ,
281	94	F2:	(.) 它 也 是 這樣 ,
282	94	F2:	(.) 一管 一管 的 .
283	94	F2:	(...) 而且 好 丟臉 .
284	94	F2:	(.) 我 是 打擊部 ,
285	94	F2:	(.) 我 還 想 不 起來 .
286	94	F2:	(.) 就是 ,
287	94	F2:	(.) 它 也 是 這樣 ,
288	94	F2:	(.) 然後 你 可以 用 —
289	94	F2:	(.) 就是 像 ,
290	94	F2:	(.) 我 這 麼矮 的 要 ,
291	94	F2:	(.) 要 墊 腳尖 ,
292	94	F2:	(.) 然後 ,
293	94	F2:	(.) 拿 那 個 槌子 .
294	95	F1:	(.) um .
295	96	F2:	. .然後 捶 那 個 —
296	97	F1:	(.) 管鐘 喔 .
297	98	F2:	(.) 欸 ,
298	98	F2:	(.) 好 耳熟 喔 .
299	98	F2:	(.) 好像 就是 管鐘 .
300	99	F1:	(.) @@ .
301	99	F1:	(.) 那 我 來 查 一下 ,
302	99	F1:	(.) 管鐘 的 圖片 .
303	100	F2:	(.) 應該 原理 ,
304	100	F2:	(.) 很 像 那 個 吧 —
305	100	F2:	(...) 就是 這樣子 敲 .
306	100	F2:	(.) 然後 —
307	101	F1:	(.) 對 啊 ,
308	101	F1:	(.) 因為 那 個 西樂 ,
309	101	F1:	(.) 都 是 ,
310	101	F1:	(.) 靠 共鳴 .
311	101	F1:	(.) 然後 國樂 都 是 靠 ,
312	101	F1:	(.) 撞擊 .
313	101	F1:	(.) 的 那 個 什麼 —
314	101	F1:	(.) 所以 有 一點點 ,
315	101	F1:	(.) 不 一樣 .
316	102	F2:	(...) 以前 ,
