unitSeq	TurnSeq	Speaker	Text
1	1	M:	(.) 還 有 嗎 ?
2	2	F1:	(.) 好 .
3	3	F2:	(.) @
4	4	M:	(.) 再來 啊 .
5	4	M:	(.) 再 說 一堂 課 ,
6	4	M:	(.) 讓 我 感受 一下 .
7	4	M:	(...) 沒有 了 嘛 ?
8	4	M:	(...) 沒有 了 嘛 ?
9	4	M:	(.) 啊 ,
10	4	M:	(.) 有 Homework 三 嗎 ?
11	5	F2:	(.) 好像 [還 沒 說] .
12	6	F1:	[還 沒 吧] .
13	7	M:	(0) Yeah 啊 ,
14	7	M:	有 期中考 嗎 .
15	8	F1:	(.) 他 [2沒] 考試 吧 .
16	8	F1:	(.) 我 記得 就 只有 期末 報告 .
17	9	F2:	[2沒有 ,
18	9	F2:	(.)2] 就 期末 報告 .
19	10	M:	(0) 但 我 機器學習 下 禮拜 要 期中考 欸 .
20	11	F1:	(.) 什麼 ?
21	12	M:	(.) 那 個 機器學習 概論 .
22	13	F2:	(.) 哦= 你 後來 有 去 修 ?
23	14	F1:	(.) 誰 的 啊 ?
24	15	F2:	(.) 禮拜四 下午 那 個 ,
25	16	M:	(.) 禮拜二 早上 —
26	16	M:	(.) 資科 的 啊 .
27	16	M:	(.) 我 跟 劉 還有 呂 .
28	17	F2:	(...) 誰上 的 啊 ?
29	18	M:	(.) 嗯= 我 看看 .
30	19	F2:	(.) 說不定 ,
31	19	F2:	(.) 我 可以 幫 你 拿到 考古 題 .
32	20	M:	(.) [哎 呦] .
33	21	F1:	[哎 呦] 你 說 問 資科 的 [2宅宅 們] .
34	22	M:	[2宅宅 們] .
35	23	F2:	(.) 你 看 你們 就 這樣 # 誤會 我 .
36	24	F1:	(.) 沒有 我 只是 順著 你 的 話 .
37	25	M:	(.) 劉 .
38	26	F2:	(.) 哦= .
39	27	M:	(.) 有 嗎 ?
40	27	M:	(.) 不 熟 .
41	28	F2:	(.) 我 有 —
42	28	F2:	(...) 認識 可以 開個 口 問問 這樣 .
43	29	F1:	(.) 他 是 考 考古題 喔 .
44	30	M:	(.) Yeah 劉 ,
45	30	M:	(.) 我 不 知道 啊 .
46	30	M:	(.) 他 第一 堂 課 就 一直 在 講 線性 迴歸
47	30	M:	(.) 我 就 覺得 超 無聊 的 .
48	30	M:	(.) 然後 第二 堂 課 去 還 是 在 講 線性 迴歸 .
49	30	M:	(.) 我 想 說 你 到底 要 講 到 什麼 時候 .
50	31	F1:	(.) 所以 你 最後 去 了 幾 堂 ?
