Turn,Speaker,Utterance
1,F1:,..今天去幫
1,F1:,...幫妳領那個
1,F1:,...今天帶皮皮下去啊
2,F2:,..um
3,F1:,..結果上來啊
3,F1:,..[然後]
4,F2:,[um] 
3,F1:,...然後就順便幫妳領掛號啊
4,F2:,..um
5,F1:,..然後又手上又拿了兩
5,F1:,...就是
5,F1:,...就是信
5,F1:,..就是我們信箱裡面有兩張東西啊
6,F2:,..um
7,F1:,...然後我我不是都在我
7,F1:,..我都會在電梯裡面幫皮皮綁
7,F1:,..因為
7,F1:,..剛好
8,F2:,..我現在都不敢放牠跑耶
8,F2:,..如果我帶牠下去
8,F2:,...[[我都是拉著]]牠耶
9,F1:,[[會我會讓牠跑]]
9,F1:,..要不然牠怎麼大便
10,F2:,...我就拉著牠
10,F2:,..到草叢那邊大啊
11,F1:,..我都會讓牠跑
11,F1:,...結果尿完
11,F1:,..我就會像
11,F1:,..讓牠在斜坡那邊
11,F1:,...牠一定都會在斜坡[那邊]尿啊
12,F2:,[um]
11,F1:,..尿完然後就
11,F1:,..把牠放開了
11,F1:,...然後
11,F1:,...就是
11,F1:,..坐電梯的時候就好像有一個從地下室坐上來的吧
11,F1:,...那有母子好像三樓
13,F1:,..[[就是三樓的]]
14,F2:,[[um]] 
13,F1:,...就是
13,F1:,...從也是
13,F1:,..他們也是
13,F1:,...他們是在一樓坐
13,F1:,...我們是一起坐電梯的
14,F2:,..um
15,F1:,...然後進去原來他們三個都是
15,F1:,..連那個有一個女的[<X 一 X>]
16,F2:,[一起的]
17,F1:,..對他們都三樓的
17,F1:,...然後我就按八樓啊
17,F1:,..那我就想說
17,F1:,..啊
17,F1:,..他們三樓
17,F1:,..要我要趕快[[把皮皮綁起來要不然牠等一下]]
18,F2:,[[皮皮綁起來要不然等一下跑出去]]
17,F1:,..對呀
17,F1:,...結果蹲下來綁
17,F1:,..喔現在腳真的很差
18,F2:,...很酸是不是
19,F1:,..不是
19,F1:,..蹲下來竟然坐在地上
19,F1:,...[@@很糗@@@]
20,F2:,[@@@=]
19,F1:,...坐在地上然後竟然爬不起來
19,F1:,..因為我手上還拿著妳的包包啊
20,F2:,..@@[[坐在地]]
21,F1:,[[哇]]
21,F1:,..好糗喔
21,F1:,..[在電梯裡面出糗]
22,F2:,[那怎麼辦]
23,F1:,..[[然後三樓那]]個我又認識eh妳知道嗎
24,F2:,[[@@]]
23,F1:,..他們就<L3 diam diam a L3>看我在那
23,F1:,...坐在地上
