Turn,Speaker,Utterance
1,F1:,按理講是應該是小孩好好的
1,F1:,...自己z
1,F1:,...自己工作找好
1,F1:,...好好的
1,F1:,...去
2,F2:,..不懂[得教育啦]
3,F1:,[賺錢吶]
4,F1:,..對啊
4,F1:,..像這樣[[她教]]育失敗了啊
5,F2:,[[當父母親]]
6,F2:,...不懂得教育
6,F2:,..自己
6,F2:,...自己甚麼都不懂啊
6,F2:,...那那
6,F2:,...那
6,F2:,...能幹
6,F2:,..會賺錢
6,F2:,...然後又不懂得教育
6,F2:,..那孩子就
6,F2:,..就就就就
7,F1:,..沒出息呀
8,F2:,..孩子
8,F2:,..覺得
8,F2:,..反正
8,F2:,...不做的話
8,F2:,..[也有錢]
9,F3:,[跟你講]
10,F3:,..好像她[[老公]]
11,F2:,[[有飯吃]]
12,F3:,..前一任的老公好像
12,F3:,..沒
12,F3:,..管她
13,F1:,...hon那這樣就是說
13,F1:,..跟
13,F1:,...也是自己生的啦hon
14,F3:,..hm
14,F3:,...對
15,F2:,..她國語講得很溜嘍
16,F3:,...hm
16,F3:,...都講國語
17,F2:,..口[音聽得出來嗎]
18,F1:,[那可能那個]外省人
18,F1:,...嫁外省人肯[[定]]
19,F3:,[[he]]
20,F2:,..口語聽得出來嗎
20,F2:,...[口音]
21,F3:,[口音]喔
21,F3:,...hm
22,F1:,..有那個音調啦
23,F3:,..對
24,F2:,...外國
25,F3:,..有一
25,F3:,..一種
25,F3:,...就是
26,F2:,...外國口音
27,F3:,...<L3 i
27,F3:,..ji1 ji1 jiau3 jiau3 按呢 ((很吱吱喳喳那樣的)) L3>
27,F3:,..很很
27,F3:,..嘰嘰喳喳的
28,F2:,...不是啊你那個
28,F2:,...音調聽得出來嗎台
29,F3:,..聽得[出來]
30,F2:,[台灣]人
30,F2:,..台灣人
30,F2:,...跟
31,F3:,..剛開始你不知道
32,F1:,..越南
33,F3:,..可是聽久了會
33,F3:,..會
34,F2:,..hm hm
35,F3:,..[有差]啦
36,F2:,[對對]
37,F2:,..對
37,F2:,...對
37,F2:,..台灣人嫁給外省人的那種
37,F2:,..那種音
37,F2:,...調
37,F2:,..她
37,F2:,..聽起來就是台灣口音
37,F2:,...那外
37,F2:,..外國的就是外國口音
37,F2:,...東南亞的東南亞口音
37,F2:,...聽得出來
38,F3:,...ei
38,F3:,...好像
38,F3:,...以後
38,F3:,..可能
38,F3:,..那種
38,F3:,...外勞啊
38,F3:,...會
38,F3:,..比我們
38,F3:,..還優越
38,F3:,...他
39,F2:,..哪一方面
40,F3:,..過來久了hon
40,F3:,..甚麼都會
40,F3:,..會
41,F1:,..ei
41,F1:,..[[他們]]
42,F3:,[[甚麼]]都懂
42,F3:,..甚麼都[比]我們
43,F1:,[他]
44,F1:,..對啊
44,F1:,..他們有些
44,F1:,...會做生意的真的是
44,F1:,...有一手
45,F2:,...那
45,F2:,..自己就要多學啊
45,F2:,...台灣
45,F2:,..那
45,F2:,..那
45,F2:,..對呀很多人
45,F2:,...甚麼都不懂甚麼都不學呀
45,F2:,..那那
45,F2:,...那水準越來越低落啊
46,F1:,..不是說
46,F1:,...甚麼都不懂甚麼都不學就是他
46,F1:,..他們
46,F1:,...他們
46,F1:,..好像比較敢啦
47,F2:,...不是啦
47,F2:,..也是情勢所逼
48,F1:,...對啦 <L3 heh1 lah1((對啦)) L3>
49,F2:,..人到[外國]去
49,F2:,...你為了生存你就
49,F2:,..你你你
50,F1:,[也是]
51,F1:,..hm
52,F2:,..你要
53,F1:,..要
54,F2:,..[[很堅強]]
55,F1:,[[要不然]]
56,F1:,..沒有就
56,F1:,...沒辦法生存下去啊
57,F2:,..對啊
57,F2:,...那人家敢
57,F2:,..敢
57,F2:,...敢去
57,F2:,..去努力敢去
57,F2:,..敢去抓住
57,F2:,..抓
57,F2:,..抓住機會
57,F2:,...那台灣人就
57,F2:,...你甚麼
57,F2:,..你
57,F2:,..原本沒有的
57,F2:,..沒有教育水準的
57,F2:,...然後
57,F2:,...沒有技術能力的
57,F2:,...然後
57,F2:,...又
57,F2:,..沒有出去競爭
57,F2:,...他s
57,F2:,..那那不去動
57,F2:,..那那
57,F2:,..那當然就是那
57,F2:,..更糟糕啦
57,F2:,..越來越糟糕啦
57,F2:,...[那]
58,F3:,[可能]啦
59,F2:,...競爭的
59,F2:,..那個甚麼
