Turn,Speaker,Utterance
1,F:,今天我們那個誰
1,F:,...我們那同
1,F:,...同事
1,F:,...要去九份
1,F:,...九份上次我們去過你還記得嗎
1,F:,...九份就是一直爬階梯對不對
1,F:,...然後因為他媽媽從
1,F:,...屏東上來要去九份
1,F:,...然後我們就說啊那去九份
1,F:,...就住你家就好了啊因為[他們]家住台北
2,M:,[嗯]
1,F:,..然後他沒有他說要訂民
3,F:,...訂[[民宿]]
4,M:,[[民宿喔]]
5,F:,..對
5,F:,...可是我跟你講
5,F:,...你不要說經濟不景氣
5,F:,...放三天假民宿都客滿
6,M:,..喔
6,M:,..那都
6,M:,..沒有[那]那事前沒訂
7,F:,[九]
6,M:,..現在當然沒有
8,F:,...九份那邊都客滿
8,F:,...金瓜石才有ei上次我們有去
8,F:,..金瓜石離九份多遠ha
9,M:,...沒多遠
10,F:,...開車多久
11,M:,...大概二十分鐘
11,M:,...[[唷]]
12,F:,[[二]]十分鐘
12,F:,...二十分鐘太遠了啦
12,F:,..他們又不會開車
13,M:,...誰不會開車啦
14,F:,...現在還是有啊
14,F:,..從南部上來不會開車啊
15,M:,..那麼<L3俗((俗氣)) L3>喔
16,F:,...你很奇怪耶
16,F:,..不會開車就<L3俗((俗氣)) L3>喔
17,M:,...@
18,F:,...亂說話
18,F:,..人家年紀比較大他不會開車啊
18,F:,[...所以]
19,M:,[那他可以]坐計程車啊
20,F:,...不方便啊
20,F:,..所以[[那那他不如]]就住台北了啊
21,M:,[[坐計程車為什麼]]
20,F:,...他住台北再
20,F:,..再坐車過去就
20,F:,...坐車過去就好了啊
20,F:,..住在金瓜石也沒有
20,F:,...也沒有比較好
20,F:,..比較那個啊
22,M:,..金瓜石有金瓜石的那邊也是一個
22,M:,..一個一個風
22,M:,..一個一個風景區在那裡啊
23,F:,..哪有
23,F:,...我們都沒有去過
24,M:,...金瓜石那有
24,M:,..那有那有採礦的
24,M:,..那有
24,M:,..金礦博物館
24,M:,..什麼金瓜石
25,F:,..可是我們上一次去九份沒有去金瓜石對不[對]
26,M:,[你]我們又沒有安排金瓜石
26,M:,..我們是是專程去九份的
27,F:,...算了
27,F:,..沒
27,F:,..沒有去就沒有去
27,F:,..還什麼專程
28,M:,..沒去
28,M:,..下次還可以去啊
29,F:,...um
29,F:,...對
29,F:,...那個什麼
29,F:,...ei
29,F:,...明天
29,F:,...明天要來去看
29,F:,...明天要來去電
29,F:,..電影院看海角七號因為我昨天去瑜珈的時候啊
29,F:,...我們老師他們啊
29,F:,..老師
29,F:,..同學
29,F:,...ho
29,F:,...[大]
30,M:,[明]天不行<L5呣L5>
30,M:,...明天[[沒有]]
31,F:,[[baby]]帶完他回去的時候我們看晚場啦
32,M:,..喔OK
33,F:,..有時候看晚場啦
34,M:,..OK
35,F:,..對
35,F:,..他
35,F:,..那
35,F:,..那個什麼
35,F:,..要不然的話
35,F:,..就像以前年輕人說的
35,F:,..啊你不看就
35,F:,...落伍了
36,M:,...午夜場喔
37,F:,...對啊
37,F:,...那
37,F:,...昨天我們
37,F:,..去的時候我們瑜珈老師說
37,F:,..他們看
37,F:,...午夜場
37,F:,...然後他説他們看回來以後就
37,F:,...嗯
37,F:,...就覺得台灣人的東西就對了啦
37,F:,..看的很爽
37,F:,...他就問我看了沒
37,F:,..我就說
37,F:,..我
37,F:,..準備這禮拜去看
37,F:,..我說他們不是想要
37,F:,...它現在好像是衝破四億了吧
37,F:,...他們不是想要上看七億嗎
37,F:,..我說我就是那種
37,F:,...後續
37,F:,...後
37,F:,...後的[資源的]
38,M:,[這有什麼]
38,M:,...你這有什麼了不起
38,M:,..人家那個
38,M:,..那個有的
38,M:,..有人報導說
38,M:,..那有一個人已經看十八次了
39,F:,..對啊
39,F:,...沒有
40,M:,..對啊
41,F:,..TSK
41,F:,..不是啦
41,F:,...我是說
41,F:,...那個
41,F:,..那個老師跟同學他們在說
41,F:,...要去
41,F:,...要去算
41,F:,...如果它是七億
41,F:,...台灣的人口
41,F:,...一共要多少人去看
41,F:,...才會有七億
41,F:,...我就跟他們說
41,F:,...這個呢
41,F:,...絕對不是台灣的人口有多少要去看
41,F:,...是
41,F:,..有很多人會看很多遍
42,M:,..對啊
43,F:,..就像
43,F:,..那個時候的什麼
43,F:,...梁山泊與祝英台有人看到八十一遍
43,F:,...還有那個什麼
43,F:,..鐵達尼號有人看到多少遍
43,F:,...所以這個呢
43,F:,..也很多人看
43,F:,..我就跟他有很多人會看很多遍
43,F:,..我說還有
43,F:,..我也是後續幫忙它衝錢的人
43,F:,..我說我
43,F:,...明後天找我老公去看午夜場
43,F:,...你知道嗎
43,F:,...然後
43,F:,...然後
43,F:,..我們那裡面喔
43,F:,...有一個喔
43,F:,...我們大家就說他這次賺錢啊
43,F:,...運氣很好怎樣怎樣
43,F:,..然後他
43,F:,...他就是
43,F:,...他
43,F:,..另外一個同學
43,F:,..他就是有研究這個
43,F:,...海角七號的那個導演的
43,F:,...他就說
43,F:,..其實
43,F:,..還有
43,F:,...導海角七號的那個導演他的
43,F:,...就是他親戚就對了啦
43,F:,...有一個啊
43,F:,...他們就是
43,F:,...有
43,F:,...研究的
43,F:,..就是說
43,F:,..他們是
43,F:,...整個是有在看
43,F:,...他就是整個這樣子
43,F:,...什麼時候才要把它排上檔
43,F:,...什麼時候做什麼
43,F:,..就是他們有去研究那種商業行為啊
43,F:,..還是那種
43,F:,...消費行為
43,F:,..他們就是整個暑假
43,F:,...前面都是一些
43,F:,...就是比較那個
43,F:,...前面都是一些屬於比較熱門影片啊
43,F:,...就這樣咚咚咚咚咚咚
43,F:,..好
43,F:,...到後面尾巴的時候
43,F:,..已經快要
43,F:,...開學了
43,F:,...他們就那個時候去
43,F:,...上
43,F:,...然後
43,F:,...然後
43,F:,...他就說
43,F:,...其實很多人說
43,F:,..海角七號啊
43,F:,..會紅啊
43,F:,..然後
43,F:,...票房這麼好啊
43,F:,...全部是靠運氣
43,F:,..他說那我們那個瑜珈同學就說
43,F:,...這不是靠運氣
43,F:,...第一個
43,F:,..他們裡面有一個
43,F:,...一
43,F:,...一群人
43,F:,..他是研究你
43,F:,...應該怎麼樣來
43,F:,...打
43,F:,..這一隻的廣告跟上檔期間
43,F:,...還有這個導演
43,F:,...在一開始的時候
43,F:,...他就
43,F:,..努力了整十年
43,F:,...然後
43,F:,...然後他還看了這個導演的另外一本書
43,F:,...就是在他還沒有拍
43,F:,...海角七號前
43,F:,...他怎麼樣去努力
43,F:,...你知道嗎
43,F:,..然後
43,F:,...這就是正方的
43,F:,...同
43,F:,...一個男同學講的
43,F:,...然後另外一個女同學去看回來了
43,F:,...然後老師就說
43,F:,..啊那你看得怎樣
43,F:,...她就說
43,F:,...唉
43,F:,...啊以實際哪裡
43,F:,...她就說
43,F:,..沒錯啦
43,F:,..講得說
43,F:,..跟
43,F:,...就是很
43,F:,..很台灣這樣看起來很
43,F:,...很
43,F:,..整
43,F:,..整股看起來很好啦
43,F:,...她說
43,F:,...可是如果以實際有符合嗎
43,F:,...根本不符合
43,F:,...她
43,F:,..台灣哪裡有那麼老的郵差
43,F:,...@然後我們大家就覺得
43,F:,...就那個茂伯啊
43,F:,...她說台灣哪有
43,F:,...她説台灣現在哪有那麼[老的郵差]
44,M:,[茂伯]
44,M:,...茂伯明天
44,M:,..十月十號要
44,M:,...[[表演]]相聲喔
45,F:,[[然後]]
45,F:,...然後你看茂伯
46,M:,..國慶日喔
47,F:,..茂伯他說
47,F:,..茂伯是那種
47,F:,...專業的那種
47,F:,...樂器的
47,F:,..你知道嗎
47,F:,..所以
48,M:,..沒有
48,M:,..他是那個
48,M:,...[<L5鋸弦仔 L5>]
49,F:,[對啊]
50,F:,..[[對呀對呀]]
51,M:,[[就是那個]]
52,F:,..[就是]那種
53,M:,[那個]
52,F:,..樂器的
54,F:,..還有他說
54,F:,...人家說
54,F:,..茂伯在台北有三棟房子耶
55,M:,..他還不是一般的人物
56,F:,..對啊對啊
56,F:,...所以
57,M:,..非等賢之輩
58,F:,..對對對所以你不要想茂伯
58,F:,..然後
58,F:,..然後裡面啊
58,F:,...昨天大家就談
58,F:,..在談海角七號
58,F:,...害我就想說
58,F:,..啊
58,F:,..我實在太慢去看了
58,F:,..我
58,F:,..我們上個禮拜颱風天
58,F:,...可是颱風太大了
58,F:,...我們桃園要不然的話
58,F:,..颱風天去看
58,F:,..我起碼也可以給它參一<L3腳((部分)) L3>說
58,F:,...怎樣
58,F:,..害我
58,F:,..還沒看我就
58,F:,..他們就說
58,F:,..ei你看了沒
58,F:,..我說跟你講還沒<L5呣L5>
58,F:,..我要衝後面票房的人
58,F:,...我這種人是[給人家後面枝芽]
59,M:,[你沒有看你就]聽人家
59,M:,..聽人家說
59,M:,..你不能發表而已
59,M:,...[[也沒有關係啊]]
60,F:,[[我先聽]]
60,F:,..我先聽人家說我去看的時候我就會看
60,F:,..誰說得比較有道理好不好
60,F:,...ei我也是影評耶
61,M:,...自己
61,M:,...看了自己
61,M:,...體會
62,F:,..對啊
62,F:,...沒錯啊
62,F:,...可是
62,F:,...他們是一直說
62,F:,..看完以後有
62,F:,..我們老師是滿讚賞的
62,F:,..我們瑜珈老師說
62,F:,..看完以後有一股
62,F:,...ei 
62,F:,...衝勁呢
62,F:,...還是希望呢
62,F:,...可是ho
62,F:,..我覺得這個都沒關係啦
62,F:,...我覺得最大的
62,F:,...最大的那種想法我就想說
62,F:,...經濟再不景氣還是有人賺錢
62,F:,..這句話是絕對對的
62,F:,..你看
62,F:,..很多電影什麼票房不好啊
62,F:,..什麼不好啊
62,F:,...偏偏海角七號就這麼好
62,F:,..連他以前住過的都那麼好
62,F:,...連我都會想說
62,F:,..我去看一下他以前住的地方是什麼樣子
63,M:,..那我們就開車下去
63,M:,..屏東
63,M:,...這個滿州
63,M:,..那裡看[一下啊]
64,F:,[哼]
64,F:,...我一定要先看電影好不好
64,F:,..電影看完以後我看它值得
64,F:,...[[值得我們]]
65,M:,[[改天再開車]]下來
65,M:,...奔下去看
66,F:,..看我值得去看嗎
67,M:,...我認為是
67,M:,...還好啦
68,F:,..我覺得[說]
69,M:,[沒有說]
69,M:,...沒有說
69,M:,...它那個拍得那個
69,M:,..房子那些
69,M:,...那那那[[那地點ho]]
70,F:,[[我覺得那是什麼]]
69,M:,..是我看了說沒有非常什麼古色
71,F:,...我覺得那是年輕人
71,F:,..[就想說去]
72,M:,[沒有很古老的]
72,M:,..古色的
73,F:,..那年輕人說想去他住過的套房ei
73,F:,..ei那個什麼
73,F:,...民宿住一下
73,F:,..我們喔
73,F:,..就是
73,F:,..可能就是
73,F:,..看看
73,F:,...電影吧
73,F:,...看電影
73,F:,...看電影是怎樣
73,F:,..明天
73,F:,...明天
73,F:,..明天晚上來去看
73,F:,..要不然下個禮拜
73,F:,...我再去上瑜珈課的時候
73,F:,..他們
73,F:,..他們現在很熱誠
73,F:,...會問我說
