Turn,Speaker,Utterance
1,F:,..而且我發覺啊
1,F:,..現在不是都有很多部落客在寫[那種]
2,M:,[嗯]
1,F:,..什麼推薦文啊
1,F:,..什麼的
3,F:,..他們那些人都
3,F:,...都不約而同會同時
3,F:,...就是大概那個時間都推薦同一間店
4,M:,..mhm
5,F:,..就大概都是那些店同時[[找]]他們
6,M:,[[對啊]]
5,F:,...那個嗎
6,M:,...差不多
7,F:,..可是有人會因為這樣
7,F:,..就真的去買去那個
8,M:,..會啊
8,M:,...不然為什麼那些部落客那麼紅
9,F:,...好
9,F:,..好無聊
9,F:,...可是那畢竟
9,F:,...不是真實的生活
9,F:,..真實的生活根本不會那樣啊
10,M:,...mhm
11,F:,..我不是跟你說我跟小氣鬼討論過那話題
11,F:,..就說這些部落客到底平常都在幹嘛
11,F:,... 有的那樣子每天出
11,F:,..出去吃喝玩樂
11,F:,...uh歐洲的遊記也可以寫
11,F:,...日本的也能寫
11,F:,...然後東南亞的也寫
11,F:,..台灣的也寫
11,F:,..所有的飯店什麼她們都住過了
12,M:,..mhm
13,F:,..對啊
13,F:,...她老公不知道到底在幹嘛
14,M:,..@
15,F:,..或是她本身到底在幹嘛
16,M:,...問號
17,F:,..都不用賺錢都不用生活了
17,F:,..也都不用那個嗎
18,M:,..沒有[啊]
19,F:,[都]沒有現實的考量嗎
20,M:,..偶爾一定都會有這種人啦
20,M:,...可是那不代表
20,M:,...大多數的人
20,M:,...對啊
21,F:,...可是應該也不會去羨慕才對啊
22,M:,...妳看起來很羨慕@@
23,F:,...可是那
23,F:,..我覺得實際上
23,F:,..應該不會是這樣
24,M:,..沒有啊
24,M:,..妳自己
24,M:,..現在沒辦法那樣
24,M:,..所以妳會很羨慕
25,F:,..是這樣嗎
26,M:,..可是妳自己是那樣子的時候妳就覺得沒有什麼
27,F:,...mhm
28,M:,...譬如說什麼
28,M:,..我們去
28,M:,..去義大利那領隊
28,M:,...去義大利已經去到爛掉了
29,F:,..對啊
29,F:,..什麼地方對他來說[[都覺得一樣]]
30,M:,[[對啊]]
30,M:,...跑來跑去那
30,M:,..對他來說都沒有什麼
30,M:,..還重遊義大利<L3 lei L3>
31,F:,..@@@
32,M:,..他可能想到都已經
32,M:,..喔
32,M:,..下次來到這裡的時候然後要講什麼幹嘛嗯嗯
32,M:,..[稿子都背得一清二楚]
33,F:,[沒有你看
33,F:,..對他來說]那是他的工作
34,M:,..對啊
35,F:,..然後例行性的就是
36,M:,...[[對啊]]
37,F:,[[就是這樣子]]
37,F:,...他可能今天到這裡
37,F:,...就講這樣的話
37,F:,...到這邊
37,F:,..就[換這樣介紹]
38,M:,[對啊]
37,F:,.. 對他來說沒有特別的
37,F:,...那個
39,F:,...可是我們
39,F:,..去的時候會覺得每一個地方都好驚[奇]
40,M:,[都]很驚奇啊
41,F:,..然後都好好那個喔
41,F:,..好好玩喔
42,M:,...你看所以同樣的行為
42,M:,...就是去義大利
42,M:,...去義大利
42,M:,..然後可是對
42,M:,...我們
42,M:,..對他
42,M:,...不同的意義
43,F:,..對啊
44,M:,..然後差很多
45,F:,...不過出
45,F:,..出去總是增廣見聞
46,M:,...mhm
47,F:,..也還不錯
48,M:,..mhm
48,M:,...ei那時候去義大利那時候他那什麼
48,M:,...領隊叫我們要防那什麼
48,M:,...那是什麼人
48,M:,...他們叫
48,M:,..他們講那些黑人是什麼人
49,F:,..吉普賽
50,M:,..啊對對對
50,M:,[...吉普賽]
51,F:,[唉呦什麼人還不是都一樣]
51,F:,...我那天真的做那個夢啊
51,F:,..我真的覺得超好笑的
51,F:,..夢見我們全家要去西班牙
51,F:,...然後呢
51,F:,...十一點的飛機
