Turn,Speaker,Utterance
1,F1:,..對啊
1,F1:,..你們可以去苗栗玩耶
1,F1:,...反正不太遠
2,F2:,..我覺得要先去鶯歌
3,F1:,..對呀
3,F1:,..我也覺得
4,F2:,@@@
5,F1:,..你之前都住在哪裡
6,F2:,..我之前喔
6,F2:,..住在
6,F2:,...各地@@@=
6,F2:,...就我很難說我熟哪個地方
7,F1:,..[um]
8,F2:,[因為]
8,F2:,...就桃園住最久啊
8,F2:,..但是就是小時候
8,F2:,..就
8,F2:,..到高中以前都住桃園
8,F2:,..可是我對桃園其實也不會很熟
9,F1:,..我也是
9,F1:,..我對高雄也不熟.不知道[[為什麼]]
10,F2:,[[對啊]]
10,F2:,..我高中以前好像都
10,F2:,..都沒有在生活耶
11,F1:,...你應該是念大學的地方會最熟
12,F2:,..對
12,F2:,...比較熟
12,F2:,..嘉義
13,F1:,..結果你住在好山好水@好無聊的地方@@@=就我的印象
14,F2:,..還好吧
14,F2:,..我們那邊很漂亮耶
14,F2:,..有沒有去過中正大學
15,F1:,..um
15,F1:,...我就去考插大啊
16,F2:,..um
16,F2:,..妳本來就想考中正嗎
17,F1:,..插大的原則就是能考都去考@@
17,F1:,..因為機率太低
17,F1:,..所以幾乎都會考
17,F1:,..然後時間沒有
17,F1:,..沒有衝到
17,F1:,...我就都會去
17,F1:,..但是最後還是沒有
18,F2:,..um
18,F2:,..啊你本來想念中正喔
19,F1:,..還好我沒有考上中正
20,F2:,..為什麼
21,F1:,..考不上@@
22,F2:,..不會啦
23,F1:,..那後來
23,F1:,..後來就考上中興啊
23,F1:,..中興比較在市區
24,F2:,..我們三不五時就可以去阿里山
24,F2:,...@@也沒有三不五時
24,F2:,..騎車要三個小時@@@=
25,F1:,..那也是@@@=阿里山我也去過好幾次
25,F1:,..不用
25,F1:,..不用念中正@也可以去阿里山@
26,F2:,..不過我們就在山腳下
27,F1:,..我們三不五時就可以騎到那個耶
27,F1:,...溪頭啊
27,F1:,..然後
27,F1:,...因為台中也是啊
27,F1:,...太平啊
27,F1:,..然後我們團練也在山上
28,F2:,..團練
29,F1:,..對對對
29,F1:,..就國樂團的團練都會在山上
29,F1:,..也是三不五時就可以@爬山上@
30,F2:,..你們會去
30,F2:,..山上團練喔
31,F1:,..寒訓的時候
31,F1:,..就是一年級就會參加寒訓嘛
31,F1:,..寒訓就會在山上一個廟
31,F1:,..那個時候921
31,F1:,[..921之前]
32,F2:,[..在山上一個廟]
33,F1:,..對對對
34,F2:,..團練
34,F2:,..這樣
35,F1:,...那邊有溫泉
35,F1:,..反正就是在廟
35,F1:,..住在廟裡面
35,F1:,..因為比較便宜吧我也不知道為什麼
35,F1:,..反正就是
35,F1:,...那個
35,F1:,..我們社團的慣例好像就是每年都是在那裡辦
36,F2:,..廟還是寺
36,F2:,..廟聽起來就只有
36,F2:,..這麼大喔
36,F2:,..寺
37,F1:,..我忘記那叫什麼[寺]
38,F2:,[應該]是什麼什麼寺吧
39,F1:,..反正裡面有那個啊
39,F1:,..有給香客住的地方
39,F1:,[..我們就]住在裡面
40,F2:,[um]
41,F1:,..然後早上
41,F1:,..就是被關在上面的意思啊
41,F1:,..然後早上起來團練啊
41,F1:,..玩大地遊戲啊什麼的
41,F1:,..然後
42,F2:,..這樣沒有人嫌你們
42,F2:,..吵嗎
43,F1:,..就是因為怕人家嫌我們吵才會去那種地方
43,F1:,..因為
43,F1:,...就沒有人啊
43,F1:,..然後每天都吃素
43,F1:,..吃一個禮拜
43,F1:,..然後下山
43,F1:,..全社團第一件事就是奔向
44,F2:,..開
44,F2:,..開葷
45,F1:,..對@@[@=]
46,F2:,[@@@=]
47,F1:,..海產buffet
47,F1:,..然後社長帶頭
47,F1:,..那時候本來說來我們去吃肯德基
47,F1:,...社長說
47,F1:,..吃什麼肯德基啊
47,F1:,..帶你們去吃buffet啦@@
47,F1:,..結果沒出幾道X
48,F2:,..你們有多少人
49,F1:,..我們
49,F1:,..我一年級進去那一屆喔
49,F1:,...我那時候去只有十
49,F1:,..一個團哪
49,F1:,..一個國樂團大概只有二十
49,F1:,..二十
50,F2:,...哎
50,F2:,..我以前是管樂團
51,F1:,..好厲害喔
51,F1:,..都吹不動
52,F2:,.. 我是
52,F2:,..@我是唯一一個不用吹的@
53,F1:,..喔
53,F1:,..
54,F2:,..我是[打鼓的@@@=]]
55,F1:,[XXXX]
62,F2:,..不用[公開]
63,F1:,[沒有]
55,F1:,..喔
55,F1:,..好厲害喔
56,F2:,..所以我肺[[活]]
57,F1:,[[是定音]]鼔還是小鼓
58,F2:,..都可以
59,F1:,..好棒喔
60,F2:,..就是那種
60,F2:,..可是我沒有打得很好
61,F1:,..我們以前國樂團最=帥的
61,F1:,..就是打定音鼓
62,F2:,..喔
62,F2:,..妳喜歡那個
62,F2:,..沒關係
64,F2:,..在這邊公開@@@=
65,F1:,..不是
65,F1:,..我不是說人帥
65,F1:,..我是說打定音鼓很帥
66,F2:,..噢
66,F2:,..這件事情很帥@@@=
67,F1:,..對
67,F1:,..因為那個時候不是我們
67,F1:,..那個算是國樂團的
67,F1:,...半標配
67,F1:,..簡配可能就沒有
67,F1:,..就是比較大的國樂團會有定音鼓
67,F1:,..然後我們社團算比較大
67,F1:,..但是有一些小一點的國樂團不一定有
67,F1:,..有時候借來的
67,F1:,..有時候是借來的
67,F1:,..就是要比賽的時候就借來用
67,F1:,..我們用過最神奇
67,F1:,..最
67,F1:,..神奇
67,F1:,...最神秘的樂器就是編鐘
68,F2:,..編鐘喔[我不曉得]
69,F1:,[真的借了一個鐘]
69,F1:,..那個啊
69,F1:,..就是在古裝片裡面會看到的東西
69,F1:,..但從頭到尾只有三個音
70,F2:,..噢
70,F2:,..就是
70,F2:,..黑色
70,F2:,..[[鐵的
70,F2:,..很大的]]
71,F1:,[[對對對
71,F1:,..對對對]]
71,F1:,..我忘記我們借的是編鐘還是磬
71,F1:,..有一種是只有一排的
71,F1:,..有一種是這樣[方形]的喔
72,F2:,[um]
71,F1:,..對對對
72,F2:,..啊你們借的是
73,F1:,..我忘記我們借哪一種@@[我的頭]
74,F2:,[感覺是]山東大學的孔子學院
75,F1:,..對對對對對類似那種
75,F1:,..[[然後就是]]
76,F2:,[[會出現在那邊]]
77,F1:,..一共只有三個音在一開始一定要把它借到@@
78,F2:,..要在哪裡借
79,F1:,..我也忘
79,F1:,..我不知道我們社長去哪裡弄來
80,F2:,..um
81,F1:,..因為我當社長那一屆
81,F1:,..我們就整個都借不到
82,F2:,..um
83,F1:,..就
83,F1:,..隨便啦
83,F1:,..隨便啦
83,F1:,..有就好
84,F2:,..哪一個編啊
84,F2:,..編鐘
85,F1:,..就編
85,F1:,..編頭髮
86,F2:,..um
87,F1:,..編在上面
87,F1:,..忘記到底是借了編鐘還是磬
87,F1:,...總之就是
87,F1:,..很神奇的一個樂器
87,F1:,..我也不知道
87,F1:,..好像是
88,F2:,..應該
89,F1:,..@去孔廟借是不是@@@
90,F2:,..孔
90,F2:,..應該是很像是
90,F2:,..[有]
91,F1:,[um]
92,F2:,..我們西
92,F2:,..就是管樂團裡面有一個那個
93,F1:,..um
93,F1:,..豎琴
94,F2:,..不是啦
94,F2:,..現在想不起來它的名字
94,F2:,..太久了
94,F2:,..就是
94,F2:,..它也是這樣一管一管的
94,F2:,...而且好丟臉我是打擊部我還想不起來
94,F2:,..就是
94,F2:,..它也是這樣
94,F2:,..然後你可以用
94,F2:,..就是像我這麼矮的要
94,F2:,..要墊腳尖然後拿那個槌子
95,F1:,..um
96,F2:,..然後捶那個
97,F1:,..管鐘喔
98,F2:,..欸
98,F2:,..好耳熟喔
98,F2:,..好像就是管鐘
99,F1:,..@@
99,F1:,..那我來查一下管鐘的圖片
100,F2:,..應該原理很像那個吧
100,F2:,...就是這樣子敲
100,F2:,..然後
101,F1:,..對啊
101,F1:,..因為那個西樂都是靠共鳴
101,F1:,..然後國樂都是靠
101,F1:,..撞擊
101,F1:,..的那個什麼
101,F1:,..所以有一點點不一樣
102,F2:,...以前我在打擊樂團就是很糗
102,F2:,..因為大家都蠻帥
102,F2:,..然後就只有我一個人這樣墊腳尖拿
102,F2:,..@@@=
103,F1:,..@@@為什麼咧@
103,F1:,..跳起來啊
104,F2:,..對
104,F2:,..[手短腳短]
105,F1:,[好像也不錯這個]
106,F2:,..我看
107,F1:,..不過不夠大吧
107,F1:,..這個這個
108,F2:,..這個很大啊
109,F1:,..噢這個嗎
110,F2:,..這個
110,F2:,..很大
110,F2:,..我看有多大
110,F2:,..這樣
110,F2:,..這麼大吧
111,F1:,..真的嗎
111,F1:,..可是它才只有幾管
112,F2:,..而且還
113,F1:,..它有升降音嗎
113,F1:,..就跟鋼琴一樣
114,F2:,..有啊
114,F2:,..這都是do rei mi fa so la si do啊
115,F1:,..真的嗎沒[見過]
116,F2:,[對啊]
116,F2:,...但
117,F1:,..全部都是灰色
118,F2:,...我覺得好高
119,F1:,..有一百八十
120,F2:,..而且我還加了
120,F2:,..槌
120,F2:,..子的高度
121,F1:,..噢也對[@@@=]
122,F2:,[@@
122,F2:,..又多了]
123,F1:,@還好有[[槌子]]@
124,F2:,[[如果這樣]]一百五的話
124,F2:,..這樣可能一百六
124,F2:,..然後再槌子
124,F2:,..可能一百八喔
125,F1:,..才能敲到嗎
126,F2:,..一百七吧
126,F2:,..一百七吧
127,F1:,..好吧
127,F1:,...哇塞
128,F2:,...欸妳上次用這個杯子耶
129,F1:,..有點搞不清楚
129,F1:,..應該洗過了
129,F1:,..可以吃一個
130,F2:,..um[妳吃啊這個我沒有在吃]
131,F1:,[妳為什麼沒有用那個]
131,F1:,...這個要
132,F2:,..你隨便沾我沒有在吃[[醬
132,F2:,..我很少吃醬]]
133,F1:,[[欸
133,F1:,..這是和風]]
133,F1:,..喔
133,F1:,..對不起
133,F1:,..這個是給它
134,F2:,..噢
134,F2:,..你要那個醬
135,F1:,...[YA]
136,F2:,[那我不愛吃到的]
136,F2:,..都沒有拿出來
136,F2:,..@@
137,F1:,..太好了我的糖醋醬
138,F2:,..好險我沒有退這個
138,F2:,..[[一般]]
139,F1:,[[它這個]]
139,F1:,..要付錢才能買
139,F1:,..才能
139,F1:,..如果妳沒有買麥克雞塊就要付五塊錢才可以有
140,F2:,..誰會
140,F2:,..妳
140,F2:,..妳會付五塊錢買那個嗎
141,F1:,..上次我就付五塊錢買[因為我想要好好]地吃薯條
142,F2:,[有那麼好吃嗎]
143,F1:,...欸
143,F1:,..薯條配這個也很好吃啊
144,F2:,..是嗎
145,F1:,..點頭
146,F2:,..我不吃醬
146,F2:,..就是不
146,F2:,..覺得沒事的
146,F2:,..沒事這種就要配醬
147,F1:,..um
148,F2:,..這種沒事的我就覺得不用配醬
149,F1:,..嗯
149,F1:,...這沒什麼味道啊@@
150,F2:,..哪有
150,F2:,..很好吃啊
151,F1:,...我吃火鍋都不知道到底是為了吃火鍋
151,F1:,..還是為了吃沙茶醬
151,F1:,...為了沙茶醬而吃火鍋
151,F1:,..@
152,F2:,..這樣子不行
153,F1:,..為什麼
153,F1:,...沙茶醬很好吃啊
154,F2:,..如果妳吃火鍋的話
154,F2:,..就自己想嘛
154,F2:,..@吃火過不吃醬的話應該不會飽
154,F2:,..因為醬就是油
155,F1:,..喔對呀
155,F1:,..火鍋就只是水煮
155,F1:,..所有東西都是水煮啊
155,F1:,..然後基本上應該很健康
155,F1:,..可以改成配芝麻醬
155,F1:,..就是那個日式的芝麻醬
155,F1:,..就覺得還蠻好吃的
156,F2:,..日式芝麻
156,F2:,..妳有吃過那個
156,F2:,..火過配芝麻醬
156,F2:,..餐廳喔
157,F1:,..妳如果吃那個麻辣鍋他會給你啊不是嗎
158,F2:,..那種餐廳很少
158,F2:,..我是在
158,F2:,..我是在大陸
159,F1:,..對
159,F1:,..大陸只有麻辣火鍋就是配芝麻醬
159,F1:,...台灣也有
159,F1:,..比較好一點的火鍋
160,F2:,..比較好的嗎
161,F1:,..um
162,F2:,..我都鄙視那些餐廳@@@=
163,F1:,..真的嗎
164,F2:,..因為我都是吃
164,F2:,..我沒有
164,F2:,..我就是沙茶醬而已這樣子
165,F1:,..我也是很喜歡沙茶醬
165,F1:,..所以
165,F1:,..沒有沙茶醬的火鍋店我沒有興趣@@[@=]
166,F2:,[@@@=]
167,F1:,..對啊
167,F1:,..簡單說也是鄙視那些餐廳
167,F1:,..為什麼
167,F1:,..給
167,F1:,..還有是給那個什麼
167,F1:,...腐
167,F1:,..豆腐
167,F1:,..豆腐
167,F1:,..豆腐乳
167,F1:,..對對
167,F1:,..豆腐乳
168,F2:,..他有給豆腐乳
168,F2:,..我有一次最
168,F2:,..去那個西
168,F2:,..就是
168,F2:,..TSK
168,F2:,..就是反正西部的
168,F2:,..中國的西部
168,F2:,..我也不知道是
168,F2:,..不確定是哪裡
168,F2:,..然後它
168,F2:,..我要去
168,F2:,..我就是因為一路上都吃一些奇奇怪怪的新疆食物
168,F2:,...所以就覺得
168,F2:,..喔終於來到都市了
168,F2:,..然後就想說吃一些
168,F2:,..我自己想吃的
168,F2:,..然後就走進去就一間
168,F2:,..就是美輪美奐的
168,F2:,...火鍋店
169,F1:,@@
170,F2:,然後走進火鍋店是不是期待一個鍋
171,F1:,..對啊
172,F2:,..然後還有飯
172,F2:,..然後就這樣子配嘛
173,F1:,..沒有
173,F1:,..哪裡來的飯
174,F2:,..沒有[飯耶
174,F2:,..就是]
175,F1:,[@@]
176,F2:,..可是台灣都有飯啊
177,F1:,..大陸很多地方都沒有飯啊
178,F2:,..對啊
179,F1:,..我也不懂為什麼@@
180,F2:,..然後我就
180,F2:,..我就有點要發飆
180,F2:,..你火鍋店沒有飯@@
180,F2:,..可是他們吃火鍋不吃飯
181,F1:,..對
181,F1:,..對
182,F2:,..為什麼要這樣子
183,F1:,..他們連吃菜都不吃飯啊就是我第一[次
183,F1:,..]從九六年去到去年
184,F2:,[ha]
191,F2:,..澱粉好但是都吃太多[@@]
183,F1:,..前年去還是一樣不給飯耶
185,F2:,..對啊
186,F1:,..然後我發現他們都
186,F1:,..然後我想他們為什麼可以吃這麼多菜
186,F1:,..因為他們沒有吃飯啊
186,F1:,..所以他整
186,F1:,..就整桌都是菜啊
187,F2:,..所以他們很健康耶
188,F1:,..哪有
188,F1:,..油得要命耶
188,F1:,..因為這樣妳就相對會吃更多的肉啊菜啊那些東西進去
189,F2:,..那很好啊
189,F2:,..就是比澱粉好啊
190,F1:,..沒有
190,F1:,..澱粉是很好的東西
192,F1:,[對]
198,F1:,..就是[我們家]
193,F2:,..而且有些食物有澱粉就夠了吧
194,F1:,..嗯哼
195,F2:,..我也不知道
195,F2:,..然後我那時候第一次知道他們不吃飯
196,F1:,..對
196,F1:,..這真是很奇怪的事情
196,F1:,..所以每一次去他都先給你飯
197,F2:,..欸妳阿嬤
197,F2:,..奶奶吃不吃飯
198,F1:,..當然吃啊
198,F1:,..我們家的是
199,F2:,[不知道]那邊對我們來說也蠻北的耶
203,F2:,..對我們來說[是北呀
203,F2:,..我們很南耶]
199,F2:,..蠻北的
199,F2:,..浙江嗎
199,F2:,..[[浙江是]]
200,F1:,[[浙江]]是南邊
201,F2:,..可是對我們來說很北@@
202,F1:,..最好是啦
202,F1:,..哪裡北呀@@
204,F1:,[浙江是
204,F1:,..江
204,F1:,..江
204,F1:,..]江南耶@@
215,F2:,..[或者是]
216,F1:,[對對]
205,F2:,..江南
206,F1:,..我們是南耶@@
207,F2:,..在江的南
208,F1:,..只要是在長江的都叫南邊
209,F2:,..所以長江以南都是
209,F2:,..都魚米之鄉
210,F1:,..對呀對呀對呀
211,F2:,..所以長江以北可能就不容易吃飯
