Turn,Speaker,Utterance
1,F1:, 反正 就 我 覺 得
1,F1:, .. 喔 就
1,F1:, .. 現 在 小學生 程度 差
1,F1:, ... 真的 很 誇張 我 教 的 那 個
1,F1:, ... 我 教 的 那 個 小 五
1,F1:, .. 跟 我 上次
1,F1:, ... 上次
1,F1:, .. 教到 的 [那 個 小 五]
2,F2:, [對 對 那 個] 那 個
3,F1:, .. 一樣 喔
3,F1:, ... 我 那 個 學生 是
3,F1:, .. 他 學 那 個 何嘉仁 已 經 那 個
3,F1:, ... 程度 太 高 了
3,F1:, .. 他 跟 不 上
3,F1:, .. 才 請 家教
3,F1:, ... 我 上次 去 那 個瑛 如 他們 那 個 是
3,F1:, ... 那 個課 本 太 難
3,F1:, .. 他 完全 看 不 懂
3,F1:, .. 他 連 <L2 you I L2> 都 看 不 懂
3,F1:, .. 然後 我 那 個 學生 是
3,F1:, .. 課本 太 簡單 了
3,F1:, .. 瞄兩 下
3,F1:, .. 單字 背 一下 就 好
3,F1:, .. 那 我 們先 把 這簡單 的 課本 放到 旁邊 去
3,F1:, .. 我 們來 看 何嘉仁
3,F1:, .. 是 這 樣子 耶
3,F1:, .. 差好 多 喔
3,F1:, ... 然後 看 了 有 點心 酸吶
3,F1:, ... [[可 那 沒 辦法]]
4,F2:, [[可 那 沒辦]]
4,F2:, ...
4,F2:, ... 沒辦法
5,F1:, ... 對 呀
5,F1:, .. 因為 這並 不是
5,F1:, ... 老師
5,F1:, .. 有 時候 我 覺 得 老師 其 實
5,F1:, .. 能 做 的
6,F2:, ... 而且 [一 個 禮 拜] 才 一 次 耶
7,F1:, [大概 有]
8,F2:, .. [[一 次]]
9,F1:, [[一 個 禮拜]] 一 次 真的 很 少
9,F1:, .. [[[家教 都]]] [沒 那 麼少]
10,F2:, [[[而且 一 次]]]
11,F3:, [還 好 啦] 一 次 其 實
11,F3:, ... 你 有
11,F3:, .. 你 有 重點 要 教 他 什麼 [[的 話]]
12,F1:, [[教]] 技巧
12,F1:, ... [[[技 巧類 的]]]
13,F2:, [[[像 我 覺 得]]] 也 有 一 個 很 重要 是 他 們要 肯學 呀
13,F2:, .. 像 我
13,F2:, .. 上次 你 有 看到 我 教[那 個]
14,F1:, [喔]
13,F2:, .. 他 根本 就 無心 學
15,F1:, ... 對 啊
16,F2:, .. 我 還教 他 音 標然 後 他 不 想 學音 標 那 我 就
16,F2:, .. 試著 從
16,F2:, .. 譬如 說 SHE 不是 有 一 個 叫 E嗎
17,F1:, .. [@@@]
18,F2:, [你 想 知道] 它 要 怎麼 拼嗎
18,F2:, .. 它 怎麼 拼
18,F2:, .. 那 怎麼 發音 你 想 知道 嗎
18,F2:, ... 或 H怎麼 發音
19,F3:, .... 可能 他 不知
19,F3:, ...
19,F3:, .. 他 又 不 喜歡 她 們
20,F2:, ... 就 還 有 5566 啊
20,F2:, .. 孫 他
20,F2:, .. 居然 真的
20,F2:, .. 國中生 真的 有 喜歡 5566 的 欸
21,F1:, .. 真的 有
22,F2:, ... 我 很 訝異
23,F3:, .. 可[是]
24,F1:, [還 有]
25,F1:, .. 明
26,F3:, .. 其實 不 喜歡 學習 的
26,F3:, .. 不 能
26,F3:, .. 不 喜歡 學 英文 的 人 多半 不 喜歡 學 KK 音標 你 知道 嗎
27,F1:, .. 對 啊
28,F3:, ... 它 太 抽象 了
28,F3:, .. 英文 都 很 抽象 了 你 要 他 學 一 個 更 抽象 的
29,F2:, .. 但是
30,F3:, .. 他 [當然 不行]
31,F2:, [可是 那 個東 西] 有 點像 注音 符號
31,F2:, .. 如果 你 注音 符號 可以 的 話
32,F3:, .. 那 你 有 這 樣子 跟 他 說嗎
33,F2:, .. 有
34,F3:, ... 那 如果 他 還 是 不 喜歡 學
34,F3:, .. 那 表示 對 他 而言 那 也 是 太 抽象 了
34,F3:, ... 他 還要 重新 再 學 一 套 符號 欸
35,F2:, .. 我 覺 得 多半 是 懶欸
35,F2:, .. 說真
35,F2:, ... [就 剛開 始]
36,F1:, [就 有 點放]棄 自己 啦
37,F2:, .. 對對 對 [[有 可能]]
38,F1:, [[有 一 點]]
39,F1:, .. 多少 有 一 點
40,F3:, ... 他 懶是 本來 就是 這 樣子 了
40,F3:, .. 問題 是
40,F3:, .. 就是
40,F3:, .. 如果 你 覺 得 時間 太 少 的 話
40,F3:, .. 那目
40,F3:, .. 那 個目 [標 你 可以]放 在 讓 他 比較 喜歡 英文 就 好 了
41,F2:, [就 沒 辦法 呀]
