Sequence;Speaker;Utterance;
1;M1:;(0)eh啊 ,;Angelina
2;M1:;...(1.4)最近都沒有跟那 些人 ,;
3;M1:;..那個啊 ?;
4;M1:;...[最近是] --;
5;M2:;   [比較少一點喔] .;
6;M2:;...(3.4)因為 ,;
7;M2:;...(1.4)現在大家也各忙各的 .;
8;M2:;..反正我就做我的<L2 trading L2> .;
9;M2:;...(1.5)搞我自己的東西 .;
10;M1:;(0)可是 ,;
;M1:;走掉的也很多啊 ?;
11;M2:;(0)um .;
;M2:;XXX像 --;
;M2:;喔有啦 ,;
12;M2:;.. <L2 Mark L2>我最近比較常跟他聯絡 .;
13;M2:;..蔡 .;
14;M1:;..蔡喔 .;
15;M2:;..他自己 --;
;M2:;現在自己在做交易 .;
;M2:;所以我們還蠻多 ,;
;M2:;..互相交流的 .;
17;M1:;..我知道他從自營部離開呀 .;
18;M2:;...(1.3)他現在在那個什麼 ,;
19;M2:;...(1.0)忠孝敦化的路口 .;
20;M2:;..有一個太平洋證券 .;
;M2:;它裡面弄了個 --;
21;M2:;...操盤室他在裡面弄 .;
;M2:;因為好像那一家分公司的經理 .;
;M2:;跟他是好朋友 .;
22;M1:;...(2.8)太平洋證券還在唷 ?;
23;M2:;(0)um ?;
24;M1:;..太平洋證券[還在XX] ?;
25;M2:;                    [<@對 .;
;M2:;                                 還在@>]@ .;
26;M2:;..全台灣有幾個點 .;
27;M1:;..um .;
28;M2:;..我是不知道他們是靠什麼做 .;
;M2:;反正那一間 --;
;M2:;那個點還在 .;
;M2:;然後<L2 Mark L2>還在裡面操盤 .;
29;M2:;...(1.0)所以最近我們常常在那邊跟他聊 .;
;M2:;所以下 -;
;M2:;接下來 ,;
;M2:;下個禮拜可能找他跟 --;
30;M2:;..李呀什麼吃個飯 .;
;M2:;反正既然都在操盤大家聊一聊交流[交流] .;
31;M1:;                                                      [X];
32;M1:;...小樓這件事嗎 ?;
33;M2:;(0)um ?;
34;M1:;..小樓 .;
35;M2:;..有見過一兩次 .;
;M2:;不太熟 .;
36;M1:;(0)um .;
37;M1:;...(1.7)大概黃比較熟吧 ?;
38;M2:;..um .;
39;M1:;...(3.9)那時候我當小特助的時候 ,;
;M1:;他是董事 .;
40;M2:;(1.9)他後來是不是在澳門當 ,;
41;M1:;(0)um..對 .;
43;M2:;(0)[公務員] ?;
44;M1:;    [司法]-;
;M1:;司法警察 .;
45;M1:;...(2.4)他老婆的問題還沒解決 .;
;M1:;很麻煩 .;
46;M2:;...(1.7)他老婆是 --;
47;M2:;...原本就有那樣的狀況然後後來才展現出來 .;
;M2:;還是說 ,;
48;M2:;...後來才得憂鬱症 .;
49;M1:;(0)後來更嚴重 .;
50;M1:;..聽說原-;
;M1:;本來就<L3 siau1 siaul L3> .;
51;M2:;...(2.7)幾年前我跟 ,;
52;M2:;...(1.9)嘉跟李跑去澳門玩 .;
53;M1:;..喔 .;
54;M2:;(0)有跟他們一起吃飯 .;
;M2:;可是那時候他老婆看起來很正常 .;
55;M1:;...(4.7)那次以後啦 .;
56;M2:;...(1.4)是喔 .;
