Turn,Speaker,Utterance
1,M:, .. 在 美容院
1,M:, .. 在 美容 公司 上班
2,F:, ... 喔
3,M:, ... 內湖
4,F:, ... [很] 遠 嗎
5,M:, [ch -]
5,M:, ... 超 遠
6,F:, ... 在 哪
6,F:, ... 你 等 [[下]] 要 拿去 丟 嗎
7,M:, [[就]]
8,M:, .. 就 差不多 到 那 個 啊
9,F:, ... 你 [等 下 要 幫 我 拿去 丟嗎]
10,M:, [等 下 拿 回去 宿舍]
10,M:, .. 拿 回去 宿舍 丟
11,F:, .. 好
11,F:, .. <L3 感 謝 L3>
12,M:, ... 那 就 差不多 到 那 個
12,M:, ... 就
12,M:, .. 快 到 那 個 圓環 啊
13,F:, ... 喔
13,F:, ... [[哪 一 個]] 圓環
14,M:, [[XX]]
14,M:, .. 快 到 康寧 護校 那 個 圓環
15,F:, .. ha
15,F:, .. 什麼
15,F:, ... 好 遠 喔
16,M:, .. 那 很 遠 啊
16,M:, .. 超 遠 的 啊
17,F:, ... 真的
18,M:, .. 從 我們 家 去 [要]
19,F:, [我] 大概 知道 是 哪 個 圓環 了
20,M:, .. 從 我們 家 去 要
20,M:, ... 一 個 shi -
20,M:, ... 一 個 多 小時 吧
20,M:, ... 我 上次 騎 一 個 多 小時
21,F:, .. 因為 我 之前 好像 也 有 在 那 個 圓環 附近 的 診所 面試 ＠＠＠＠
22,M:, ... 那 附近 有 那麼 多 診所 喔
23,F:, ... 有 一 間 啊
23,F:, .. 然後 康寧 護校 自己 就是 有 康寧 醫院 啊
24,M:, ... um 對 對 [[對]]
25,F:, [[對]] 啊
26,M:, ... 可是 康寧 護校 在 那 個
27,F:, ... 可是 護校 跟 醫院 有 一 段 [距離]
28,M:, [對 啊]
29,F:, .. 對
30,M:, ... 不是 在 捷運站 下來 那 邊
30,M:, ... um 這 還 不 錯
30,M:, ... <X 你 昨天 有 失眠 喔 X >
31,F:, ... 你 可以 去 看 這 個
31,F:, .. 快 結束 了
32,M:, ... 你 要 去 看 那 個 嗎
33,F:, .. 沒有
33,F:, .. 我 已經 去 看 完 了
34,M:, .. 喔 可是 我 看 過 了
35,F:, ... 你 看 過 囉
36,M:, .. um
36,M:, ... 你 要 去 看 那 個
36,M:, .. 梵谷 嗎
37,F:, ... 還 在 考慮 耶
37,F:, ... 我 覺得 人 可能 會 很多
38,M:, .. 因為 才 展 幾 天 而已
39,F:, ... TSK
39,F:, .. 對 啊
39,F:, ... 有 點 猶豫
39,F:, ... 不 覺得 人 很多 的 時候 都
39,F:, ... 沒有 很 好看
40,M:, .. 對 啊
40,M:, .. 所以 就是
40,M:, .. 就是 想 說 什麼 時[[候 去 看]]
41,F:, [[因為 上]]次 那 個
41,F:, .. 那 個 甚麼
41,F:, .. 龐畢度 的 時候
41,F:, ... 人 就 超多 的
41,F:, ... 就 覺得 很 難看
42,M:, ... 所以 我 在 想 說 甚麼 時候 去 看 皮克斯 啊
42,M:, .. 感覺 再 過去
42,M:, .. 應該 人 會 更 多
43,F:, ... 對 啊
43,F:, ... TSK
43,F:, .. 可是 沒 辦法 我 只有 假日 可以
44,M:, .. 高雄人 都 看完 了
45,F:, ... ho
45,F:, ... 一 整 個 就 覺得 很 煩＠
46,M:, .. ei
46,M:, .. 那 所以 你 弟 現在 在 哪裡
47,F:, ... 我 弟 喔
47,F:, ... 不要 問 我
47,F:, ... 對不起 我 腦袋 已經 塞 不 下 這麼 多 東西 了 ＠＠
47,F:, ... 我 真的
47,F:, .. 應該 在 立德 啦
48,M:, ... 立德 喔
49,F:, .. 對 啊
50,M:, ... 技術 學院 喔
51,F:, .. 好
51,F:, .. 好像 是 吧
52,M:, ... 唸 什麼
53,F:, ... 日文 啊
54,M:, ... 日文
55,F:, .. 對 呀
55,F:, ... 你 也 知道 我 弟 不 愛 唸書
56,M:, ... 對 呀
57,F:, .. 對
57,F:, .. 之前 我 爸 一直 叫 他 轉學
58,M:, .. [X X]
59,F:, [因為 感]覺 他們 學校 快 倒 了
60,M:, .. 對 啊
61,F:, .. 對 啊
62,M:, .. @@ 
63,F:, ... 對 啊
64,M:, .. 你 弟 幹嘛 跑 去 唸 立德 啊
65,F:, ... 我 不 知道 啊
65,F:, ... TSK
65,F:, .. 就是 不 愛 唸書 嘛
66,M:, ... 有 到 這種 程度 喔
67,F:, .. 有 啊
67,F:, .. 真的 有 好不好
68,M:, ... 喔
69,F:, ... 對 啊
69,F:, ... 嘖
69,F:, .. 很 慘
70,M:, ... 可是 至少 離 你們 家 很 近 @
71,F:, .. 但 我 還是 覺得 滿慘 的
71,F:, ... 就 完全 不 知道 他 出來 要 幹嘛
71,F:, .. @
72,M:, ... 當 宅宅 啊
72,M:, ... 不 錯
73,F:, .. 靠
74,M:, .. @@@[[=]]
75,F:, [[當 什麼]] 宅宅
76,M:, .. 唸 日文系 出來 可以 當
77,F:, ... 我 覺得 他 可以 去 摩斯 打工 就 不錯 了 @@@
78,M:, .. @
79,F:, ... 以後 就 靠 他 了
80,M:, ... 什麼 鬼
81,F:, .. @@@[=]
82,M:, [@]
83,F:, ... 還 不錯 啊
83,F:, .. 摩斯 打工
83,F:, ... 打 到 正職
83,F:, .. 就 至少 比 沒 工作 好 啊
84,M:, .. 那
84,M:, .. 我 想 吃 茹絲葵
84,M:, .. 可以 去 茹絲葵 打工 嗎
85,F:, .. TSK
85,F:, .. 恐怕 沒 辦法
85,F:, .. 你 知道 我 弟 很 嬌小
85,F:, .. 茹絲葵 盤子 可能 太 重
86,M:, .. 那 挑 個 好 日本 餐廳
87,F:, .. 啊 日本 餐廳 還 不 錯
87,F:, .. 盤子 不 會 太 重
88,M:, ... 對 啊
89,F:, ... <L3 袂 歹喔 ( (不 壞 喔) ) L3>
89,F:, .. ei 之前 我 跟 我 同學 去 吃 一家 叫
89,F:, ... 隆
90,M:, ... 在 哪裡 啊
91,F:, .. 隆起 的 隆
92,M:, .. [[恩]]
93,F:, [[在]] 九條通 那裡
94,M:, ... huh
95,F:, .. 林森北路 那裡
95,F:, ... @@
95,F:, ... 那 邊 很多 都 是 那種 就是
95,F:, .. 叫 小姐 陪 的 那種 店
95,F:, .. 然後 還 有 跟 一些 日本 料理
96,M:, .. 喔 原來 那邊 就 叫 九條通
97,F:, .. 對
98,M:, .. 喔
98,M:, .. 是 是 是
99,F:, ... 還 滿 好吃 的
99,F:, ... 日本 料理店
99,F:, .. 他 是 日本 料理店 不 是 陪 小姐 的 那 種
100,M:, .. 真的 ho[@@@]
101,F:, [真的 啦]
102,M:, .. @ 我 很 懷疑
103,F:, .. 我 去 [[叫 陪 小姐 幹麻 啊 @@]]
104,M:, [[@@@]]
105,F:, .. 甯翔毫
106,M:, .. 你 怎麼 知道
106,M:, ... 妳們
106,M:, .. 診
106,M:, .. TSK
106,M:, .. 診所
106,M:, ... [[[主管 都]]] 灌 人家 酒
107,F:, [[[怎樣]]]
108,M:, ...
108,M:, .. 這種 診所
108,M:, .. 上樑 不 正 下樑 歪 不 是
109,F:, .. 靠
110,M:, .. @@@=
111,F:, ... 今天
111,F:, .. 好 啦
111,F:, .. [總而言之 就 是 一 間]
112,M:, [跑 到 那裡 去]
113,F:, .. 不錯 的 日本 [[料理]]
114,M:, [[跑 到 那裡]] 去 吃
115,F:, ... 對 啊
116,M:, .. 很 遠 耶
117,F:, ... 就 在 中山站 那裡 啊
118,M:, .. 中山站
119,F:, ... 哪 會 很 遠 啊
120,M:, ... um
121,F:, ... 林森[北路]
122,M:, [我 知道] 我 知道 啊
122,M:, ... 我 沒有 看過
122,M:, ... 就 在 新興百貨 那裡
123,F:, ... um 我 不 知道 在 哪 個 百貨 附近
123,F:, .. 反正 就
124,M:, .. 就 是 有 一 個 很 大 的 公園
125,F:, ... um 好像 過 了 那 個 公園
126,M:, .. 對 啊
127,F:, .. 對 啊
127,F:, .. [[還 不 錯]]
128,M:, [[過 去]] 就是 新興百貨
129,F:, .. 是 喔 然後 之前 我 同學 本來
129,F:, ... 就是
129,F:, ... 原本 是 要 去 吃 瞞著爹
129,F:, ... 可是 我 同學 [訂] 不 到 位
130,M:, [喔]
130,M:, ... 那 間 我 好像 聽過
131,F:, ... 對 啊
131,F:, .. 因為 他 才 四 個 位子 而已
131,F:, ... 瞞著爹 才 四 個 位子 而已
131,F:, ... 他 只是 [[一 間]]
132,M:, [[是 吃]] 那 個
132,M:, ... 壽司 啊
133,F:, ... 就 日本 [[[料理店 啊]]]
134,M:, [[[在 師大]]] 那邊 對不對
135,F:, .. 對 對 對 對 對
135,F:, ... 他 是 吃 那 個 生yu -
135,F:, .. 那 個
135,F:, .. 握壽司 的
136,M:, .. 那 為什麼 不 去 吃 游壽司
137,F:, ... 有 去 吃 啊
137,F:, .. 之前 就 去 吃 [過] 了 啊
138,M:, [喔]
138,M:, ... 瞞著爹 好像 很 好吃
139,F:, .. [[游壽]]司 也 不 錯 啦
140,M:, [[ <X 看 起 來X > ]]
141,M:, ... um
142,F:, ... 對 啊
143,M:, .. 我 那 天 就 跑去 吃 那 個 <L4 Yu Sushi L4> 斜 對面 的
144,F:, .. 那 什麼
145,M:, ... 那 什麼 花知道 的
146,F:, .. [花知道]
147,M:, [因為
147,M:, .. 因] 那 個 主廚 是 我
147,M:, ... 同學 的 室友
148,F:, ... 是 喔
149,M:, ... 所以 每次 去 都 有 <L3 special L3>
150,F:, ... 真的 喔
150,F:, .. 這麼 爽
150,F:, ... 那 甚麼 時候 可以 跟 你 一起 去 吃 [[@@@=]]
151,M:, [[@@=]]
152,F:, .. 快 點
152,F:, ... 手機 拿來
152,F:, ... 我 看 一下 我 的 <3 schedule L3>
153,M:, ... 最好 是 有空 啦
154,F:, .. 喔
155,M:, ... 然後 他 每天 都 XXX
156,F:, .. 那 他 開 到 從 幾點 開 到 幾點
157,M:, ... <X 我 在 想 X>
157,M:, .. 吃 下
157,M:, ... 吃
157,M:, .. 就 吃 中午 跟 晚上
158,F:, ... 喔
158,F:, .. 叫 甚麼
158,F:, .. 花知道 喔
159,M:, .. um
160,F:, .. 哪 一 個 花 啊
160,F:, ... <L3 flower L3> 的 [[[花 喔]]]
161,M:, [[[對 啊]]]
161,M:, ... 知道 啊
162,F:, ... 哪 一 個 知
162,F:, ... 這 個 之
163,M:, ... 就 知道 的 知道 啊
164,F:, .. 喔 知道
164,F:, ... 喔
164,F:, .. 好
165,M:, .. 就 斜
165,M:, .. 就 在
165,M:, .. 那 個
165,M:, .. 斜
165,M:, .. 斜 對面 的 巷子 裡
166,F:, ... 好
166,F:, ... 去 查 一下
166,F:, .. 是 吃 甚麼 的
166,F:, .. 日本 料理 喔
167,F:, .. 要不然 le
168,M:, ... 就
168,M:, .. [西餐]
169,F:, [複合 式]
170,M:, ... [[西餐]]
171,F:, [[喔]]
172,M:, .. 西餐 還有 那些
173,F:, ... 好
173,F:, .. 好
173,F:, ... 去 查 一下
174,M:, ... TSK
175,F:, ... 怎樣 啦
176,M:, .. 沒有
177,F:, ... 好 想 吃 日本 料理 喔
178,M:, ... 日本 料理
178,M:, ... 去 吃 那間
178,M:, ... 握
178,M:, .. 那 個 握壽司 吃 到 飽 啊
178,M:, ... 在 那 個
179,F:, ... 我 覺得
179,F:, .. 好 吃 嗎
180,M:, ... 還 可以
180,M:, .. 可是 聽說 三燔 好像 更 好吃
181,F:, ... 哪
181,F:, .. 哪裡
182,M:, ... 就 在 一零一 裡面 啊
183,F:, ... 喔
184,M:, ... 一 個 人 好像
184,M:, ... 六百八 吧
185,F:, ... 喔
185,F:, ... 還好
186,M:, ... 對 啊
187,F:, .. um
188,M:, .. um
188,M:, .. 握壽司 吃 到 飽
188,M:, .. 差 不多 那 個 價錢
189,F:, ... 六百八 還 好
190,M:, ... XX XXX
191,F:, ... 我 上次 跟 我 同學 去 吃 那間 隆
191,F:, ... 我們 兩 個 人 就 吃 了 兩千五
191,F:, ... 而且 還是 宵夜 喔
192,M:, .. @
193,F:, .. @@
193,F:, .. @@
194,M:, .. @
194,M:, .. 吃 瞞著爹 還 比較 省錢
195,F:, .. ha
196,M:, .. 瞞著爹 才
197,F:, .. 對
197,F:, .. 瞞著爹 大概 七八[百]
198,M:, [七]八百
199,F:, .. 一 個 人 七百 多 而已
199,F:, .. 對
200,M:, .. 還 不如 去 吃 竹壽司
201,F:, ... 好 熟
201,F:, .. 好 熟悉 的 名字 喔
202,M:, ... 在 景美 那邊 啊
203,F:, ... 竹壽司
203,F:, ... 景美 有 點 麻煩
203,F:, ... 還是 去 瞞著爹 好 了
204,M:, ... 對 啊
204,M:, .. [[和平東路 一直]] 走 就 到 了
205,F:, [[比較 方便]]
206,M:, .. 對 啊
207,M:, ... 我 也 還 沒 去 過 耶
207,M:, .. 是不是 在 那 個
207,M:, ... 小 巷子 裡面 啊
208,F:, .. 我 不 知道
208,F:, ... 我 只有 看 那 個
208,F:, ... 就是
208,F:, .. 大家 的 blog 上面 寫 的
209,M:, ... 之前 看 到 的
210,F:, .. um
211,M:, .. 這 家 看起來 很 好吃
212,F:, .. um
212,F:, .. 沒錯
212,F:, ... 有 空 可以 訂位 一下
212,F:, ... 可是 他 好像 很 難 訂 耶
213,M:, ... 沒有
213,M:, .. 你 很 難 有 空
214,F:, ... 沒有
214,F:, .. 我 覺得 是 比較 難 訂
214,F:, ... 因為 他 那邊 才 四 個 位子 你 要 怎麼 訂 啊
215,M:, .. 台北
216,F:, ... 怎[樣]
217,M:, [還]好 吧
217,M:, .. 四 個 人
217,M:, ... 宋廚 都 訂 得 到 了
218,F:, ... 喔
219,M:, ... 宋廚 也 差不多 是
219,M:, .. 不 知道 是 四 個 人 還 八 個 人
220,F:, ... 是 喔
221,M:, ... 對 啊
221,M:, .. 然後 聽說 要 兩 個 月 前
222,F:, .. 喔
222,F:, ... 你 不 覺得 兩 個 月 前 很 麻煩 嗎
222,F:, ... 因為 有 太 多
222,F:, .. 就是 不 可 預期 的 事情
223,M:, .. 不會 啊
223,M:, .. 因為 每天 都 很 忙
223,M:, .. 所以 不 會 有 太 多 [[@@=]]
224,F:, [[@@@=]]
224,F:, .. 就是 一 天 只
224,F:, .. 就是 已 經 被 塞到 百分之 八十 了
225,M:, .. 對 對 對
225,M:, .. 所以 是 可以 預期 沒 那麼 忙
225,M:, .. 不 會 有
225,M:, .. 可以 預
225,M:, .. 預期
225,M:, .. 不 可 預期 的 事情 出現 這樣
226,F:, ... 喔 @@
227,M:, ... 對
228,F:, .. 好 啊
229,M:, ... 然後 還要
229,M:, .. 又 要 應付 那種
229,M:, .. 老闆
229,M:, ... 突然 出現 在 實驗室 說
229,M:, ... ei
229,M:, .. XX
229,M:, .. 你 怎麼 在
229,M:, ... 實驗室
229,M:, .. 去 我 辦公室 談 一下 這樣
230,F:, ... @@@=
231,M:, ... 真的 很 <L3 bei lan ( (爛) ) L3>
232,F:, ... 不錯 啊
232,F:, .. 代表 老闆 喜歡 你 啊
233,M:, ... 那 是 因為 我們 實驗室 新 來 一 個
233,M:, .. 泰國人
234,F:, ... ha
235,M:, .. 我們 實驗室 新 來 一 個
235,M:, ... 就是 po -
235,M:, ... [那 個 post doc]
236,F:, [我 以為 是 你 耶] @@=
237,M:, .. 就是 泰國人
237,M:, .. [[我 到 現在 還 不 會]]唸 他 的 名字
238,F:, [[@@@=]]
239,M:, .. [妳 知道 嗎]
240,F:, [@@@]
240,F:, .. 我 以為 是 你 老闆 覺得 你 是
240,F:, ... 實驗室 新來 的 泰國人
240,F:, ... 有 像 好不好 @@=
241,M:, .. @@=
241,M:, .. 是 像 在 哪 啊
242,F:, .. eh 我 今天
242,F:, .. 就是
242,F:, .. 我 最近 在 看 一 個 日劇
242,F:, .. 然後 他 就是
242,F:, .. 那 個
242,F:, ... 演 泰
242,F:, .. 日 混血兒
242,F:, .. 然後 在 日本
242,F:, .. 然後 他 就是
243,M:, .. 達比修友 就是 泰日 混血兒 好不好
244,F:, ... 不 知道 他 是 誰
244,F:, .. 好像 是 松本潤 演 的
245,M:, ... 然後 咧
246,F:, .. 然後
