Turn,Speaker,Utterance
1,F1:, .. 我 是 覺得
1,F1:, .. OK 啊
1,F1:, .. 因為 他們
1,F1:, ... 年紀 大
1,F1:, .. 所以 要 快 一 點
2,F2:, .. 我們 隔壁 也 是 啊
2,F2:, .. 有 一 個 三 個 月 了
3,F1:, ... 然後 呢
4,F2:, .. 沒有
4,F2:, .. 很 可愛
5,F1:, .. 你 說 小朋友 嗎
6,F2:, .. 對
7,F1:, .. 我 還 以為 有 人
7,F1:, .. [说 三 個 月]
8,F2:, [XX] 我 想 邀 他 過 來 賞月 呢
9,F1:, .. 那 他 有 哭 吧
10,F2:, .. 一定 的 啊
10,F2:, .. 平常 [[那麼 黏 <L3 阿媽 ( (外婆) ) L3> ]]
11,F1:, [[如果 你 邀 他 來 賞月]]
11,F1:, .. 他 一定 會 哭 吧
11,F1:, .. 因為 他 又 不 認識 妳
12,F2:, .. 住 在 隔壁
12,F2:, .. 怎麼 不 認識
12,F2:, .. 大家 是 鄰居
12,F2:, .. 不 要 那麼 見外
13,F1:, .. um
13,F1:, .. eh
13,F1:, .. 那 如果
13,F1:, .. 不 常 來 呢
14,F2:, .. 說 實在
14,F2:, .. 我 也 不 常 在 家[@@@]
15,F1:, [@@@]
15,F1:, .. 對 啊
15,F1:, .. 所以 我 覺得 還 好
16,F2:, .. 平常 <L3 阿媽 ( (外婆) ) L3> 帶
16,F2:, .. 比較 乖
16,F2:, .. 那天 <L3 阿媽 ( (外婆) ) L3> 走 了 之後
16,F2:, .. 去 溪頭 玩
16,F2:, .. 就
16,F2:, ... [[哭 得]]
17,F1:, [[溪頭]] 喔
17,F1:, .. [[[是 去]]] 洗 頭
17,F1:, .. 還 是 去 溪頭
18,F2:, [[[哭 得]]] 去 溪頭 玩 啦
18,F2:, .. 去 洗 頭
18,F2:, .. 去 溪頭 玩
19,F1:, .. 喔
20,F2:, .. 對
21,F1:, .. eh
21,F1:, .. 我 那天 怎麼 聽 成 洗 [洗 頭]
22,F2:, [不 是 洗 頭]
22,F2:, .. 是 去 溪頭 玩
22,F2:, .. 結果 <L3 阿媽 ( (外婆) ) L3>
22,F2:, .. 結果 那 小孩 就 一直 哭
23,F1:, .. 對 啊
23,F1:, .. 我 一直 以為 是 洗 頭
23,F1:, .. 我 想 說[[奇怪
23,F1:, .. 怎麼 洗 個 頭 需要]]
3,F1:, .. 哭 成 那 樣
24,F2:, [[不 是
24,F2:, ... 不 是]]
24,F2:, .. 不 是 不 是 不 是
24,F2:, ... 是 溪頭
25,F1:, .. @@@ 還好 啦
25,F1:, .. 那
26,F2:, .. um
27,F1:, .. 就
27,F1:, ... 沒 甚麼
27,F1:, ... 就
27,F1:, .. 你 昨天 跟 我 講 說
27,F1:, .. 那 個
27,F1:, ... 小 叮噹 的 磁鐵 還 缺 甚麼
27,F1:, .. Cambodia
28,F2:, .. 喔
28,F2:, .. 不 是
28,F2:, .. Cambodia 我 有 了
28,F2:, .. 我 還 多 呢
29,F1:, .. 要 不然 呢
30,F2:, .. 我
30,F2:, .. 缺 很 多 耶
30,F2:, ... 缺 埃及 的 啦
30,F2:, ... [除 了] 埃及
30,F2:, .. 你 那 邊 還 有 甚麼
31,F1:, [埃及]
31,F1:, ... 你
31,F1:, .. 你 要 講 啊
31,F1:, .. 因為
32,F2:, ... 埃及 的
32,F2:, ... 還 有
32,F2:, ... 有 墨西哥 嗎
33,F1:, ... 墨西哥
33,F1:, .. 有 吧
33,F1:, .. 有
33,F1:, .. 埃及 [[應該 也 有]]
34,F2:, [[ <X 埃及 我 就 沒 有 X> ]]
34,F2:, .. 我
34,F2:, .. 我 在 家 裡 的 有
34,F2:, .. 兩 個 台灣 的
35,F1:, .. um
36,F2:, .. 然後
36,F2:, .. 有
36,F2:, .. 俄羅斯
36,F2:, .. 有
36,F2:, ... 澳洲
36,F2:, .. 巴西
37,F1:, ... 就 一 個 一 個 嘛
38,F2:, .. 對
38,F2:, .. 都 一 個 一 個
38,F2:, .. 秘魯
38,F2:, .. 然後 智利 也 有
38,F2:, ... 其實 我 還 蠻 多 沒 有 的 啦
38,F2:, .. [甚麼 春] 夏 秋 冬
38,F2:, .. 甚麼 特別 版
38,F2:, .. 那 個 我 都 沒 有
39,F1:, [我 也 是 啊]
39,F1:, .. 如果 沒 有
39,F1:, .. 再 跟 別 人 <L3 A L3> 啊
40,F2:, .. 跟 他 小四 的 要 啊
40,F2:, .. [[他們]] 就 是
41,F1:, [[他們]] 春 夏 秋 冬 那 種 就 比較 少
41,F1:, .. 就 是 那 種
41,F1:, .. 隱藏 版
42,F2:, .. 沒關係
42,F2:, .. 我 先 把 那 個
42,F2:, .. 國家 的 收 齊
43,F1:, .. 可是 很 多 都
43,F1:, ... 像
43,F1:, .. 我 就 覺得 很 奇怪
43,F1:, ... 俄羅斯
