Turn,Speaker,Utterance
1,F1:, .. 今天 去 幫
1,F1:, ... 幫 妳 領 那 個
1,F1:, ... 今天 帶 皮皮 下去 啊
2,F2:, .. um
3,F1:, .. 結果 上來 啊
3,F1:, .. [然後]
4,F2:, [um]
3,F1:, ... 然後 就 順便 幫 妳 領 掛號 啊
4,F2:, .. um
5,F1:, .. 然後 又 手上 又 拿 了 兩
5,F1:, ... 就是
5,F1:, ... 就是 信
5,F1:, .. 就是 我們 信箱 裡面 有 兩張 東西 啊
6,F2:, .. um
7,F1:, ... 然後 我 我 不是 都 在 我
7,F1:, .. 我 都 會 在 電梯 裡面 幫 皮皮 綁
7,F1:, .. 因為
7,F1:, .. 剛好
8,F2:, .. 我 現在 都 不 敢 放 牠 跑 耶
8,F2:, .. 如果 我 帶 牠 下去
8,F2:, ... [[我 都 是 拉著]]牠 耶
9,F1:, [[會 我 會 讓 牠 跑]]
9,F1:, .. 要不然 牠 怎麼 大便
10,F2:, ... 我 就 拉著 牠
10,F2:, .. 到 草叢 那 邊 大 啊
11,F1:, .. 我 都 會 讓 牠 跑
11,F1:, ... 結果 尿 完
11,F1:, .. 我 就 會 像
11,F1:, .. 讓 牠 在 斜坡 那 邊
11,F1:, ... 牠 一定 都 會 在 斜坡 [那 邊] 尿 啊
12,F2:, [um]
11,F1:, .. 尿 完 然後 就
11,F1:, .. 把 牠 放開 了
11,F1:, ... 然後
11,F1:, ... 就是
11,F1:, .. 坐 電梯 的 時候 就 好像 有 一 個 從 地下室 坐 上來 的 吧
11,F1:, ... 那 有 母子 好像 三樓
13,F1:, .. [[就是 三樓 的]]
14,F2:, [[um]]
13,F1:, ... 就是
13,F1:, ... 從 也是
13,F1:, .. 他們 也是
13,F1:, ... 他們 是 在 一樓 坐
13,F1:, ... 我們 是 一起 坐 電梯 的
14,F2:, .. um
15,F1:, ... 然後進 去 原來 他們 三 個 都 是
15,F1:, .. 連 那 個 有 一 個 女的 [ < X 一 X > ]
16,F2:, [一起 的]
17,F1:, .. 對 他們 都 三樓 的
17,F1:, ... 然後 我 就 按 八樓 啊
17,F1:, .. 那 我 就 想 說
17,F1:, .. 啊
17,F1:, .. 他們 三樓
17,F1:, .. 要 我 要 趕快 [[把 皮皮綁 起來 要不然 牠等 一下]]
18,F2:, [[皮皮綁 起來 要不然 等 一下 跑 出去]]
17,F1:, .. 對 呀
17,F1:, ... 結果 蹲下 來綁
17,F1:, .. 喔現在 腳真 的 很 差
