Turn,Speaker,Utterance
1,F1:, 按 理講 是 應該 是 小孩 好好 的
1,F1:, ... 自己 z
1,F1:, ... 自己 工作 找 好
1,F1:, ... 好好 的
1,F1:, ... 去
2,F2:, .. 不 懂 [得 教育 啦]
3,F1:, [賺 錢吶]
4,F1:, .. 對 啊
4,F1:, .. 像 這樣 [[她 教]]育 失敗 了 啊
5,F2:, [[當 父母 親]]
6,F2:, ... 不 懂得 教育
6,F2:, .. 自己
6,F2:, ... 自己 甚麼 都 不 懂 啊
6,F2:, ... 那 那
6,F2:, ... 那
6,F2:, ... 能 幹
6,F2:, .. 會賺 錢
6,F2:, ... 然後 又 不 懂得 教育
6,F2:, .. 那 孩子 就
6,F2:, .. 就 就 就 就
7,F1:, .. 沒 出息 呀
8,F2:, .. 孩子
8,F2:, .. 覺得
8,F2:, .. 反正
8,F2:, ... 不 做 的 話
8,F2:, .. [也 有 錢]
9,F3:, [跟 你 講]
10,F3:, .. 好像 她 [[老公]]
11,F2:, [[有 飯 吃]]
12,F3:, .. 前 一 任 的 老公 好像
12,F3:, .. 沒
12,F3:, .. 管 她
13,F1:, ... hon 那 這樣 就是 說
13,F1:, .. 跟
13,F1:, ... 也 是 自己 生 的 啦hon
14,F3:, .. hm
14,F3:, ... 對
15,F2:, .. 她 國語 講 得 很 溜嘍
16,F3:, ... hm
16,F3:, ... 都 講國 語
17,F2:, .. 口 [音 聽 得 出來 嗎]
18,F1:, [那 可能 那 個] 外省人
18,F1:, ... 嫁 外省人 肯[[定]]
19,F3:, [[he]]
20,F2:, .. 口語 聽 得出 來嗎
20,F2:, ... [口 音]
21,F3:, [口 音] 喔
21,F3:, ... hm
22,F1:, .. 有 那 個 音調 啦
23,F3:, .. 對
24,F2:, ... 外國
25,F3:, .. 有 一
25,F3:, .. 一 種
25,F3:, ... 就是
26,F2:, ... 外國 口音
27,F3:, ... <L3 i
27,F3:, .. jid jid jiau3 jiau3 按 呢 ( (很 吱吱 喳喳 那 樣 的) ) L3>
27,F3:, .. 很 很
27,F3:, .. 嘰嘰 喳喳 的
28,F2:, ... 不是 啊 你 那 個
28,F2:, ... 音調 聽 得出 來嗎台
29,F3:, .. 聽 得 [出 來]
30,F2:, [台 灣] 人
30,F2:, .. 台灣人
30,F2:, ... 跟
31,F3:, .. 剛 開始 你 不 知道
32,F1:, .. 越南
33,F3:, .. 可是 聽久 了 會
33,F3:, .. 會
34,F2:, .. hm hm
35,F3:, .. [有 差] 啦
36,F2:, [對 對]
37,F2:, .. 對
37,F2:, ... 對
37,F2:, .. 台灣人 嫁給 外省人 的 那 種
37,F2:, .. 那 種音
37,F2:, ... 調
37,F2:, .. 她
37,F2:, .. 聽 起來 就是 台灣 口音
37,F2:, ... 那 外
37,F2:, .. 外國 的 就是 外國 口音
37,F2:, ... 東 南亞 的 東南 亞口 音
37,F2:, ... 聽 得 出來
38,F3:, ... ei
38,F3:, ... 好像
38,F3:, ... 以後
38,F3:, .. 可能
38,F3:, .. 那 種
38,F3:, ... 外勞 啊
38,F3:, ... 會
38,F3:, .. 比 我 們
38,F3:, .. 還優 越
38,F3:, ... 他
39,F2:, .. 哪 一方面
40,F3:, .. 過來 久 了 hon
40,F3:, .. 甚麼 都 會
40,F3:, .. 會
41,F1:, .. ei
41,F1:, .. [[他 們]]
42,F3:, [[甚麼]] 都 懂
42,F3:, .. 甚麼 都 [比] 我 們
43,F1:, [他]
44,F1:, .. 對 啊
44,F1:, .. 他們 有些
44,F1:, ... 會 做生意 的 真的 是
44,F1:, ... 有一手
45,F2:, ... 那
45,F2:, .. 自己 就要 多學 啊
45,F2:, ... 台灣
45,F2:, .. 那
45,F2:, .. 那
45,F2:, .. 對呀 很多 人
45,F2:, ... 甚麼 都 不 懂 甚麼 都 不 學 呀
45,F2:, .. 那 那
45,F2:, ... 那 水準 越 來 越 低落 啊
46,F1:, .. 不是 說
46,F1:, ... 甚麼 都 不 懂 甚麼 都 不 學 就是 他
46,F1:, .. 他們
46,F1:, ... 他們
46,F1:, .. 好像 比較 敢 啦
47,F2:, ... 不是 啦
47,F2:, .. 也 是 情勢 所 逼
48,F1:, ... 對 啦 <L3 heh1 lah 1 ( (對 啦) ) L3>
49,F2:, .. 人 到 [外 國] 去
49,F2:, ... 你 為 了 生存 你 就
49,F2:, .. 你 你 你
50,F1:, [也 是]
