Turn,Speaker,Utterance
1,M:, (0) 那 我 要 說 我 為什麼 我 今天 會 穿 這 樣子
1,M:, .. 因為 我 [本來]
2,F:, [好 啊]
3,M:, .. 我 本來
3,M:, .. 我 本來 打算
3,M:, .. ho 我 今天 哪=
4,F:, .. uh
5,M:, .. 我 就是 穿 制服 去 上班
6,F:, .. uh
7,M:, .. 然後 我 就是
7,M:, .. 因為 我 今天 班
7,M:, .. 我 今天 班 到 兩點
7,M:, .. 我 今天 又 是 六點 的 班到 兩點
8,F:, .. uh
9,M:, .. 然後 我 不 想 要 揹著 大 包 小 包 的 衣服
9,M:, .. 然後 去
9,M:, .. [然後 去] 公司 換 衣服
10,F:, [uh]
10,F:, ... uh
11,M:, .. 所以 我 今天 就 先 想 說
11,M:, .. 想 說 我 先 直接 穿 制服 [[上去]]
12,F:, [[你 坐 捷運 就 穿 制服]]
13,M:, .. 沒有 沒有
13,M:, .. 我 今天 坐
13,M:, .. 坐 那 個 公司 交通 車 呀
14,F:, .. [喔 喔 喔 喔 喔]
15,M:, [公司 交通 車 去 上班]
15,M:, .. 然後 我 想 說
15,M:, .. 我 今天 上 到 兩點 我 頂多 加班 到 三點
16,F :, .. m=
17,M:, .. 因為 我 現在 是 督導
17,M:, .. 所以 我 就是 要 看 視
17,M:, .. 看 視 現場 狀況
17,M:, .. 通常 都 會 加 一 個 小時
18,F:, .. m=
19,M:, .. 結果 今天 做 一 個 case 搞
19,M:, .. 導致 我 搞 到 四點 才 結束
20,F:, .. 從 幾點 開始 做 那 件 事
21,M:, ... 其實 我 開始 做 那 件 事 的 時候 已經 超過 我 下班 時間 了 [兩點 半]
22,F:, [no] 你 不 應該 接受 那 個 case
23,M:, .. 沒有 辦法 [[你 是 督導 啊]]
24,F:, [[@@=]]
25,M:, .. 你 不 能 拒絕 啊
26,F:, .. 所以 四點 才 可以 走 喔
27,M:, ... [四點 才 勉強 做 完]
28,F:, [四點
28,F:, ... 四點]
29,M:, .. 可是 我們 公司 的 交通 車 是 四點 十分
30,F:, .. 喔
31,M:, .. 然後 我 就是 趕不上 嘛
32,F:, .. 喔
33,M:, .. 然後 我 後來 一怒 之下 我 就 坐 客運 [回 台北 了]
34,F:, [@@@=]
34,F:, ... 沒有 塞車 嗎
35,M:, .. [[沒有 什麼 塞車]]
36,F:, [[才 四點 十分]]
37,M:, .. 可是
37,M:, .. 可是 我 到 台北 的 [時候 就 已經]
38,F:, [五點]
39,M:, .. 就是 我 Line 妳們 的 時間 啊
40,F:, .. 五點
41,M:, .. 五點 [多]
42,F:, [半]
43,M:, .. 五點
44,F:, .. 然後 你 再 回家 喔
45,M:, .. 五點 半
45,M:, .. 然後 五點 [四十 到 我 就 趕快] 坐 捷運 回家
46,F:, [喔
46,F:, .. XXXX]
47,M:, .. 然後 再 換 衣服
48,F:, ... 那 你 穿 那 個 捷運
48,F:, .. 坐
48,F:, .. 穿 那 個 坐 捷運 有沒有 很多 人 會 瞄 你
49,M:, .. 可是 我 不是 穿 完整 的
49,M:, .. 我 是 [穿
49,M:, .. 我 制服] 只有 穿 褲子 跟 襯衫
50,F:, [你 是 穿 外套]
51,M:, .. 然後 我 [[外面 加 一 個 外套]]
52,F:, [[襯衫 是]]
52,F:, .. 喔
53,M:, .. 藍色 那 件
54,F:, ... 記得 我 有 一次 坐 捷運 就是 看到 有人 穿 整套
54,F:, .. [就 一 開始] 只有 看到 黑色 的
55,M:, [是 可以]
56,F:, .. 然後 後來 有 發現
56,F:, .. 唔 好 藍 喔
57,M:, .. 對
58,F:, .. 然後 一直 看 他 的 制服
59,M:, .. 對 啊
59,M:, .. 是 可以 穿 整套 啦
59,M:, ... 只是 我
59,M:, .. 我 比較 不 會 穿 整套 欸
59,M:, .. 因為 我 [覺得]
60,F:, [為什麼]
60,F:, .. 他 不 會 要求 你們 穿 整套 喔
61,M:, ... 其實 基本上
61,M:, ... 我們 公司 沒有 規定 你 不 能 穿著 制服 在 外面 走
62,F:, ... 喔
62,F:, .. 不 能 [規定
62,F:, .. 欸]
63,M:, [有些 公司] 規定 你 不 能 穿 制服 [[在 外面 走
63,M:, .. 像 我 記得 我 哥]] 他們 長榮 就是
64,F:, [[喔 喔]]
65,M:, .. 他們 長榮 就是
