Turn,Speaker,Utterance
1,F:, .. 而且 我 發覺 啊
1,F:, .. 現在 不是 都 有 很多 部落客 在 寫 [那種]
2,M:, [嗯]
1,F:, .. 什麼 推薦 文 啊
1,F:, .. 什麼 的
3,F:, .. 他們 那些 人 都
3,F:, ... 都 不約而同 會 同時
3,F:, ... 就是 大概 那 個 時間 都 推薦 同 一 間 店
4,M:, .. mhm
5,F:, .. 就 大概 都 是 那些 店 同時間 [[找]] 他們
6,M:, [[對 啊]]
5,F:, ... 那 個 嗎
6,M:, ... 差不多
7,F:, .. 可是 有人 會 因為 這樣
7,F:, .. 就 真的 去 買 去 那 個
8,M:, .. 會 啊
8,M:, ... 不然 為什麼 那些 部落客 那麼 紅
9,F:, ... 好
9,F:, .. 好 無聊
9,F:, ... 可是 那 畢竟
9,F:, ... 不 是 真實 的 生活
9,F:, .. 真實 的 生活 根本 不 會 那麼樣 啊
10,M:, ... mhm
11,F:, .. 我 不 是 跟 你 說 我 跟 小氣鬼 討論過 那 話題
11,F:, .. 就 說 這些 部落客 到底 平常 都 在 幹 嘛
11,F:, ... 有的 那 樣子 每天 出
11,F:, .. 出去 吃 喝 玩 樂
11,F:, ... uh 歐洲 的 遊記 也 可以 寫
11,F:, ... 日本 的 也 能 寫
11,F:, ... 然後 東南亞 的 也 寫
11,F:, .. 台灣 的 也 寫
11,F:, .. 所有 的 飯店 什麼 她們 都 住過 了
12,M:, .. mhm
13,F:, .. 對 啊
13,F:, ... 她 老公 不 知道 到底 在 幹 嘛
14,M:, .. @
15,F:, .. 或是 她 本身 到底 在 幹 嘛
16,M:, ... 問號
17,F:, .. 都 不用 賺錢 都 不用 生活 了
17,F:, .. 也 都 不用 那 個 嗎
18,M:, .. 沒有 [啊]
19,F:, [都] 沒有 現實 的 考量 嗎
20,M:, .. 偶爾 一定 都 會 有 這 種 人 啦
20,M:, ... 可是 那 不 代表
20,M:, ... 大多數 的 人
20,M:, ... 對 啊
21,F:, ... 可是 應該 也 不 會 去 羨慕 才 對 啊
22,M:, ... 妳 看起來 很 羨慕 @@
23,F:, ... 可是 那
23,F:, .. 我 覺得 實際 上
23,F:, .. 應該 不 會 是 這樣
24,M:, .. 沒有 啊
24,M:, .. 妳 自己
24,M:, .. 現在 沒辦法 那樣
24,M:, .. 所以 妳 會 很 羨慕
25,F:, .. 是 這樣 嗎
26,M:, .. 可是 妳 自己 是 那 樣子 的 時候 妳 就 覺得 沒有 什麼
27,F:, ... mhm
28,M:, ... 譬如 說 什麼
28,M:, .. 我們 去
28,M:, .. 去 義大利 那 領隊
28,M:, ... 去 義大利 已經 去 到 爛掉 了
29,F:, .. 對 啊
29,F:, .. 什麼 地方 對 他 來說 [[都 覺得 一 樣]]
30,M:, [[對 啊]]
30,M:, ... 跑來跑去 那
30,M:, .. 對 他 來說 都 沒有 什麼
30,M:, .. 還 重遊 義大利 <L3 lei L3>
31,F:, .. @@@
32,M:, .. 他 可能 想到 都 已經
32,M:, .. 喔
32,M:, .. 下次 來到 這裡 的 時候 然後 要 講 什麼 幹嘛 嗯嗯
32,M:, .. [稿子 都 背 得 一清二楚]
33,F:, [沒有 你 看
33,F:, .. 對 他 來說] 那 是 他 的 工作
34,M:, .. 對 啊
35,F:, .. 然後 例行性 的 就是
36,M:, ... [[對 啊]]
37,F:, [[就是 這樣子]]
37,F:, ... 他 可能 今天 到 這裡
37,F:, ... 就 講 這樣 的 話
37,F:, ... 到 這邊
37,F:, .. 就 [換 這樣 介紹]
38,M:, [對 啊]
37,F:, .. 對 他 來說 沒有 特別 的
37,F:, ... 那 個
39,F:, ... 可是 我們
