"","Turn","Speaker","Utterance","TurnSeq","IUSeq"
"1",1,"M:"," (.) 在 美容院",1,1
"2",1,"M:"," (.) 在 美容 公司 上班",1,2
"3",2,"F:"," (...) 喔",2,3
"4",3,"M:"," (...) 內湖",3,4
"5",4,"F:"," (...) [很] 遠 嗎",4,5
"6",5,"M:"," [ch -]",5,6
"7",5,"M:"," (...) 超 遠",5,7
"8",6,"F:"," (...) 在 哪",6,8
"9",6,"F:"," (...) 你 等 [2下2] 要 拿去 丟 嗎",6,9
"10",7,"M:"," [2就2]",7,10
"11",8,"M:"," (.) 就 差不多 到 那 個 啊",8,11
"12",9,"F:"," (...) 你 [等 下 要 幫 我 拿去 丟嗎]",9,12
"13",10,"M:"," [等 下 拿 回去 宿舍]",10,13
"14",10,"M:"," (.) 拿 回去 宿舍 丟",10,14
"15",11,"F:"," (.) 好",11,15
"16",11,"F:"," (.) <L3 感 謝 L3>",11,16
"17",12,"M:"," (...) 那 就 差不多 到 那 個",12,17
"18",12,"M:"," (...) 就",12,18
"19",12,"M:"," (.) 快 到 那 個 圓環 啊",12,19
"20",13,"F:"," (...) 喔",13,20
"21",13,"F:"," (...) [2哪 一 個2] 圓環",13,21
"22",14,"M:"," [2##2]",14,22
"23",14,"M:"," (.) 快 到 康寧 護校 那 個 圓環",14,23
"24",15,"F:"," (.) ha",15,24
"25",15,"F:"," (.) 什麼",15,25
"26",15,"F:"," (...) 好 遠 喔",15,26
"27",16,"M:"," (.) 那 很 遠 啊",16,27
"28",16,"M:"," (.) 超 遠 的 啊",16,28
"29",17,"F:"," (...) 真的",17,29
"30",18,"M:"," (.) 從 我們 家 去 [要]",18,30
"31",19,"F:"," [我] 大概 知道 是 哪 個 圓環 了",19,31
"32",20,"M:"," (.) 從 我們 家 去 要",20,32
"33",20,"M:"," (...) 一 個 shi -",20,33
"34",20,"M:"," (...) 一 個 多 小時 吧",20,34
"35",20,"M:"," (...) 我 上次 騎 一 個 多 小時",20,35
"36",21,"F:"," (.) 因為 我 之前 好像 也 有 在 那 個 圓環 附近 的 診所 面試 ＠＠＠＠",21,36
"37",22,"M:"," (...) 那 附近 有 那麼 多 診所 喔",22,37
"38",23,"F:"," (...) 有 一 間 啊",23,38
"39",23,"F:"," (.) 然後 康寧 護校 自己 就是 有 康寧 醫院 啊",23,39
"40",24,"M:"," (...) um 對 對 [2對2]",24,40
"41",25,"F:"," [2對2] 啊",25,41
"42",26,"M:"," (...) 可是 康寧 護校 在 那 個",26,42
"43",27,"F:"," (...) 可是 護校 跟 醫院 有 一 段 [距離]",27,43
"44",28,"M:"," [對 啊]",28,44
"45",29,"F:"," (.) 對",29,45
"46",30,"M:"," (...) 不是 在 捷運站 下來 那邊",30,46
"47",30,"M:"," (...) um 這 還 不錯",30,47
"48",30,"M:"," (...) <# 你 昨天 有 失眠 喔 # >",30,48
"49",31,"F:"," (...) 你 可以 去 看 這 個",31,49
"50",31,"F:"," (.) 快 結束 了",31,50
"51",32,"M:"," (...) 你 要 去 看 那 個 嗎",32,51
"52",33,"F:"," (.) 沒有",33,52
"53",33,"F:"," (.) 我 已經 去 看 完 了",33,53
"54",34,"M:"," (.) 喔 可是 我 看 過 了",34,54
"55",35,"F:"," (...) 你 看 過 囉",35,55
"56",36,"M:"," (.) um",36,56
"57",36,"M:"," (...) 你 要 去 看 那 個",36,57
"58",36,"M:"," (.) 梵谷 嗎",36,58
"59",37,"F:"," (...) 還 在 考慮 耶",37,59
"60",37,"F:"," (...) 我 覺得 人 可能 會 很多",37,60
"61",38,"M:"," (.) 因為 才 展 幾 天 而已",38,61
"62",39,"F:"," (...) TSK",39,62
"63",39,"F:"," (.) 對 啊",39,63
"64",39,"F:"," (...) 有 點 猶豫",39,64
"65",39,"F:"," (...) 不 覺得 人 很多 的 時候 都",39,65
"66",39,"F:"," (...) 沒有 很 好看",39,66
"67",40,"M:"," (.) 對 啊",40,67
"68",40,"M:"," (.) 所以 就是",40,68
"69",40,"M:"," (.) 就是 想 說 什麼 時[2候 去 看2]",40,69
"70",41,"F:"," [2因為 上2]次 那 個",41,70
"71",41,"F:"," (.) 那 個 甚麼",41,71
"72",41,"F:"," (.) 龐畢度 的 時候",41,72
"73",41,"F:"," (...) 人 就 超多 的",41,73
"74",41,"F:"," (...) 就 覺得 很 難看",41,74
"75",42,"M:"," (...) 所以 我 在 想 說 甚麼 時候 去 看 皮克斯 啊",42,75
"76",42,"M:"," (.) 感覺 再 過去",42,76
"77",42,"M:"," (.) 應該 人 會 更 多",42,77
"78",43,"F:"," (...) 對 啊",43,78
"79",43,"F:"," (...) TSK",43,79
"80",43,"F:"," (.) 可是 沒 辦法 我 只有 假日 可以",43,80
"81",44,"M:"," (.) 高雄人 都 看完 了",44,81
"82",45,"F:"," (...) ho",45,82
"83",45,"F:"," (...) 一 整 個 就 覺得 很 煩 ＠",45,83
"84",46,"M:"," (.) ei",46,84
"85",46,"M:"," (.) 那 所以 你 弟 現在 在 哪裡",46,85
"86",47,"F:"," (...) 我 弟 喔",47,86
"87",47,"F:"," (...) 不要 問 我",47,87
"88",47,"F:"," (...) 對不起 我 腦袋 已經 塞 不 下 這麼 多 東西 了 ＠＠",47,88
"89",47,"F:"," (...) 我 真的",47,89
"90",47,"F:"," (.) 應該 在 立德 啦",47,90
"91",48,"M:"," (...) 立德 喔",48,91
"92",49,"F:"," (.) 對 啊",49,92
"93",50,"M:"," (...) 技術 學院 喔",50,93
"94",51,"F:"," (.) 好",51,94
"95",51,"F:"," (.) 好像 是 吧",51,95
"96",52,"M:"," (...) 唸 什麼",52,96
"97",53,"F:"," (...) 日文 啊",53,97
"98",54,"M:"," (...) 日文",54,98
"99",55,"F:"," (.) 對 呀",55,99
"100",55,"F:"," (...) 你 也 知道 我 弟 不 愛 唸書",55,100
"101",56,"M:"," (...) 對 呀",56,101
"102",57,"F:"," (.) 對",57,102
"103",57,"F:"," (.) 之前 我 爸 一直 叫 他 轉學",57,103
"104",58,"M:"," (.) [##]",58,104
"105",59,"F:"," [因為 感]覺 他們 學校 快 倒 了",59,105
"106",60,"M:"," (.) 對 啊",60,106
"107",61,"F:"," (.) 對 啊",61,107
"108",62,"M:"," (.) @@",62,108
"109",63,"F:"," (...) 對 啊",63,109
"110",64,"M:"," (.) 你 弟 幹嘛 跑 去 唸 立德 啊",64,110
"111",65,"F:"," (...) 我 不 知道 啊",65,111
"112",65,"F:"," (...) TSK",65,112
"113",65,"F:"," (.) 就是 不 愛 唸書 嘛",65,113
"114",66,"M:"," (...) 有 到 這 種 程度 喔",66,114
"115",67,"F:"," (.) 有 啊",67,115
"116",67,"F:"," (.) 真的 有 好不好",67,116
"117",68,"M:"," (...) 喔",68,117
"118",69,"F:"," (...) 對 啊",69,118
"119",69,"F:"," (...) 嘖",69,119
"120",69,"F:"," (.) 很 慘",69,120
"121",70,"M:"," (...) 可是 至少 離 你們 家 很 近 @",70,121
"122",71,"F:"," (.) 但 我 還是 覺得 滿慘 的",71,122
"123",71,"F:"," (...) 就 完全 不 知道 他 出來 要 幹嘛",71,123
"124",71,"F:"," (.) @",71,124
"125",72,"M:"," (...) 當 宅宅 啊",72,125
"126",72,"M:"," (...) 不錯",72,126
"127",73,"F:"," (.) 靠",73,127
"128",74,"M:"," (.) @@@[2=2]",74,128
"129",75,"F:"," [2當 什麼2] 宅宅",75,129
"130",76,"M:"," (.) 唸 日文系 出來 可以 當",76,130
"131",77,"F:"," (...) 我 覺得 他 可以 去 摩斯 打工 就 不錯 了 @@@",77,131
"132",78,"M:"," (.) @",78,132
"133",79,"F:"," (...) 以後 就 靠 他 了",79,133
"134",80,"M:"," (...) 什麼 鬼",80,134
"135",81,"F:"," (.) @@@[=]",81,135
"136",82,"M:"," [@]",82,136
"137",83,"F:"," (...) 還 不錯 啊",83,137
"138",83,"F:"," (.) 摩斯 打工",83,138
"139",83,"F:"," (...) 打 到 正職",83,139
"140",83,"F:"," (.) 就 至少 比 沒 工作 好 啊",83,140
"141",84,"M:"," (.) 那",84,141
"142",84,"M:"," (.) 我 想 吃 茹絲葵",84,142
