"","Turn","Speaker","Utterance","TurnSeq","IUSeq"
"1",1,"F1:"," (.) 今天 去 幫",1,1
"2",1,"F1:"," (...) 幫 妳 領 那 個",1,2
"3",1,"F1:"," (...) 今天 帶 皮皮 下去 啊",1,3
"4",2,"F2:"," (.) um",2,4
"5",3,"F1:"," (.) 結果 上來 啊",3,5
"6",3,"F1:"," (.) [然後]",3,6
"7",4,"F2:"," [um]",4,7
"8",3,"F1:"," (...) 然後 就 順便 幫 妳 領 掛號 啊",3,8
"9",4,"F2:"," (.) um",4,9
"10",5,"F1:"," (.) 然後 又 手上 又 拿 了 兩",5,10
"11",5,"F1:"," (...) 就是",5,11
"12",5,"F1:"," (...) 就是 信",5,12
"13",5,"F1:"," (.) 就是 我們 信箱 裡面 有 兩 張 東西 啊",5,13
"14",6,"F2:"," (.) um",6,14
"15",7,"F1:"," (...) 然後 我 我 不是 都 在 我",7,15
"16",7,"F1:"," (.) 我 都 會 在 電梯 裡面 幫 皮皮 綁",7,16
"17",7,"F1:"," (.) 因為",7,17
"18",7,"F1:"," (.) 剛好",7,18
"19",8,"F2:"," (.) 我 現在 都 不 敢 放 牠 跑 耶",8,19
"20",8,"F2:"," (.) 如果 我 帶 牠 下去",8,20
"21",8,"F2:"," (...) [2我 都 是 拉著2] 牠 耶",8,21
"22",9,"F1:"," [2會 我 會 讓 牠 跑2]",9,22
"23",9,"F1:"," (.) 要不然 牠 怎麼 大便",9,23
"24",10,"F2:"," (...) 我 就 拉著 牠",10,24
"25",10,"F2:"," (.) 到 草叢 那邊 大 啊",10,25
"26",11,"F1:"," (.) 我 都 會 讓 牠 跑",11,26
"27",11,"F1:"," (...) 結果 尿完",11,27
"28",11,"F1:"," (.) 我 就 會 像",11,28
"29",11,"F1:"," (.) 讓 牠 在 斜坡 那邊",11,29
"30",11,"F1:"," (...) 牠 一定 都 會 在 斜坡 [那邊] 尿 啊",11,30
"31",12,"F2:"," [um]",12,31
"32",11,"F1:"," (.) 尿完 然後 就",11,32
"33",11,"F1:"," (.) 把 牠 放開 了",11,33
"34",11,"F1:"," (...) 然後",11,34
"35",11,"F1:"," (...) 就是",11,35
"36",11,"F1:"," (.) 坐 電梯 的 時候 就 好像 有 一 個 從 地下室 坐 上來 的 吧",11,36
"37",11,"F1:"," (...) 那 有 母子 好像 三樓",11,37
"38",13,"F1:"," (.) [2就是 三樓 的2]",13,38
"39",14,"F2:"," [2um2]",14,39
"40",13,"F1:"," (...) 就是",13,40
"41",13,"F1:"," (...) 從 也是",13,41
"42",13,"F1:"," (.) 他們 也是",13,42
"43",13,"F1:"," (...) 他們 是 在 一樓 坐",13,43
"44",13,"F1:"," (...) 我們 是 一起 坐 電梯 的",13,44
"45",14,"F2:"," (.) um",14,45
"46",15,"F1:"," (...) 然後 進去 原來 他們 三 個 都 是",15,46
"47",15,"F1:"," (.) 連 那 個 有 一 個 女 的 [ <# 一 #> ]",15,47
"48",16,"F2:"," [一起 的]",16,48
"49",17,"F1:"," (.) 對 他們 都 三樓 的",17,49
"50",17,"F1:"," (...) 然後 我 就 按 八樓 啊",17,50
"51",17,"F1:"," (.) 那 我 就 想 說",17,51
"52",17,"F1:"," (.) 啊",17,52
"53",17,"F1:"," (.) 他們 三樓",17,53
"54",17,"F1:"," (.) 要 我 要 趕快 [2把 皮皮 綁 起來 要不然 牠 等 一下2]",17,54
"55",18,"F2:"," [2皮皮 綁 起來 要不然 等 一下 跑 出去2]",18,55
"56",17,"F1:"," (.) 對 呀",17,56
"57",17,"F1:"," (...) 結果 蹲 下來 綁",17,57
"58",17,"F1:"," (.) 喔 現在 腳 真的 很 差",17,58
"59",18,"F2:"," (...) 很 酸 是不是",18,59
"60",19,"F1:"," (.) 不是",19,60
"61",19,"F1:"," (.) 蹲 下來 竟然 坐 在 地上",19,61
"62",19,"F1:"," (...) [@@ 很 糗 @@@]",19,62
"63",20,"F2:"," [@@@=]",20,63
"64",19,"F1:"," (...) 坐 在 地上 然後 竟然 爬 不 起來",19,64
"65",19,"F1:"," (.) 因為 我 手上 還 拿著 妳 的 包包 啊",19,65
"66",20,"F2:"," (.) @@ [2坐 在 地2]",20,66
"67",21,"F1:"," [2哇2]",21,67
"68",21,"F1:"," (.) 好 糗 喔",21,68
"69",21,"F1:"," (.) [在 電梯 裡面 出 糗]",21,69
"70",22,"F2:"," [那 怎麼 辦]",22,70
"71",23,"F1:"," (.) [2然後 三樓 那2] 個 我 又 認識 eh 妳 知道 嗎",23,71
"72",24,"F2:"," [2@@2]",24,72
"73",23,"F1:"," (.) 他們 就 <L3 diam diam a L3> 看 我 在 那",23,73
"74",23,"F1:"," (...) 坐在 地上",23,74
"75",23,"F1:"," (...) 喔",23,75
"76",25,"F1:"," (.) [超]",25,76
"77",26,"F2:"," [@@]",26,77
"78",25,"F1:"," (.) 糟糕 的",25,78
"79",26,"F2:"," (.) @@ 好好 笑 喔",26,79
"80",27,"F1:"," (.) 還 好好 笑 我 覺得 好 [2糗喔2]",27,80
"81",28,"F2:"," [2hon2]",28,81
"82",28,"F2:"," (...) 妳 知道 我 今天 跟 L 我 也是 覺得 很 誇張",28,82
"83",29,"F1:"," (.) um",29,83
"84",30,"F2:"," (.) 因為 今天 只有 我們 兩 個",30,84
"85",31,"F1:"," (.) um",31,85
"86",32,"F2:"," (.) 我們 兩 個 上 全班",32,86
"87",32,"F2:"," (...) 然後 早上 我",32,87
"88",32,"F2:"," (.) 因為 我 昨天 就 跟 她 講好 說 我 今天 會 幫 妳 買",32,88
"89",32,"F2:"," (...) 一 碗 [玉米] 濃湯",32,89
"90",33,"F1:"," [um]",33,90
"91",33,"F1:"," (.) um",33,91
"92",34,"F2:"," (.) 因為 我 發現",34,92
"93",34,"F2:"," (.) 就是",34,93
"94",34,"F2:"," (...) 空中 大學 那邊",34,94
"95",34,"F2:"," (...) [新]開 了 一 間 早餐店",34,95
"96",35,"F1:"," [um]",35,96
"97",36,"F2:"," (.) 他 玉米 濃湯 很 好[2喝2]",36,97
"98",37,"F1:"," [2玉米濃2]",37,98
"99",37,"F1:"," (.) <L3 li ((你)) L3>",37,99
"100",37,"F1:"," (.) 啊 那 妳",37,100
"101",37,"F1:"," (.) 沒有 在 那邊 下車 啊",37,101
"102",37,"F1:"," (.) 妳 怎麼",37,102
"103",38,"F2:"," (...) 我 就 會 坐",38,103
"104",38,"F2:"," (...) 坐",38,104
"105",38,"F2:"," (...) 空中 大學 中正路 那邊 也 有 站 吶",38,105
"106",39,"F1:"," (...) 中正 [路]",39,106
"107",40,"F2:"," [我 就]是",40,107
"108",40,"F2:"," (.) 我 不是",40,108
"109",40,"F2:"," (.) 我 沒有 在 總站 下車",40,109
"110",40,"F2:"," (.) [2我 會 在 空中 大學 下車 啊2]",40,110
"111",41,"F1:"," [2um 喔2]",41,111
"112",42,"F2:"," (.) 然後 就 因為 我 前天 喝 了 一 次",42,112
"113",42,"F2:"," (.) 我 覺得 [eh] 好喝 耶",42,113
"114",43,"F1:"," [um]",43,114
"115",43,"F1:"," (.) um",43,115
"116",44,"F2:"," (.) 然後 我 昨天 就 跟 L 講好 說",44,116
"117",44,"F2:"," (.) 明天 我們 兩 個 上 全班",44,117
"118",44,"F2:"," (.) 那 我 買",44,118
"119",44,"F2:"," (...) 我 買 一碗 那 個",44,119
"120",44,"F2:"," (...) 玉米 濃湯 去",44,120
"121",45,"F1:"," (.) um",45,121
"122",46,"F2:"," (...) 就是",46,122
"123",46,"F2:"," (.) 我",46,123
"124",46,"F2:"," (.) 我 幫 妳 買 一 碗",46,124
"125",46,"F2:"," (.) [我 說] 很 好喝",46,125
"126",47,"F1:"," [um]",47,126
"127",47,"F1:"," (.) um",47,127
"128",48,"F2:"," (.) 然後",48,128
"129",48,"F2:"," (...) 結果 我們 兩 個 就是",48,129
"130",48,"F2:"," (.) 明明 就 已經 要 吃 早餐 [2了2]",48,130
"131",49,"F1:"," [2um2]",49,131
"132",48,"F2:"," (.) 十一 點 多",48,132
"133",48,"F2:"," (.) 就 一些 雜事 都",48,133
"134",49,"F1:"," (.) um",49,134
"135",50,"F2:"," (.) 弄 好 了",50,135
"136",50,"F2:"," (.) 才 準備 要 吃",50,136
"137",51,"F1:"," (.) um",51,137
"138",52,"F2:"," (...) 就 開始 有 一",52,138
"139",52,"F2:"," (.) 就 一 組 客人",52,139
"140",53,"F1:"," (.) um",53,140
"141",54,"F2:"," (.) 哇",54,141
"142",54,"F2:"," (...) 弄 超久 的 啊",54,142
"143",55,"F1:"," (.) hon",55,143
"144",56,"F2:"," (.) 我們 很 餓 妳 知道 嗎",56,144
"145",57,"F1:"," (.) 那 結果 有 買 嗎",57,145
"146",58,"F2:"," (...) 有",58,146
"147",58,"F2:"," (.) 就 買 了 一 件 [吶]",58,147
"148",59,"F1:"," [啊] 還 OK 呀",59,148
"149",60,"F2:"," (...) 我們 大概 從 十一 點 多 弄 到 一點 多 耶",60,149
"150",61,"F1:"," (.) 怎麼 這樣",61,150
"151",62,"F2:"," (...) 就 他們 待 了 一 個 多 小時 啊",62,151
"152",63,"F1:"," (...) 啊 幾 個 人",63,152
"153",64,"F2:"," (.) 兩 個 啊",64,153
"154",64,"F2:"," (.) 就 買 了 一 件 啊",64,154
"155",65,"F1:"," (.) hon 時間 還 真 多 耶",65,155
"156",66,"F2:"," (...) 然後 我們 就 很 想 [2吃 妳 知道 嗎2]",66,156
"157",67,"F1:"," [2啊 不2] 就 都 涼 了",67,157
"158",68,"F2:"," (...) 冷 了 都 <L3 go ki [a] ((混 在 一起 啊)) L3>",68,158
"159",69,"F1:"," [對 啊]",69,159
"160",69,"F1:"," (.) 不 好喝 了",69,160
"161",70,"F2:"," (.) 然後 我 就 想 說",70,161
"162",70,"F2:"," (...) eh",70,162
"163",70,"F2:"," (...) 抽 到 什麼 獎",70,163
"164",71,"M:"," (...) 兩萬 塊",71,164
"165",72,"F2:"," (...) 兩萬 塊",72,165
"166",73,"F1:"," (.) 啊 結果 他",73,166
