"","TurnSeq","Speaker","Utterance","IUSeq"
"1",1,"M:"," (0) 那 我 要 說 我 為什麼 我 今天 會 穿 這 樣子",1
"2",1,"M:"," (.) 因為 我 [本來]",2
"3",2,"F:"," [好 啊]",3
"4",3,"M:"," (.) 我 本來",4
"5",3,"M:"," (.) 我 本來 打算",5
"6",3,"M:"," (.) ho 我 今天 哪=",6
"7",4,"F:"," (.) uh",7
"8",5,"M:"," (.) 我 就是 穿 制服 去 上班",8
"9",6,"F:"," (.) uh",9
"10",7,"M:"," (.) 然後 我 就是",10
"11",7,"M:"," (.) 因為 我 今天 班",11
"12",7,"M:"," (.) 我 今天 班 到 兩點",12
"13",7,"M:"," (.) 我 今天 又 是 六點 的 班 到 兩點",13
"14",8,"F:"," (.) uh",14
"15",9,"M:"," (.) 然後 我 不 想 要 揹著 大 包 小 包 的 衣服",15
"16",9,"M:"," (.) 然後 去",16
"17",9,"M:"," (.) [然後 去] 公司 換 衣服",17
"18",10,"F:"," [uh]",18
"19",10,"F:"," (...) uh",19
"20",11,"M:"," (.) 所以 我 今天 就 先 想 說",20
"21",11,"M:"," (.) 想 說 我 先 直接 穿 制服 [2上去2]",21
"22",12,"F:"," [2你 坐 捷運 就 穿 制服2]",22
"23",13,"M:"," (.) 沒有 沒有",23
"24",13,"M:"," (.) 我 今天 坐",24
"25",13,"M:"," (.) 坐 那 個 公司 交通 車 呀",25
"26",14,"F:"," (.) [喔 喔 喔 喔 喔]",26
"27",15,"M:"," [公司 交通 車 去 上班]",27
"28",15,"M:"," (.) 然後 我 想 說",28
"29",15,"M:"," (.) 我 今天 上 到 兩點 我 頂多 加班 到 三點",29
"30",16,"F :"," (.) m=",30
"31",17,"M:"," (.) 因為 我 現在 是 督導",31
"32",17,"M:"," (.) 所以 我 就是 要 看 視",32
"33",17,"M:"," (.) 看 視 現場 狀況",33
"34",17,"M:"," (.) 通常 都會 加 一 個 小時",34
"35",18,"F:"," (.) m=",35
"36",19,"M:"," (.) 結果 今天 做 一 個 <L3 case L3> 搞",36
"37",19,"M:"," (.) 導致 我 搞 到 四點 才 結束",37
"38",20,"F:"," (.) 從 幾點 開始 做 那 件 事",38
"39",21,"M:"," (...) 其實 我 開始 做 那 件 事 的 時候 已經 超過 我 下班 時間 了 [兩點 半]",39
"40",22,"F:"," [<L3 no L3>] 你 不 應該 接受 那 個 <L3 case l3>",40
"41",23,"M:"," (.) 沒有 辦法 [2你 是 督導 啊2]",41
"42",24,"F:"," [2@@=2]",42
"43",25,"M:"," (.) 你 不 能 拒絕 啊",43
"44",26,"F:"," (.) 所以 四點 才 可以 走 喔",44
"45",27,"M:"," (...) [四點 才 勉強 做 完]",45
"46",28,"F:"," [四點",46
"47",28,"F:"," (...) 四點]",47
"48",29,"M:"," (.) 可是 我們 公司 的 交通 車 是 四點 十分",48
"49",30,"F:"," (.) 喔",49
"50",31,"M:"," (.) 然後 我 就是 趕不上 嘛",50
"51",32,"F:"," (.) 喔",51
"52",33,"M:"," (.) 然後 我 後來 一怒 之下 我 就 坐 客運 [回 台北 了]",52
