filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM001-CN-FM.,1,1,M:,(.)
NCCU-TM001-CN-FM.,1,1,M:,在
NCCU-TM001-CN-FM.,1,1,M:,美容院
NCCU-TM001-CN-FM.,1,2,M:,(.)
NCCU-TM001-CN-FM.,1,2,M:,在
NCCU-TM001-CN-FM.,1,2,M:,美容
NCCU-TM001-CN-FM.,1,2,M:,公司
NCCU-TM001-CN-FM.,1,2,M:,上班
NCCU-TM001-CN-FM.,2,3,F:,(...)
NCCU-TM001-CN-FM.,2,3,F:,喔
NCCU-TM001-CN-FM.,3,4,M:,(...)
NCCU-TM001-CN-FM.,3,4,M:,內湖
NCCU-TM001-CN-FM.,4,5,F:,(...)
NCCU-TM001-CN-FM.,4,5,F:,[很]
NCCU-TM001-CN-FM.,4,5,F:,遠
NCCU-TM001-CN-FM.,4,5,F:,嗎
NCCU-TM001-CN-FM.,5,6,M:,[ch
NCCU-TM001-CN-FM.,5,6,M:,-]
NCCU-TM001-CN-FM.,5,7,M:,(...)
NCCU-TM001-CN-FM.,5,7,M:,超
NCCU-TM001-CN-FM.,5,7,M:,遠
NCCU-TM001-CN-FM.,6,8,F:,(...)
NCCU-TM001-CN-FM.,6,8,F:,在
NCCU-TM001-CN-FM.,6,8,F:,哪
NCCU-TM001-CN-FM.,6,9,F:,(...)
NCCU-TM001-CN-FM.,6,9,F:,你
NCCU-TM001-CN-FM.,6,9,F:,等
NCCU-TM001-CN-FM.,6,9,F:,[2下2]
NCCU-TM001-CN-FM.,6,9,F:,要
NCCU-TM001-CN-FM.,6,9,F:,拿去
NCCU-TM001-CN-FM.,6,9,F:,丟
NCCU-TM001-CN-FM.,6,9,F:,嗎
NCCU-TM001-CN-FM.,7,10,M:,[2就2]
NCCU-TM001-CN-FM.,8,11,M:,(.)
NCCU-TM001-CN-FM.,8,11,M:,就
NCCU-TM001-CN-FM.,8,11,M:,差不多
NCCU-TM001-CN-FM.,8,11,M:,到
NCCU-TM001-CN-FM.,8,11,M:,那
NCCU-TM001-CN-FM.,8,11,M:,個
NCCU-TM001-CN-FM.,8,11,M:,啊
NCCU-TM001-CN-FM.,9,12,F:,(...)
NCCU-TM001-CN-FM.,9,12,F:,你
NCCU-TM001-CN-FM.,9,12,F:,[等
NCCU-TM001-CN-FM.,9,12,F:,下
NCCU-TM001-CN-FM.,9,12,F:,要
NCCU-TM001-CN-FM.,9,12,F:,幫
NCCU-TM001-CN-FM.,9,12,F:,我
NCCU-TM001-CN-FM.,9,12,F:,拿去
NCCU-TM001-CN-FM.,9,12,F:,丟嗎]
NCCU-TM001-CN-FM.,10,13,M:,[等
NCCU-TM001-CN-FM.,10,13,M:,下
NCCU-TM001-CN-FM.,10,13,M:,拿
NCCU-TM001-CN-FM.,10,13,M:,回去
NCCU-TM001-CN-FM.,10,13,M:,宿舍]
NCCU-TM001-CN-FM.,10,14,M:,(.)
NCCU-TM001-CN-FM.,10,14,M:,拿
NCCU-TM001-CN-FM.,10,14,M:,回去
NCCU-TM001-CN-FM.,10,14,M:,宿舍
NCCU-TM001-CN-FM.,10,14,M:,丟
NCCU-TM001-CN-FM.,11,15,F:,(.)
NCCU-TM001-CN-FM.,11,15,F:,好
NCCU-TM001-CN-FM.,11,16,F:,(.)
NCCU-TM001-CN-FM.,11,16,F:,<L3
NCCU-TM001-CN-FM.,11,16,F:,感
NCCU-TM001-CN-FM.,11,16,F:,謝
NCCU-TM001-CN-FM.,11,16,F:,L3>
NCCU-TM001-CN-FM.,12,17,M:,(...)
NCCU-TM001-CN-FM.,12,17,M:,那
NCCU-TM001-CN-FM.,12,17,M:,就
NCCU-TM001-CN-FM.,12,17,M:,差不多
NCCU-TM001-CN-FM.,12,17,M:,到
NCCU-TM001-CN-FM.,12,17,M:,那
NCCU-TM001-CN-FM.,12,17,M:,個
NCCU-TM001-CN-FM.,12,18,M:,(...)
NCCU-TM001-CN-FM.,12,18,M:,就
NCCU-TM001-CN-FM.,12,19,M:,(.)
NCCU-TM001-CN-FM.,12,19,M:,快
NCCU-TM001-CN-FM.,12,19,M:,到
NCCU-TM001-CN-FM.,12,19,M:,那
NCCU-TM001-CN-FM.,12,19,M:,個
NCCU-TM001-CN-FM.,12,19,M:,圓環
NCCU-TM001-CN-FM.,12,19,M:,啊
NCCU-TM001-CN-FM.,13,20,F:,(...)
NCCU-TM001-CN-FM.,13,20,F:,喔
NCCU-TM001-CN-FM.,13,21,F:,(...)
NCCU-TM001-CN-FM.,13,21,F:,[2哪
NCCU-TM001-CN-FM.,13,21,F:,一
NCCU-TM001-CN-FM.,13,21,F:,個2]
NCCU-TM001-CN-FM.,13,21,F:,圓環
NCCU-TM001-CN-FM.,14,22,M:,[2##2]
NCCU-TM001-CN-FM.,14,23,M:,(.)
NCCU-TM001-CN-FM.,14,23,M:,快
NCCU-TM001-CN-FM.,14,23,M:,到
NCCU-TM001-CN-FM.,14,23,M:,康寧
NCCU-TM001-CN-FM.,14,23,M:,護校
NCCU-TM001-CN-FM.,14,23,M:,那
NCCU-TM001-CN-FM.,14,23,M:,個
NCCU-TM001-CN-FM.,14,23,M:,圓環
NCCU-TM001-CN-FM.,15,24,F:,(.)
NCCU-TM001-CN-FM.,15,24,F:,ha
NCCU-TM001-CN-FM.,15,25,F:,(.)
NCCU-TM001-CN-FM.,15,25,F:,什麼
NCCU-TM001-CN-FM.,15,26,F:,(...)
NCCU-TM001-CN-FM.,15,26,F:,好
NCCU-TM001-CN-FM.,15,26,F:,遠
