filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM009-CN-FFF.,1,1,F1:,反正
NCCU-TM009-CN-FFF.,1,1,F1:,就
NCCU-TM009-CN-FFF.,1,1,F1:,我
NCCU-TM009-CN-FFF.,1,1,F1:,覺得
NCCU-TM009-CN-FFF.,1,2,F1:,(.)
NCCU-TM009-CN-FFF.,1,2,F1:,喔
NCCU-TM009-CN-FFF.,1,2,F1:,就
NCCU-TM009-CN-FFF.,1,3,F1:,(.)
NCCU-TM009-CN-FFF.,1,3,F1:,現在
NCCU-TM009-CN-FFF.,1,3,F1:,小學生
NCCU-TM009-CN-FFF.,1,3,F1:,程度
NCCU-TM009-CN-FFF.,1,3,F1:,差
NCCU-TM009-CN-FFF.,1,4,F1:,(...)
NCCU-TM009-CN-FFF.,1,4,F1:,真的
NCCU-TM009-CN-FFF.,1,4,F1:,很
NCCU-TM009-CN-FFF.,1,4,F1:,誇張
NCCU-TM009-CN-FFF.,1,4,F1:,我
NCCU-TM009-CN-FFF.,1,4,F1:,教
NCCU-TM009-CN-FFF.,1,4,F1:,的
NCCU-TM009-CN-FFF.,1,4,F1:,那
NCCU-TM009-CN-FFF.,1,4,F1:,個
NCCU-TM009-CN-FFF.,1,5,F1:,(...)
NCCU-TM009-CN-FFF.,1,5,F1:,我
NCCU-TM009-CN-FFF.,1,5,F1:,教
NCCU-TM009-CN-FFF.,1,5,F1:,的
NCCU-TM009-CN-FFF.,1,5,F1:,那
NCCU-TM009-CN-FFF.,1,5,F1:,個
NCCU-TM009-CN-FFF.,1,5,F1:,小五
NCCU-TM009-CN-FFF.,1,6,F1:,(.)
NCCU-TM009-CN-FFF.,1,6,F1:,跟
NCCU-TM009-CN-FFF.,1,6,F1:,我
NCCU-TM009-CN-FFF.,1,6,F1:,上次
NCCU-TM009-CN-FFF.,1,7,F1:,(...)
NCCU-TM009-CN-FFF.,1,7,F1:,上次
NCCU-TM009-CN-FFF.,1,8,F1:,(.)
NCCU-TM009-CN-FFF.,1,8,F1:,教到
NCCU-TM009-CN-FFF.,1,8,F1:,的
NCCU-TM009-CN-FFF.,1,8,F1:,[那
NCCU-TM009-CN-FFF.,1,8,F1:,個
NCCU-TM009-CN-FFF.,1,8,F1:,小五]
NCCU-TM009-CN-FFF.,2,9,F2:,[對
NCCU-TM009-CN-FFF.,2,9,F2:,對
NCCU-TM009-CN-FFF.,2,9,F2:,那
NCCU-TM009-CN-FFF.,2,9,F2:,個]
NCCU-TM009-CN-FFF.,2,9,F2:,那
NCCU-TM009-CN-FFF.,2,9,F2:,個
NCCU-TM009-CN-FFF.,2,9,F2:,那
NCCU-TM009-CN-FFF.,2,9,F2:,個
NCCU-TM009-CN-FFF.,3,10,F1:,(.)
NCCU-TM009-CN-FFF.,3,10,F1:,一樣
NCCU-TM009-CN-FFF.,3,10,F1:,喔
NCCU-TM009-CN-FFF.,3,11,F1:,(...)
NCCU-TM009-CN-FFF.,3,11,F1:,我
NCCU-TM009-CN-FFF.,3,11,F1:,那
NCCU-TM009-CN-FFF.,3,11,F1:,個
NCCU-TM009-CN-FFF.,3,11,F1:,學生
NCCU-TM009-CN-FFF.,3,11,F1:,是
NCCU-TM009-CN-FFF.,3,12,F1:,(.)
NCCU-TM009-CN-FFF.,3,12,F1:,他
NCCU-TM009-CN-FFF.,3,12,F1:,學
NCCU-TM009-CN-FFF.,3,12,F1:,那
NCCU-TM009-CN-FFF.,3,12,F1:,個
NCCU-TM009-CN-FFF.,3,12,F1:,何嘉仁
NCCU-TM009-CN-FFF.,3,12,F1:,已
NCCU-TM009-CN-FFF.,3,12,F1:,經
NCCU-TM009-CN-FFF.,3,12,F1:,那
NCCU-TM009-CN-FFF.,3,12,F1:,個
NCCU-TM009-CN-FFF.,3,13,F1:,(...)
NCCU-TM009-CN-FFF.,3,13,F1:,程度
NCCU-TM009-CN-FFF.,3,13,F1:,太
NCCU-TM009-CN-FFF.,3,13,F1:,高
NCCU-TM009-CN-FFF.,3,13,F1:,了
NCCU-TM009-CN-FFF.,3,14,F1:,(.)
NCCU-TM009-CN-FFF.,3,14,F1:,他
NCCU-TM009-CN-FFF.,3,14,F1:,跟
NCCU-TM009-CN-FFF.,3,14,F1:,不
NCCU-TM009-CN-FFF.,3,14,F1:,上
NCCU-TM009-CN-FFF.,3,15,F1:,(.)
NCCU-TM009-CN-FFF.,3,15,F1:,才
NCCU-TM009-CN-FFF.,3,15,F1:,請
NCCU-TM009-CN-FFF.,3,15,F1:,家教
NCCU-TM009-CN-FFF.,3,16,F1:,(...)
NCCU-TM009-CN-FFF.,3,16,F1:,我
NCCU-TM009-CN-FFF.,3,16,F1:,上次
NCCU-TM009-CN-FFF.,3,16,F1:,去
NCCU-TM009-CN-FFF.,3,16,F1:,那
NCCU-TM009-CN-FFF.,3,16,F1:,個
NCCU-TM009-CN-FFF.,3,16,F1:,瑛如
NCCU-TM009-CN-FFF.,3,16,F1:,他們
NCCU-TM009-CN-FFF.,3,16,F1:,那
NCCU-TM009-CN-FFF.,3,16,F1:,個
NCCU-TM009-CN-FFF.,3,16,F1:,是
NCCU-TM009-CN-FFF.,3,17,F1:,(...)
NCCU-TM009-CN-FFF.,3,17,F1:,那
NCCU-TM009-CN-FFF.,3,17,F1:,個
NCCU-TM009-CN-FFF.,3,17,F1:,課
NCCU-TM009-CN-FFF.,3,17,F1:,本
NCCU-TM009-CN-FFF.,3,17,F1:,太
NCCU-TM009-CN-FFF.,3,17,F1:,難
NCCU-TM009-CN-FFF.,3,18,F1:,(.)
NCCU-TM009-CN-FFF.,3,18,F1:,他
NCCU-TM009-CN-FFF.,3,18,F1:,完全
NCCU-TM009-CN-FFF.,3,18,F1:,看
NCCU-TM009-CN-FFF.,3,18,F1:,不
NCCU-TM009-CN-FFF.,3,18,F1:,懂
