filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM025-CN-FM.,1,1,F:,..
NCCU-TM025-CN-FM.,1,1,F:,而且
NCCU-TM025-CN-FM.,1,1,F:,我
NCCU-TM025-CN-FM.,1,1,F:,發覺
NCCU-TM025-CN-FM.,1,1,F:,啊
NCCU-TM025-CN-FM.,1,2,F:,..
NCCU-TM025-CN-FM.,1,2,F:,現在
NCCU-TM025-CN-FM.,1,2,F:,不是
NCCU-TM025-CN-FM.,1,2,F:,都
NCCU-TM025-CN-FM.,1,2,F:,有
NCCU-TM025-CN-FM.,1,2,F:,很多
NCCU-TM025-CN-FM.,1,2,F:,部落客
NCCU-TM025-CN-FM.,1,2,F:,在
NCCU-TM025-CN-FM.,1,2,F:,寫
NCCU-TM025-CN-FM.,1,2,F:,[那種]
NCCU-TM025-CN-FM.,2,3,M:,[嗯]
NCCU-TM025-CN-FM.,1,4,F:,..
NCCU-TM025-CN-FM.,1,4,F:,什麼
NCCU-TM025-CN-FM.,1,4,F:,推薦
NCCU-TM025-CN-FM.,1,4,F:,文
NCCU-TM025-CN-FM.,1,4,F:,啊
NCCU-TM025-CN-FM.,1,5,F:,..
NCCU-TM025-CN-FM.,1,5,F:,什麼
NCCU-TM025-CN-FM.,1,5,F:,的
NCCU-TM025-CN-FM.,3,6,F:,..
NCCU-TM025-CN-FM.,3,6,F:,他們
NCCU-TM025-CN-FM.,3,6,F:,那些
NCCU-TM025-CN-FM.,3,6,F:,人
NCCU-TM025-CN-FM.,3,6,F:,都
NCCU-TM025-CN-FM.,3,7,F:,(...)
NCCU-TM025-CN-FM.,3,7,F:,都
NCCU-TM025-CN-FM.,3,7,F:,不約而同
NCCU-TM025-CN-FM.,3,7,F:,會
NCCU-TM025-CN-FM.,3,7,F:,同時
NCCU-TM025-CN-FM.,3,8,F:,(...)
NCCU-TM025-CN-FM.,3,8,F:,就是
NCCU-TM025-CN-FM.,3,8,F:,大概
NCCU-TM025-CN-FM.,3,8,F:,那
NCCU-TM025-CN-FM.,3,8,F:,個
NCCU-TM025-CN-FM.,3,8,F:,時間
NCCU-TM025-CN-FM.,3,8,F:,都
NCCU-TM025-CN-FM.,3,8,F:,推薦
NCCU-TM025-CN-FM.,3,8,F:,同
NCCU-TM025-CN-FM.,3,8,F:,一
NCCU-TM025-CN-FM.,3,8,F:,間
NCCU-TM025-CN-FM.,3,8,F:,店
NCCU-TM025-CN-FM.,4,9,M:,..
NCCU-TM025-CN-FM.,4,9,M:,mhm
NCCU-TM025-CN-FM.,5,10,F:,..
NCCU-TM025-CN-FM.,5,10,F:,就
NCCU-TM025-CN-FM.,5,10,F:,大概
NCCU-TM025-CN-FM.,5,10,F:,都
NCCU-TM025-CN-FM.,5,10,F:,是
NCCU-TM025-CN-FM.,5,10,F:,那些
NCCU-TM025-CN-FM.,5,10,F:,店
NCCU-TM025-CN-FM.,5,10,F:,同時間
NCCU-TM025-CN-FM.,5,10,F:,[2找2]
NCCU-TM025-CN-FM.,5,10,F:,他們
NCCU-TM025-CN-FM.,6,11,M:,[2對
NCCU-TM025-CN-FM.,6,11,M:,啊2]
NCCU-TM025-CN-FM.,5,12,F:,(...)
NCCU-TM025-CN-FM.,5,12,F:,那
NCCU-TM025-CN-FM.,5,12,F:,個
NCCU-TM025-CN-FM.,5,12,F:,嗎
NCCU-TM025-CN-FM.,6,13,M:,(...)
NCCU-TM025-CN-FM.,6,13,M:,差不多
NCCU-TM025-CN-FM.,7,14,F:,..
NCCU-TM025-CN-FM.,7,14,F:,可是
NCCU-TM025-CN-FM.,7,14,F:,有人
NCCU-TM025-CN-FM.,7,14,F:,會
NCCU-TM025-CN-FM.,7,14,F:,因為
NCCU-TM025-CN-FM.,7,14,F:,這樣
NCCU-TM025-CN-FM.,7,15,F:,..
NCCU-TM025-CN-FM.,7,15,F:,就
NCCU-TM025-CN-FM.,7,15,F:,真的
NCCU-TM025-CN-FM.,7,15,F:,去
NCCU-TM025-CN-FM.,7,15,F:,買
NCCU-TM025-CN-FM.,7,15,F:,去
NCCU-TM025-CN-FM.,7,15,F:,那
NCCU-TM025-CN-FM.,7,15,F:,個
NCCU-TM025-CN-FM.,8,16,M:,..
NCCU-TM025-CN-FM.,8,16,M:,會
