filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM036-CN-FF_Yujie Li.,1,1,F1:,(.)
NCCU-TM036-CN-FF_Yujie Li.,1,1,F1:,對
NCCU-TM036-CN-FF_Yujie Li.,1,1,F1:,啊
NCCU-TM036-CN-FF_Yujie Li.,1,1,F1:,","
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,(.)
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,你們
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,可以
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,去
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,苗栗
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,玩
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,耶
NCCU-TM036-CN-FF_Yujie Li.,1,2,F1:,.
NCCU-TM036-CN-FF_Yujie Li.,1,3,F1:,(...)
NCCU-TM036-CN-FF_Yujie Li.,1,3,F1:,反正
NCCU-TM036-CN-FF_Yujie Li.,1,3,F1:,不
NCCU-TM036-CN-FF_Yujie Li.,1,3,F1:,太
NCCU-TM036-CN-FF_Yujie Li.,1,3,F1:,遠
NCCU-TM036-CN-FF_Yujie Li.,1,3,F1:,.
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,(.)
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,我
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,覺得
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,要
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,先
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,去
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,鶯歌
NCCU-TM036-CN-FF_Yujie Li.,2,4,F2:,.
NCCU-TM036-CN-FF_Yujie Li.,3,5,F1:,(.)
NCCU-TM036-CN-FF_Yujie Li.,3,5,F1:,對
NCCU-TM036-CN-FF_Yujie Li.,3,5,F1:,呀
NCCU-TM036-CN-FF_Yujie Li.,3,5,F1:,","
NCCU-TM036-CN-FF_Yujie Li.,3,6,F1:,(.)
NCCU-TM036-CN-FF_Yujie Li.,3,6,F1:,我
NCCU-TM036-CN-FF_Yujie Li.,3,6,F1:,也
NCCU-TM036-CN-FF_Yujie Li.,3,6,F1:,覺得
NCCU-TM036-CN-FF_Yujie Li.,3,6,F1:,.
NCCU-TM036-CN-FF_Yujie Li.,4,7,F2:,@
NCCU-TM036-CN-FF_Yujie Li.,4,7,F2:,@
NCCU-TM036-CN-FF_Yujie Li.,4,7,F2:,@
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,(.)
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,你
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,之前
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,都
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,住在
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,哪裡
NCCU-TM036-CN-FF_Yujie Li.,5,8,F1:,?
NCCU-TM036-CN-FF_Yujie Li.,6,9,F2:,(.)
NCCU-TM036-CN-FF_Yujie Li.,6,9,F2:,我
NCCU-TM036-CN-FF_Yujie Li.,6,9,F2:,之前
NCCU-TM036-CN-FF_Yujie Li.,6,9,F2:,喔
NCCU-TM036-CN-FF_Yujie Li.,6,9,F2:,","
NCCU-TM036-CN-FF_Yujie Li.,6,10,F2:,(.)
NCCU-TM036-CN-FF_Yujie Li.,6,10,F2:,住在
NCCU-TM036-CN-FF_Yujie Li.,6,10,F2:,","
NCCU-TM036-CN-FF_Yujie Li.,6,11,F2:,(...)
NCCU-TM036-CN-FF_Yujie Li.,6,11,F2:,各地
NCCU-TM036-CN-FF_Yujie Li.,6,11,F2:,@
NCCU-TM036-CN-FF_Yujie Li.,6,11,F2:,@
NCCU-TM036-CN-FF_Yujie Li.,6,11,F2:,@=
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,(...)
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,就
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,我
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,很
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,難
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,說
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,我
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,熟
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,哪個
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,地方
NCCU-TM036-CN-FF_Yujie Li.,6,12,F2:,.
NCCU-TM036-CN-FF_Yujie Li.,7,13,F1:,(.)
NCCU-TM036-CN-FF_Yujie Li.,7,13,F1:,[um]
NCCU-TM036-CN-FF_Yujie Li.,8,14,F2:,[因為]
NCCU-TM036-CN-FF_Yujie Li.,8,14,F2:,","
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,(...)
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,就
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,桃園
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,住
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,最
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,久
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,啊
NCCU-TM036-CN-FF_Yujie Li.,8,15,F2:,","
NCCU-TM036-CN-FF_Yujie Li.,8,16,F2:,(.)
NCCU-TM036-CN-FF_Yujie Li.,8,16,F2:,但是
NCCU-TM036-CN-FF_Yujie Li.,8,16,F2:,就是
NCCU-TM036-CN-FF_Yujie Li.,8,16,F2:,小時候
NCCU-TM036-CN-FF_Yujie Li.,8,16,F2:,.
