filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,(0)
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,那
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,要
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,說
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,為什麼
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,今天
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,會
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,穿
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,這
NCCU-TM039-CN-FM_Lu&Yuting.,1,1,M:,樣子
NCCU-TM039-CN-FM_Lu&Yuting.,1,2,M:,(.)
NCCU-TM039-CN-FM_Lu&Yuting.,1,2,M:,因為
NCCU-TM039-CN-FM_Lu&Yuting.,1,2,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,1,2,M:,[本來]
NCCU-TM039-CN-FM_Lu&Yuting.,2,3,F:,[好
NCCU-TM039-CN-FM_Lu&Yuting.,2,3,F:,啊]
NCCU-TM039-CN-FM_Lu&Yuting.,3,4,M:,(.)
NCCU-TM039-CN-FM_Lu&Yuting.,3,4,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,3,4,M:,本來
NCCU-TM039-CN-FM_Lu&Yuting.,3,5,M:,(.)
NCCU-TM039-CN-FM_Lu&Yuting.,3,5,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,3,5,M:,本來
NCCU-TM039-CN-FM_Lu&Yuting.,3,5,M:,打算
NCCU-TM039-CN-FM_Lu&Yuting.,3,6,M:,(.)
NCCU-TM039-CN-FM_Lu&Yuting.,3,6,M:,ho
NCCU-TM039-CN-FM_Lu&Yuting.,3,6,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,3,6,M:,今天
NCCU-TM039-CN-FM_Lu&Yuting.,3,6,M:,哪=
NCCU-TM039-CN-FM_Lu&Yuting.,4,7,F:,(.)
NCCU-TM039-CN-FM_Lu&Yuting.,4,7,F:,uh
NCCU-TM039-CN-FM_Lu&Yuting.,5,8,M:,(.)
NCCU-TM039-CN-FM_Lu&Yuting.,5,8,M:,我
NCCU-TM039-CN-FM_Lu&Yuting.,5,8,M:,就是
NCCU-TM039-CN-FM_Lu&Yuting.,5,8,M:,穿
NCCU-TM039-CN-FM_Lu&Yuting.,5,8,M:,制服
NCCU-TM039-CN-FM_Lu&Yuting.,5,8,M:,去
