filename,TurnSeq,unitSeq,Speaker,Utterance
NCCU-TM016_Sun,1,1,M:,我
NCCU-TM016_Sun,1,1,M:,今天
NCCU-TM016_Sun,1,1,M:,有
NCCU-TM016_Sun,1,1,M:,跟
NCCU-TM016_Sun,1,1,M:,你
NCCU-TM016_Sun,1,1,M:,講
NCCU-TM016_Sun,1,1,M:,..
NCCU-TM016_Sun,1,1,M:,那
NCCU-TM016_Sun,1,1,M:,個
NCCU-TM016_Sun,1,1,M:,..
NCCU-TM016_Sun,1,1,M:,Jason
NCCU-TM016_Sun,1,1,M:,的
NCCU-TM016_Sun,1,1,M:,事
NCCU-TM016_Sun,1,1,M:,嗎
NCCU-TM016_Sun,1,1,M:,?
NCCU-TM016_Sun,2,2,F:,..
NCCU-TM016_Sun,2,2,F:,沒有
NCCU-TM016_Sun,2,2,F:,啊
NCCU-TM016_Sun,2,2,F:,.
NCCU-TM016_Sun,3,3,M:,..
NCCU-TM016_Sun,3,3,M:,就是
NCCU-TM016_Sun,3,3,M:,","
NCCU-TM016_Sun,4,4,F:,..
NCCU-TM016_Sun,4,4,F:,他
NCCU-TM016_Sun,4,4,F:,抱
NCCU-TM016_Sun,4,4,F:,你
NCCU-TM016_Sun,4,4,F:,.
NCCU-TM016_Sun,5,5,M:,..
NCCU-TM016_Sun,5,5,M:,對
NCCU-TM016_Sun,5,5,M:,.
NCCU-TM016_Sun,5,6,M:,..
NCCU-TM016_Sun,5,6,M:,他
NCCU-TM016_Sun,5,7,M:,..
NCCU-TM016_Sun,5,7,M:,他
NCCU-TM016_Sun,5,7,M:,因為
NCCU-TM016_Sun,5,7,M:,做錯
NCCU-TM016_Sun,5,7,M:,","
NCCU-TM016_Sun,5,8,M:,..
NCCU-TM016_Sun,5,8,M:,不
NCCU-TM016_Sun,5,8,M:,知道
NCCU-TM016_Sun,5,8,M:,做錯
NCCU-TM016_Sun,5,8,M:,甚麼
NCCU-TM016_Sun,5,8,M:,事情
NCCU-TM016_Sun,5,8,M:,","
NCCU-TM016_Sun,5,9,M:,..
NCCU-TM016_Sun,5,9,M:,然後
NCCU-TM016_Sun,5,9,M:,就
NCCU-TM016_Sun,5,9,M:,覺得
NCCU-TM016_Sun,5,9,M:,很
NCCU-TM016_Sun,5,9,M:,對不起
NCCU-TM016_Sun,5,9,M:,我
NCCU-TM016_Sun,5,9,M:,.
NCCU-TM016_Sun,6,10,F:,..
NCCU-TM016_Sun,6,10,F:,嗯
NCCU-TM016_Sun,7,11,M:,..
NCCU-TM016_Sun,7,11,M:,然後
NCCU-TM016_Sun,7,11,M:,他
NCCU-TM016_Sun,7,11,M:,就
NCCU-TM016_Sun,7,11,M:,說
NCCU-TM016_Sun,7,11,M:,","
NCCU-TM016_Sun,7,12,M:,..
NCCU-TM016_Sun,7,12,M:,eh
NCCU-TM016_Sun,7,12,M:,朱
NCCU-TM016_Sun,7,12,M:,怎樣
NCCU-TM016_Sun,7,12,M:,怎樣
NCCU-TM016_Sun,7,12,M:,","
NCCU-TM016_Sun,7,13,M:,..
NCCU-TM016_Sun,7,13,M:,然後
NCCU-TM016_Sun,7,13,M:,我
NCCU-TM016_Sun,7,13,M:,就
NCCU-TM016_Sun,7,13,M:,說
NCCU-TM016_Sun,7,13,M:,停止
NCCU-TM016_Sun,7,13,M:,放開
NCCU-TM016_Sun,7,13,M:,","
NCCU-TM016_Sun,7,14,M:,..
NCCU-TM016_Sun,7,14,M:,這個
NCCU-TM016_Sun,7,14,M:,不是
NCCU-TM016_Sun,7,14,M:,你
NCCU-TM016_Sun,7,14,M:,能
NCCU-TM016_Sun,7,14,M:,抱
NCCU-TM016_Sun,7,14,M:,的
NCCU-TM016_Sun,7,14,M:,","
NCCU-TM016_Sun,7,15,M:,..
NCCU-TM016_Sun,7,15,M:,只有
NCCU-TM016_Sun,7,15,M:,一
NCCU-TM016_Sun,7,15,M:,個
NCCU-TM016_Sun,7,15,M:,人
NCCU-TM016_Sun,7,15,M:,可以
NCCU-TM016_Sun,7,15,M:,抱
NCCU-TM016_Sun,7,15,M:,而已
NCCU-TM016_Sun,7,15,M:,.
NCCU-TM016_Sun,8,16,F:,..
NCCU-TM016_Sun,8,16,F:,[@@@]=
NCCU-TM016_Sun,8,16,F:,你
NCCU-TM016_Sun,8,16,F:,這樣
NCCU-TM016_Sun,8,16,F:,跟
NCCU-TM016_Sun,8,16,F:,他
NCCU-TM016_Sun,8,16,F:,講
NCCU-TM016_Sun,9,17,M:,[@@@=]
NCCU-TM016_Sun,10,18,M:,..
NCCU-TM016_Sun,10,18,M:,對
NCCU-TM016_Sun,10,18,M:,","
NCCU-TM016_Sun,10,19,M:,..
NCCU-TM016_Sun,10,19,M:,然後
NCCU-TM016_Sun,10,19,M:,他
NCCU-TM016_Sun,10,19,M:,整
NCCU-TM016_Sun,10,19,M:,個
NCCU-TM016_Sun,10,19,M:,人
NCCU-TM016_Sun,10,19,M:,喔
NCCU-TM016_Sun,10,19,M:,喔
NCCU-TM016_Sun,10,19,M:,喔
NCCU-TM016_Sun,10,20,M:,..
NCCU-TM016_Sun,10,20,M:,這樣
NCCU-TM016_Sun,10,21,M:,..
NCCU-TM016_Sun,10,21,M:,趕快
NCCU-TM016_Sun,10,21,M:,放開
NCCU-TM016_Sun,10,21,M:,.
NCCU-TM016_Sun,11,22,F:,..
NCCU-TM016_Sun,11,22,F:,@
NCCU-TM016_Sun,12,23,M:,..
NCCU-TM016_Sun,12,23,M:,然後
NCCU-TM016_Sun,12,23,M:,第二
NCCU-TM016_Sun,12,23,M:,次
NCCU-TM016_Sun,12,23,M:,喔
NCCU-TM016_Sun,12,23,M:,","
NCCU-TM016_Sun,12,24,M:,..
NCCU-TM016_Sun,12,24,M:,第二
NCCU-TM016_Sun,12,24,M:,次
NCCU-TM016_Sun,12,24,M:,我
NCCU-TM016_Sun,12,24,M:,坐
NCCU-TM016_Sun,12,24,M:,在
NCCU-TM016_Sun,12,24,M:,辦公室
NCCU-TM016_Sun,12,24,M:,","
NCCU-TM016_Sun,12,25,M:,..
NCCU-TM016_Sun,12,25,M:,他
NCCU-TM016_Sun,12,25,M:,過
NCCU-TM016_Sun,12,25,M:,來
NCCU-TM016_Sun,12,25,M:,我
NCCU-TM016_Sun,12,25,M:,不
NCCU-TM016_Sun,12,25,M:,知道
NCCU-TM016_Sun,12,26,M:,..
NCCU-TM016_Sun,12,26,M:,承認
NCCU-TM016_Sun,12,26,M:,甚麼
NCCU-TM016_Sun,12,26,M:,事
NCCU-TM016_Sun,12,27,M:,..
NCCU-TM016_Sun,12,27,M:,又
NCCU-TM016_Sun,12,27,M:,錯
NCCU-TM016_Sun,12,28,M:,..
NCCU-TM016_Sun,12,28,M:,然後
NCCU-TM016_Sun,12,28,M:,就
NCCU-TM016_Sun,12,28,M:,過來
NCCU-TM016_Sun,12,28,M:,摸
NCCU-TM016_Sun,12,28,M:,我
NCCU-TM016_Sun,12,28,M:,的
NCCU-TM016_Sun,12,28,M:,頭
NCCU-TM016_Sun,12,28,M:,","
NCCU-TM016_Sun,12,29,M:,..
NCCU-TM016_Sun,12,29,M:,我
NCCU-TM016_Sun,12,29,M:,說
NCCU-TM016_Sun,12,29,M:,手
NCCU-TM016_Sun,12,29,M:,拿
NCCU-TM016_Sun,12,29,M:,開
NCCU-TM016_Sun,12,29,M:,","
NCCU-TM016_Sun,12,30,M:,..
NCCU-TM016_Sun,12,30,M:,這個
NCCU-TM016_Sun,12,30,M:,也
NCCU-TM016_Sun,12,30,M:,不是
NCCU-TM016_Sun,12,30,M:,你
NCCU-TM016_Sun,12,30,M:,能夠
NCCU-TM016_Sun,12,30,M:,摸
NCCU-TM016_Sun,12,30,M:,的
NCCU-TM016_Sun,12,30,M:,[@@@=]
NCCU-TM016_Sun,13,31,F:,[@@@=]
NCCU-TM016_Sun,13,31,F:,.
NCCU-TM016_Sun,14,32,M:,他
NCCU-TM016_Sun,14,32,M:,整
NCCU-TM016_Sun,14,32,M:,個
NCCU-TM016_Sun,14,32,M:,人
NCCU-TM016_Sun,14,32,M:,很
NCCU-TM016_Sun,14,32,M:,尷尬
NCCU-TM016_Sun,14,32,M:,.
NCCU-TM016_Sun,15,33,F:,你
NCCU-TM016_Sun,15,33,F:,很
NCCU-TM016_Sun,15,33,F:,over
NCCU-TM016_Sun,15,33,F:,吧
NCCU-TM016_Sun,15,33,F:,.
NCCU-TM016_Sun,15,34,F:,..
NCCU-TM016_Sun,15,34,F:,可是
NCCU-TM016_Sun,15,34,F:,很
NCCU-TM016_Sun,15,34,F:,好
NCCU-TM016_Sun,15,34,F:,","
NCCU-TM016_Sun,15,35,F:,..
NCCU-TM016_Sun,15,35,F:,以後
NCCU-TM016_Sun,15,35,F:,[就
NCCU-TM016_Sun,15,35,F:,這樣]
NCCU-TM016_Sun,15,35,F:,.
NCCU-TM016_Sun,16,36,M:,[對
NCCU-TM016_Sun,16,36,M:,啊]
NCCU-TM016_Sun,17,37,F:,..
NCCU-TM016_Sun,17,37,F:,[[@@@]]
NCCU-TM016_Sun,18,38,M:,[[@@@]]
NCCU-TM016_Sun,18,39,M:,..
NCCU-TM016_Sun,18,39,M:,他
NCCU-TM016_Sun,18,39,M:,也
NCCU-TM016_Sun,18,39,M:,很
NCCU-TM016_Sun,18,39,M:,好笑
NCCU-TM016_Sun,18,39,M:,啊
NCCU-TM016_Sun,18,39,M:,.
NCCU-TM016_Sun,18,40,M:,..
NCCU-TM016_Sun,18,40,M:,然後
NCCU-TM016_Sun,18,40,M:,他
NCCU-TM016_Sun,18,40,M:,說
NCCU-TM016_Sun,18,40,M:,我
NCCU-TM016_Sun,18,40,M:,快
NCCU-TM016_Sun,18,40,M:,被
NCCU-TM016_Sun,18,40,M:,淹死
NCCU-TM016_Sun,18,40,M:,了
NCCU-TM016_Sun,18,40,M:,.
NCCU-TM016_Sun,19,41,F:,..
NCCU-TM016_Sun,19,41,F:,你
NCCU-TM016_Sun,19,41,F:,?
NCCU-TM016_Sun,20,42,M:,..
NCCU-TM016_Sun,20,42,M:,嗯
NCCU-TM016_Sun,20,42,M:,.
NCCU-TM016_Sun,21,43,F:,..
NCCU-TM016_Sun,21,43,F:,你
NCCU-TM016_Sun,21,43,F:,淹死
NCCU-TM016_Sun,21,43,F:,?
