Turn,Speaker,Utterance
1,F1:,".. 對 啊 ,"
1,F1:,".. 你們 可以 去 苗栗 玩 耶 ,""
1,F1:,"... 反正 不 太 遠 ."
2,F2:,".. 我 覺得 要 先 去 鶯歌 ."
3,F1:,".. 對 呀 ,"
3,F1:,".. 我 也 覺得 ."
4,F2:,"@ @ @"
5,F1:,".. 你 之前 都 住在 哪裡 ."
6,F2:,".. 我 之前 喔 住在 ,"
6,F2:,"... 各地 ."
,,".. @ @ @ = ."
6,F2:,"... 就 我 很 難 說 我 熟 哪個 地方 ,"
7,F1:,".. [um] ."
8,F2:,"[因為] ,"
8,F2:,"... 就 桃園 住 最 久 啊 ,"
8,F2:,".. 但是 就是 小時候 ,"
8,F2:,".. 就 ,"
8,F2:,".. 到 高中 以前 都 住 桃園 ."
8,F2:,".. 可是 我 對 桃園 其實 也 不 會 很 熟 ,"
9,F1:,".. 我 也 是 ."
9,F1:,".. 我 對 高雄 也 不 熟 . 不 知道 [[為什麼]] ."
10,F2:,"[[對 啊]] ."
10,F2:,".. 我 高中 以前 好像 都 ,"
10,F2:,".. 都 沒有 在 生活 耶 ."
11,F1:,"... 你 應該 是 念 大學 的 地方 會 最 熟 ."
12,F2:,".. 對 ."
12,F2:,"... 比較 熟 ,"
12,F2:,".. 嘉義 ."
13,F1:,".. 結果 你 住在 好山好水 ,"
,,".. @ 好 無聊 的 地方 ,"
,,".. @ @ @= 就 我 的 印象 ."
14,F2:,".. 還好 吧 !"
14,F2:,".. 我們 那邊 很 漂亮 耶 ."
14,F2:,".. 有沒有 去過 中正大學 ."
15,F1:,".. um ,"
15,F1:,"... 我 就 去 考 插大 啊 ."
16,F2:,".. um ."
16,F2:,".. 妳 本來 就 想 考 中正 嗎 ?"
17,F1:,".. 插大 的 原則 就是 ,"
,,".. 能 考 都 去 考 @ @ ."
17,F1:,".. 因為 機率 太 低 ,"
17,F1:,".. 所以 幾乎 都 會 考 ."
17,F1:,". .然後 時間 沒有-- ;"
17,F1:,".. 沒有 衝到 ,"
17,F1:,"... 我 就 都 會 去 ."
17,F1:,".. 但是 最後 還是 沒有 ."
18,F2:,".. um ."
18,F2:,".. 啊 你 本來 想念 中正 喔 ."
19,F1:,".. 還好 我 沒有 考上 中正 ."
20,F2:,".. 為什麼 ."
21,F1:,".. 考 不 上 @ @ ."
22,F2:,".. 不 會 啦 !"
23,F1:,".. 那 後來-- ;"
23,F1:,".. 後來 就 考上 中興 啊 ,"
23,F1:,".. 中興 比較 在 市區 ."
24,F2:,".. 我們 三不五時 就 可以 去 阿里山 ."
24,F2:,"... @ @"
,,".. 也 沒有 三不五時 ,"
24,F2:,".. 騎車 要 三 個 小時 @ @ @ = ."
25,F1:,".. 那 也 是 @ @ @ = ,"
,,".. 阿里山 我 也 去 過"
,,".. 好幾次 ."
25,F1:,".. 不 用-- ;"
25,F1:,".. 不 用 念 中正 ,"
,,".. @ 也 可以 去 阿里山 @ ,"
26,F2:,".. 不過 我們 就 在 山腳 下 ."
27,F1:,".. 我們 三不五時 就 可以 騎到 那個 耶 ,"
27,F1:,"... 溪頭 啊 ,"
27,F1:,".. 然後 --;"
27,F1:,"... 因為 ,"
,,".. 台中 也 是 啊 ,"
27,F1:,"... 太平 啊 ."
27,F1:,".. 然後 我們 團練 也 在 山上 ."
28,F2:,".. 團練 ."
29,F1:,".. 對 對 對 ,"
29,F1:,".. 就 國樂團 的 團練 都 會 在 山上 ."
29,F1:,".. 也 是 三不五時 就 可以 ,"
,,".. @ 爬山 上 @ ."
30,F2:,".. 你們 會 去 ,"
30,F2:,".. 山上 團練 喔 ."
31,F1:,".. 寒訓 的 時候 ,"
31,F1:,".. 就是 一 年 級 就 會 參加 寒訓 嘛 ."
31,F1:,".. 寒訓 就 會 在 山上 一個 廟 ,"
31,F1:,".. 那個 時候 921 --;"
31,F1:,"[..921 之前] ."
32,F2:,"[.. 在 山上 一個 廟] ."
33,F1:,".. 對 對 對 ."
34,F2:,".. 團練 ?"
34,F2:,".. 這樣 ?"
35,F1:,"... 那邊 有 溫泉 ."
35,F1:,".. 反正 就是 在 廟 ,"
35,F1:,".. 住在 廟 裡面 ,"
35,F1:,".. 因為 比較 便宜 吧 ."
,,".. 我 也 不 知道 為什麼 ."
35,F1:,".. 反正 就是 --;"
35,F1:,"... 那個 --;"
35,F1:,".. 我們 社團 的 慣例 ,"
,,".. 好像 就是 每年 都 是 在 那裡  辦 ."
36,F2:,".. 廟 還是 寺 --;"
36,F2:,".. 廟 聽起來 就 只有 ,"
36,F2:,".. 這麼 大 喔 ."
36,F2:,".. 寺 --;"
37,F1:,".. 我 忘記 那 叫 什麼 [寺] ."
38,F2:,"[應該] 是 什麼 什麼 寺 吧 ."
39,F1:,".. 反正 裡面 有 那個 啊 ,"
39,F1:,".. 有 給 香客 住 的 地方 ,"
39,F1:,"[.. 我們 就] 住 在 裡面 ."
40,F2:,"[um] ."
41,F1:,".. 然後 早上 --;"
41,F1:,".. 就是 被 關 在 上面 的 意思 啊 ."
41,F1:,".. 然後 早上 起來 團練 啊 ."
41,F1:,".. 玩 大地 遊戲 啊 什麼 的 ."
41,F1:,".. 然後 --;"
42,F2:,".. 這樣 沒有 人 嫌 你們 ,"
42,F2:,".. 吵 嗎 ?"
43,F1:,".. 就是 因為 怕 人家 嫌 我們 吵 ,"
,,".. 才 會 去 那種 地方 ."
43,F1:,".. 因為 --;"
43,F1:,"... 就 沒有 人 啊 ."
43,F1:,".. 然後 每天 都 吃素 ,"
43,F1:,".. 吃 一個 禮拜 ."
43,F1:,".. 然後 下山 ,"
43,F1:,".. 全 社團 第一 件 事"
,,".. 就是 奔向 --;"
44,F2:,".. 開- ;"
44,F2:,".. 開葷 ."
45,F1:,".. 對@ @[@ =] ."
46,F2:,"[@ @ @ =] ."
47,F1:,".. 海產 buffet ."
47,F1:,".. 然後 社長 帶頭 ."
47,F1:,".. 那 時候 本來 說來 我們 去 吃 ,"
,,".. 肯德基 ."
47,F1:,"... 社長 說 ,"
47,F1:,".. 吃 什麼 肯德基 啊 ?"
47,F1:,".. 帶 你們 去 吃 buffet 啦 @ @ ."
47,F1:,".. 結果 沒出 幾道 X --;"
48,F2:,".. 你們 有 多少 人 ."
49,F1:,".. 我們 --;"
49,F1:,".. 我 一 年級 ,"
,,".. 進去 那 一 屆 喔 --;"
49,F1:,"... 我 那 時候 去 只有 十 --;"
49,F1:,".. 一個 團 哪 ."
49,F1:,".. 一個 國樂團 ."
,,".. 大概 只有 二十 ."
49,F1:,".. 二十 ."
50,F2:,"... 哎 ,"
50,F2:,".. 我 以前 是 管樂團 ."
51,F1:,".. 好 厲害 喔 ."
51,F1:,".. 都 吹 不 動 ."
52,F2:,".. 我 是 --;"
52,F2:,".. @ 我 是 唯一 一個 不 用 吹 的 @ ."
53,F1:,".. 喔 ."
53,F1:,".."
54,F2:,".. 我 是 [打鼓 的 @ @ @ =]] ."
55,F1:,"[X XX X] ."
62,F2:,".. 不用 [公開] ."
63,F1:,"[沒 有] ."
55,F1:,".. 喔 ,"
55,F1:,".. 好 厲害 喔 !"
56,F2:,".. 所以 我 肺[[活]] ."
57,F1:,"[[是 定音]] 鼔 還是 小 鼓 ."
58,F2:,".. 都 可以 ."
59,F1:,".. 好 棒 喔 ."
60,F2:,".. 就是 那種 ,"
60,F2:,".. 可是 我 沒有 打 得 很 好 ."
61,F1:,".. 我們 以前 國樂團 最 =帥 的 ,"
61,F1:,".. 就是 打 定音鼓 ."
62,F2:,".. 喔 ,"
62,F2:,".. 妳 喜歡 那 個 ,"
62,F2:,".. 沒 關係 ,"
64,F2:,".. 在 這邊 公開 ."
,,".. @ @ @ = ."
65,F1:,".. 不 是 !"
65,F1:,".. 我 不 是 說人 帥 !"
65,F1:,".. 我 是 說 打 定音鼓 很 帥 ."
66,F2:,".. 噢 ,"
66,F2:,".. 這件 事情 很 帥 @ @ @ = ."
67,F1:,".. 對 ."
67,F1:,".. 因為 那個 時候 ,"
,,".. 不 是 我們 ,"
67,F1:,".. 那個 ,"
,,".. 算是 國樂團 的 ,"
67,F1:,"... 半 標配 ."
67,F1:,".. 簡配 可能 就 沒有 ."
67,F1:,".. 就是 比較 大 的 國樂團 ,"
,,".. 會 有 定音鼓 ."
67,F1:,".. 然後 ,"
,,".. 我們 社團算 比較 大 ,"
67,F1:,".. 但是 有 一些 小 一 點 的 國樂團 不 一定 有 ."
67,F1:,".. 有 時候 借來 的 --;"
67,F1:,".. 有 時候 是 借來 的 ."
67,F1:,".. 就是 要 比賽 的 時候 ,"
,,".. 就 借來 用 ."
67,F1:,".. 我們 用 過 最 神奇 --;"
67,F1:,".. 最 --;"
67,F1:,".. 神奇 --;"
67,F1:,"... 最 神秘 的 樂器 ,"
,,".. 就是 編鐘 ."
68,F2:,".. 編鐘 喔 ,"
,,".. [我 不 曉得] --;"
69,F1:,"[真的 借 了 一個 鐘] ."
69,F1:,".. 那個 啊 ,"
69,F1:,".. 就是 在 古裝片 裡面 ,"
,,".. 會 看到 的 東西 ."
69,F1:,".. 但 從頭 到 尾 ,"
,,".. 只有 三個 音 ."
70,F2:,".. 噢 ,"
70,F2:,".. 就是 ,"
70,F2:,".. 黑色 ,"
70,F2:,".. [[鐵 的 ,"
70,F2:,".. 很 大 的]] --;"
71,F1:,"[[對 對 對 ,"
71,F1:,".. 對 對 對]] ."
71,F1:,".. 我 忘記 我們 借 的 ,"
,,".. 是 編鐘 還是 磬 ."
71,F1:,".. 有 一種 是 只有 一排 的 ."
71,F1:,".. 有 一種 是 這樣 ,"
,,".. [方 形] 的 喔 ."
72,F2:,"[um] ."
71,F1:,".. 對 對 對 ."
72,F2:,".. 啊 你們 借 的 是 --;"
73,F1:,".. 我 忘記 我們 借 哪 一 種 ."
,,".. @ @ [我 的 頭] ."
74,F2:,"[感覺 是] 山東大學 ,"
,,".. 的 孔子學院 ."
75,F1:,".. 對 對 對 對 對 ."
,,".. 類似 那 種 ."
75,F1:,".. [[然後 就是]] ,"
76,F2:,"[[會 出現 在 那邊]] ."
77,F1:,".. 一共 只有 三個 音 ,"
,,".. 在 一開始 ,"
,,".. 一定 要 把 它 借到 @ @ ."
78,F2:,".. 要 在 哪裡 借 ."
79,F1:,".. 我 也 忘 --;"
79,F1:,".. 我 不 知道 ,"
,,".. 我們 社長 去 哪裡 弄 來 ."
80,F2:,".. um ."
81,F1:,".. 因為 ,"
,,".. 我 當 社長 那 一 屆 ,"
81,F1:,".. 我們 就 整個 ,"
,,".. 都 借 不 到 ."
82,F2:,".. um ."
83,F1:,".. 就 ,"
83,F1:,".. 隨便 啦 ,"
83,F1:,".. 隨便 啦 ,"
83,F1:,".. 有 就 好 ."
84,F2:,".. 哪 一個 編 啊 --;"
84,F2:,".. 編鐘 ."
85,F1:,".. 就 編 --;"
85,F1:,".. 編 頭髮 ."
86,F2:,".. um ."
87,F1:,".. 編 在 上面 ."
87,F1:,".. 忘記 到底 是 借 了 編鐘 ,"
,,".. 還是 磬 ."
87,F1:,"... 總 之 ,"
,,".. 就是 ,"
87,F1:,".. 很 神奇 的 一個 樂器 ."
87,F1:,".. 我 也 不 知道 ,"
87,F1:,".. 好像 是 --;"
88,F2:,".. 應該 --;"
89,F1:,".. @ 去 孔廟 借 ,"
,,".. 是不是 @ @ @ ."
90,F2:,".. 孔- --;"
90,F2:,".. 應該 是 很 像 是 --;"
90,F2:,".. [有] --;"
91,F1:,"[um] --;"
92,F2:,".. 我們 西 ,"
92,F2:,".. 就是 管樂團 ,"
,,".. 裡面 有 一個 ,"
,,".. 那個 ,"
93,F1:,".. um ."
93,F1:,".. 豎琴 ."
94,F2:,".. 不 是 啦 ,"
94,F2:,".. 現在 ,"
,,".. 想 不 起來 ,"
,,".. 它 的 名字 ."
94,F2:,".. 太 久 了 ,"
94,F2:,".. 就是 ,"
94,F2:,".. 它 也 是 這樣 ,"
,,".. 一管 一管 的 ."
94,F2:,"... 而且 好 丟臉 ."
,,".. 我 是 打擊部 ,"
,,".. 我 還 想 不 起來 ."
94,F2:,".. 就是 ,"
94,F2:,".. 它 也 是 這樣 ,"
94,F2:,".. 然後 你 可以 用 --;"
94,F2:,".. 就是 像 ,"
,,".. 我 這 麼矮 的 要 ,"
94,F2:,".. 要 墊 腳尖 ,"
,,".. 然後 ,"
,,".. 拿 那個 槌子 ."
95,F1:,".. um ."
96,F2:,". .然後 捶 那個 --;"
97,F1:,".. 管鐘 喔 ."
98,F2:,".. 欸 ,"
98,F2:,".. 好 耳熟 喔 ."
98,F2:,".. 好像 就是 管鐘 ."
99,F1:,".. @ @ ."
99,F1:,".. 那 我 來 查 一下 ,"
,,".. 管鐘 的 圖片 ."
100,F2:,".. 應該 原理 ,"
,,".. 很 像 那個 吧 --;"
100,F2:,"... 就是 這樣子 敲 ."
100,F2:,".. 然後 --;"
101,F1:,".. 對 啊 ,"
101,F1:,".. 因為 那個 西樂 ,"
,,".. 都 是 ,"
,,".. 靠 共鳴 ."
101,F1:,".. 然後 國樂 都 是 靠 ,"
101,F1:,".. 撞擊 ."
101,F1:,".. 的 那個 什麼 --;"
101,F1:,".. 所以 有 一點點 ,"
,,".. 不 一樣 ."
102,F2:,"... 以前 ,"
,,".. 我 在 打擊 樂團 ,"
,,".. 就是 很 糗 ."
102,F2:,".. 因為 大家 ,"
,,".. 都 蠻 帥 ."
102,F2:,".. 然後 ,"
,,".. 就 只有 我 一個 人 ,"
,,".. 這 樣墊 腳尖 拿 ."
102,F2:,".. @ @ @ = ."
103,F1:,".. @ @ @ 為什麼 咧 @ ."
103,F1:,".. 跳 起來 啊 ."
104,F2:,".. 對 ."
104,F2:,".. [手短 腳短] ."
105,F1:,"[好像 也 不錯"
,,".. 這個] ."
106,F2:,".. 我 看 ."
107,F1:,".. 不過 不 夠 大 吧 ."
107,F1:,".. 這個 這個 ."
108,F2:,".. 這個 很 大 啊 !"
109,F1:,".. 噢 這個 嗎 !"
110,F2:,".. 這個 ,"
110,F2:,".. 很 大 !"
110,F2:,".. 我 看 有 多 大 ."
110,F2:,".. 這樣 ,"
110,F2:,".. 這麼 大 吧 ."
111,F1:,".. 真的 嗎 ."
111,F1:,".. 可是 ,"
,,".. 它 才 只有 幾管 ."
112,F2:,".. 而且 還 --;"
113,F1:,".. 它 有 升降音 嗎 ?"
113,F1:,".. 就 跟 鋼琴 一 樣 ."
114,F2:,".. 有 啊 ,"
114,F2:,".. 這 都 是 do rei mi fa so la si do 啊 ."
115,F1:,".. 真的 嗎 ,"
,,".. 沒 [見 過] ."
116,F2:,"[對 啊]"
116,F2:,"... 但 --;"
117,F1:,".. 全部 都 是 灰色 ."
118,F2:,"... 我 覺得 好 高 ."
119,F1:,".. 有 一百八十 --;"
120,F2:,".. 而且 我 還加 了"
120,F2:,".. 槌子 ,"
,,".. 的 高度 ."
121,F1:,".. 噢 也 對[@ @ @ =] ."
122,F2:,"[@ @ ."
122,F2:,".. 又 多 了] ."
123,F1:,"@ 還好 有 [[槌子]] @ ."
124,F2:,"[[如果 這樣]] 一百五 的 話 --"
124,F2:,".. 這樣 可能 一百六 ."
124,F2:,".. 然後 再 槌子 ,"
124,F2:,".. 可能 一百八 喔 ."
125,F1:,".. 才能 敲到 嗎 ?"
126,F2:,".. 一百七 吧 ,"
126,F2:,".. 一百七 吧 ."
127,F1:,".. 好 吧 ."
127,F1:,"... 哇塞 ."
128,F2:,"... 欸 ,"
,,"妳 上次 用 這個 杯子 耶 ."
129,F1:,".. 有點 搞 不 清楚 ,"
129,F1:,".. 應該 洗過 了 ."
129,F1:,".. 可以 吃 一個 ."
130,F2:,".. um ."
,,"[妳 吃 啊 這個 ,"
,,"我 沒有 在 吃] ."
131,F1:,"[妳 為什麼 沒有 用 那個] ."
131,F1:,"... 這個 要 --"
132,F2:,".. 你 隨便 沾 ."
,,"我 沒有 在 吃[[醬 ."
132,F2:,".. 我 很少 吃 醬]] ."
133,F1:,"[[欸 ,"
133,F1:,".. 這 是 和 風]] ."
133,F1:,".. 喔 ,"
133,F1:,".. 對不起 ,"
133,F1:,".. 這個 是 給 它 ."
134,F2:,".. 噢 ,"
134,F2:,".. 你 要 那個 醬 ."
135,F1:,"... [Y A] !"
136,F2:,"[那 我 不 愛 吃 到 的] ,"
136,F2:,".. 都 沒有 拿 出來 ."
136,F2:,".. @ @ ."
137,F1:,".. 太 好 了 我 的 糖醋 醬 ."
138,F2:,".. 好險 我 沒有 退 這個 ."
138,F2:,".. [[一般]] --"
139,F1:,"[[它 這個]] ,"
139,F1:,".. 要 付錢 才 能 買 ."
139,F1:,".. 才 能 --"
139,F1:,".. 如果 妳 沒有 買 ,"
,,"麥克 雞塊 就要 付 五塊 錢 才 可以 有 ."
140,F2:,".. 誰 會 --"
140,F2:,".. 妳 ,"
140,F2:,".. 妳 會 付 五塊 錢 買 那個 嗎 ?"
141,F1:,".. 上次 我 就 付 五 塊 錢 買 ,"
,,"[因為 我 想 要 好好] 地 吃 薯條 ."
142,F2:,"[有 那麼 好吃 嗎] ."
143,F1:,"... 欸 ,"
143,F1:,".. 薯條 配 這個 也 很 好吃 啊 ."
144,F2:,".. 是 嗎 ?"
145,F1:,".. 點頭 ."
146,F2:,".. 我 不 吃 醬 ."
146,F2:,".. 就是 不 ,"
146,F2:,".. 覺得 沒事 的 ."
146,F2:,".. 沒事--"
,,"這種 就要 配醬 ."
147,F1:,".. um ."
148,F2:,".. 這種 沒事 的 ,"
,,"我 就 覺得 不 用 配醬 ."
149,F1:,".. 嗯"
149,F1:,"... 這 沒 什麼 味道 啊 @ @ ."
150,F2:,".. 哪 有 ,"
150,F2:,".. 很 好吃 啊 ."
151,F1:,"... 我 --"
,,"我 吃 火鍋 ,"
,,"都 不 知道 到底 是 為 了 吃 火鍋 ，"
