Turn,Speaker,Utterance
1,M:,"我 今天 有 跟 你 講 .. 那 個 ,"
1,M:,".. Jason 的 事 嗎 ."
2,F:,".. 沒有 啊 ."
3,M:,".. 就是 ,"
4,F:,".. 他 抱 你 ."
5,M:,".. 對 ."
5,M:,".. 他 ,"
5,M:,".. 他 因為 做錯 ,"
5,M:,".. 不 知道 做錯 甚麼 事情 ,"
5,M:,".. 然後 就 覺得 很 對不起 我 ."
6,F:,".. 嗯 ."
7,M:,".. 然後 他 就 說 ,"
7,M:,".. eh 朱 怎樣 怎樣 ,"
7,M:,".. 然後 我 就 說 停止 放開 ,"
7,M:,".. 這個 不是 你 能 抱 的 ."
7,M:,".. 只有 一 個 人 可以 抱 而已 ."
8,F:,".. [@@@]= 你 這樣 跟 他 講 ."
9,M:,"[@@@=]"
10,M:,".. 對 ."
10,M:,".. 然後 他 整 個 人 喔 喔 喔 ."
10,M:,".. 這樣 .. 趕快 放開 ."
11,F:,".. @"
12,M:,".. 然後 第二 次 喔 ."
12,M:,".. 第二 次 我 坐 在 辦公室 ."
12,M:,".. 他 過 來 ."
12,M:,"我 不 知道 ,"
12,M:,".. 承認 甚麼 事 ,"
12,M:,".. 又 錯 ."
12,M:,".. 然後 就 過來 摸 我 的 頭 ."
12,M:,".. 我 說 --"
12,M:,"手 拿 開 ."
12,M:,".. 這個 也 不是 你 能夠 摸 的 [@@@=] ."
13,F:,"[@@@=]"
14,M:,"他 整 個 人 很 尷尬 ."
15,F:,"你 很 over 吧 ."
15,F:,".. 可是 很 好 ."
15,F:,".. 以後 [就 這樣] ."
16,M:,"[對 啊] ."
17,F:,".. [[@@@]]"
18,M:,"[[@@@]]"
18,M:,".. 他 也 很 好笑 啊 ."
18,M:,".. 然後 他 說 ,"
18,M:,"我 快 被 淹死 了 ."
19,F:,".. 你 ."
20,M:,".. 嗯 ."
21,F:,".. 你 淹死 ."
22,M:,".. 嗯 ."
23,F:,".. 為甚麼 ."
24,M:,".. 因為 他 說 我 沈浸 在 愛河 裡面 ."
24,M:,".. 快 被 淹死 了 ."
25,F:,".. 那 跟 掃 螞蟻 有 甚麼 兩樣 ."
