"","TurnSeq","Speaker","Utterance","IUSeq"
"1",1,"M:","我 今天 有 跟 你 講 (.) 那 個 ,",1
"2",1,"M:","(.) Jason 的 事 嗎 .",2
"3",2,"F:","(.) 沒有 啊 .",3
"4",3,"M:","(.) 就是 ,",4
"5",4,"F:","(.) 他 抱 你 .",5
"6",5,"M:","(.) 對 .",6
"7",5,"M:","(.) 他 ,",7
"8",5,"M:","(.) 他 因為 做錯 ,",8
"9",5,"M:","(.) 不 知道 做錯 甚麼 事情 ,",9
"10",5,"M:","(.) 然後 就 覺得 很 對不起 我 .",10
"11",6,"F:","(.) 嗯 .",11
"12",7,"M:","(.) 然後 他 就 說 ,",12
"13",7,"M:","(.) eh 朱 怎樣 怎樣 ,",13
"14",7,"M:","(.) 然後 我 就 說 停止 放開 ,",14
"15",7,"M:","(.) 這個 不是 你 能 抱 的 .",15
"16",7,"M:","(.) 只有 一 個 人 可以 抱 而已 .",16
"17",8,"F:","(.) [@@@]= 你 這樣 跟 他 講 .",17
"18",9,"M:","[@@@=]",18
"19",10,"M:","(.) 對 .",19
"20",10,"M:","(.) 然後 他 整 個 人 喔 喔 喔 .",20
"21",10,"M:","(.) 這樣 (.) 趕快 放開 .",21
"22",11,"F:","(.) @",22
"23",12,"M:","(.) 然後 第二 次 喔 .",23
"24",12,"M:","(.) 第二 次 我 坐 在 辦公室 .",24
"25",12,"M:","(.) 他 過 來 .",25
"26",12,"M:","我 不 知道 ,",26
"27",12,"M:","(.) 承認 甚麼 事 ,",27
"28",12,"M:","(.) 又 錯 .",28
"29",12,"M:","(.) 然後 就 過來 摸 我 的 頭 .",29
"30",12,"M:","(.) 我 說 --",30
"31",12,"M:","手 拿 開 .",31
"32",12,"M:","(.) 這個 也 不是 你 能夠 摸 的 [@@@=] .",32
"33",13,"F:","[@@@=]",33
"34",14,"M:","他 整 個 人 很 尷尬 .",34
"35",15,"F:","你 很 over 吧 .",35
"36",15,"F:","(.) 可是 很 好 .",36
"37",15,"F:","(.) 以後 [就 這樣] .",37
"38",16,"M:","[對 啊] .",38
"39",17,"F:","(.) [2@@@2]",39
"40",18,"M:","[2@@@2]",40
"41",18,"M:","(.) 他 也 很 好笑 啊 .",41
"42",18,"M:","(.) 然後 他 說 ,",42
"43",18,"M:","我 快 被 淹死 了 .",43
"44",19,"F:","(.) 你 .",44
"45",20,"M:","(.) 嗯 .",45
"46",21,"F:","(.) 你 淹死 .",46
"47",22,"M:","(.) 嗯 .",47
"48",23,"F:","(.) 為甚麼 .",48
"49",24,"M:","(.) 因為 他 說 我 沈浸 在 愛河 裡面 .",49
"50",24,"M:","(.) 快 被 淹死 了 .",50
"51",25,"F:","(.) 那 跟 掃 螞蟻 有 甚麼 兩樣 .",51
"52",26,"M:","(.) 對 啊 .",52
"53",26,"M:","(.) 整個 很 好笑 [喜歡 虧 我] .",53
"54",27,"F:","[他 那天 很 好笑] .",54
"55",27,"F:","(.) 掃地 就 掃地 .",55
"56",27,"F:","(.) 掃 甚麼 .",56
"57",27,"F:","(.) [2掃 螞蟻2] .",57
"58",28,"M:","[2掃 螞蟻2] .",58
"59",28,"M:","(.) @",59
"60",29,"F:","(.) 為甚麼 .",60
"61",30,"M:","(.) 啊 .",61
"62",31,"F:","(.) [為]甚麼 要 掃 螞蟻 .",62
"63",32,"M:","[就] ,",63
"64",33,"M:","(.) 就 ,",64
"65",33,"M:","(.) 太 甜 了 啊 .",65
"66",33,"M:","(.) 吸引 一 堆 螞蟻 過來 .",66
"67",34,"F:","(.) @@@=",67
"68",35,"M:","(.) 笑 得 太 甜 了 .",68
"69",35,"M:","(...) Jason 其實 人 --",69
"70",35,"M:","(.) 人 很 好 .",70
"71",36,"F:","(.) 對 啊 .",71
"72",36,"F:","(.) 我們 改天 找 他 吃 [2飯 哪2] .",72
"73",37,"M:","[2有 啊 我 有 跟 他 講2] .",73
"74",38,"M:","(.) 對 啊 .",74
"75",39,"F:","那 ,",75
"76",39,"F:","(.) 那 這個 就 真的 你 來 排 了 .",76
"77",40,"M:","(.) 嗯 .",77
"78",40,"M:","(.) 好 .",78
"79",41,"F:","(.) 反正 我 就是 晚上 .",79
"80",42,"M:","(.) 嗯 .",80
"81",43,"F:","(.) 如果 不是 weekend 的 話 .",81
"82",44,"M:","(.) OK .",82
"83",44,"M:","(...) 可以 叫 他 帶 他 女朋友 .",83
"84",44,"M:","(.) 沒有 [曝光 的] .",84
"85",45,"F:","[<# 有 伴 #>] .",85
"86",46,"M:","(.) <# 有 伴 #> .",86
"87",46,"M:","(.) 沒有 曝 ,",87
"88",46,"M:","(.) 曝光 過 的 .",88
"89",47,"F:","(.) 到 現在 都 沒有 嗎 .",89
"90",48,"M:","(.) 大家 應該 --",90
"91",48,"M:","大家 現在 應該 知道 ,",91
"92",48,"M:","(.) 可是 你 想想 看 他們 交往 多久 了 .",92
"93",48,"M:","(.) 三年 了 .",93
"94",48,"M:","(.) 三年 le .",94
"95",48,"M:","(.) 然後 他 一直 隱藏 得 很 好 .",95
"96",49,"F:","(.) 很 久 嗎 .",96
"97",50,"M:","(.) 可是 在 公司 來講 他們 是 同一 個 部門 .",97
"98",50,"M:","(.) 在 同一 個 部[門] .",98
"99",51,"F:","[喔] 你 是 說 ,",99
"100",51,"F:","時間 很 久 (.) 可是 是 --",100
"101",51,"F:","(.) 大家 不 知道 的 情況 之下 ,",101
"102",52,"M:","(.) 對 .",102
"103",53,"F:","(.) 還 那麼 久 又 同 部門 .",103
"104",54,"M:","(.) 對 .",104
"105",54,"M:","(.) 然後 都 沒有 一些 破綻 .",105
"106",55,"F:","(.) 你 講 的 這 (.) 我 那天 不是 跟 V 聊天 ,",106
"107",55,"F:","(.) 我 就 說 ,",107
"108",55,"F:","(.) 喔 ,",108
"109",55,"F:","(.) 有 可能 E 又 要 調 回去 高雄 了 .",109
"110",56,"M:","(.) 嗯 .",110
"111",57,"F:","(.) 然後 他 就 說 那天 他 跟 鈴 聊 很 久 啊 .",111
"112",57,"F:","(.) 甚麼 的 .",112
"113",57,"F:","(.) 然後 就 說 他 了解 E 的 處境 啊 .",113
"114",57,"F:","(.) 畢竟 在 同一 個 公司 綁手綁腳 的 .",114
"115",57,"F:","(.) 我 就 不 認同 .",115
"116",57,"F:","(...) 我 沒有 回 他 甚麼 .",116
"117",57,"F:","(.) 我 只是 覺得 說 ,",117
"118",57,"F:","(.) 但是 ,",118
"119",57,"F:","我 覺得 ,",119
"120",57,"F:","(.) 琴 他 能力 也 不錯 .",120
"121",57,"F:","(.) 他 [應該] ,",121
"122",58,"M:","[對 啊] .",122
"123",59,"F:","(.) deserve it .",123
"124",59,"F:","(.) [2然後2] ,",124
"125",60,"M:","[2eh .",125
"126",60,"M:","(.) 其實2] 他 比 任何 一 個 主任 的 觀念 都 還 好 .",126
"127",61,"F:","(.) 對 .",127
"128",61,"F:","(.) 然後 ,",128
"129",61,"F:","(.) 他 就 說 ,",129
"130",61,"F:","他 覺得 琴 看 起來 很 強勢 .",130
"131",62,"M:","(.) 嗯 .",131
"132",63,"F:","(.) 或許 應該 要 建議 他 跟 ,",132
"133",63,"F:","(.) 他 說 他 可能 跟 ,",133
"134",63,"F:","(.) E 的 溝通 沒有 很 好 .",134
