filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM016_temp.,1,1,M:,我
NCCU-TM016_temp.,1,1,M:,今天
NCCU-TM016_temp.,1,1,M:,有
NCCU-TM016_temp.,1,1,M:,跟
NCCU-TM016_temp.,1,1,M:,你
NCCU-TM016_temp.,1,1,M:,講
NCCU-TM016_temp.,1,1,M:,(.)
NCCU-TM016_temp.,1,1,M:,那
NCCU-TM016_temp.,1,1,M:,個
NCCU-TM016_temp.,1,1,M:,","
NCCU-TM016_temp.,1,2,M:,(.)
NCCU-TM016_temp.,1,2,M:,Jason
NCCU-TM016_temp.,1,2,M:,的
NCCU-TM016_temp.,1,2,M:,事
NCCU-TM016_temp.,1,2,M:,嗎
NCCU-TM016_temp.,1,2,M:,.
NCCU-TM016_temp.,2,3,F:,(.)
NCCU-TM016_temp.,2,3,F:,沒有
NCCU-TM016_temp.,2,3,F:,啊
NCCU-TM016_temp.,2,3,F:,.
NCCU-TM016_temp.,3,4,M:,(.)
NCCU-TM016_temp.,3,4,M:,就是
NCCU-TM016_temp.,3,4,M:,","
NCCU-TM016_temp.,4,5,F:,(.)
NCCU-TM016_temp.,4,5,F:,他
NCCU-TM016_temp.,4,5,F:,抱
NCCU-TM016_temp.,4,5,F:,你
NCCU-TM016_temp.,4,5,F:,.
NCCU-TM016_temp.,5,6,M:,(.)
NCCU-TM016_temp.,5,6,M:,對
NCCU-TM016_temp.,5,6,M:,.
NCCU-TM016_temp.,5,7,M:,(.)
NCCU-TM016_temp.,5,7,M:,他
NCCU-TM016_temp.,5,7,M:,","
NCCU-TM016_temp.,5,8,M:,(.)
NCCU-TM016_temp.,5,8,M:,他
NCCU-TM016_temp.,5,8,M:,因為
NCCU-TM016_temp.,5,8,M:,做錯
NCCU-TM016_temp.,5,8,M:,","
NCCU-TM016_temp.,5,9,M:,(.)
NCCU-TM016_temp.,5,9,M:,不
NCCU-TM016_temp.,5,9,M:,知道
NCCU-TM016_temp.,5,9,M:,做錯
NCCU-TM016_temp.,5,9,M:,甚麼
NCCU-TM016_temp.,5,9,M:,事情
NCCU-TM016_temp.,5,9,M:,","
NCCU-TM016_temp.,5,10,M:,(.)
NCCU-TM016_temp.,5,10,M:,然後
NCCU-TM016_temp.,5,10,M:,就
NCCU-TM016_temp.,5,10,M:,覺得
NCCU-TM016_temp.,5,10,M:,很
NCCU-TM016_temp.,5,10,M:,對不起
NCCU-TM016_temp.,5,10,M:,我
NCCU-TM016_temp.,5,10,M:,.
NCCU-TM016_temp.,6,11,F:,(.)
NCCU-TM016_temp.,6,11,F:,嗯
NCCU-TM016_temp.,6,11,F:,.
NCCU-TM016_temp.,7,12,M:,(.)
NCCU-TM016_temp.,7,12,M:,然後
NCCU-TM016_temp.,7,12,M:,他
NCCU-TM016_temp.,7,12,M:,就
NCCU-TM016_temp.,7,12,M:,說
NCCU-TM016_temp.,7,12,M:,","
NCCU-TM016_temp.,7,13,M:,(.)
NCCU-TM016_temp.,7,13,M:,eh
NCCU-TM016_temp.,7,13,M:,朱
