filename,TurnSeq,IUSeq,Speaker,Utterance
NCCU-TM026-CN-MM_dft.,1,1,M1,(0)
NCCU-TM026-CN-MM_dft.,1,1,M1,eh
NCCU-TM026-CN-MM_dft.,1,1,M1,啊
NCCU-TM026-CN-MM_dft.,1,1,M1,","
NCCU-TM026-CN-MM_dft.,2,2,M1,(...)
NCCU-TM026-CN-MM_dft.,2,2,M1,(1.4)
NCCU-TM026-CN-MM_dft.,2,2,M1,最近
NCCU-TM026-CN-MM_dft.,2,2,M1,都
NCCU-TM026-CN-MM_dft.,2,2,M1,沒有
NCCU-TM026-CN-MM_dft.,2,2,M1,跟
NCCU-TM026-CN-MM_dft.,2,2,M1,那
NCCU-TM026-CN-MM_dft.,2,2,M1,些
NCCU-TM026-CN-MM_dft.,2,2,M1,人
NCCU-TM026-CN-MM_dft.,2,2,M1,","
NCCU-TM026-CN-MM_dft.,3,3,M1,(.)
NCCU-TM026-CN-MM_dft.,3,3,M1,那個
NCCU-TM026-CN-MM_dft.,3,3,M1,啊
NCCU-TM026-CN-MM_dft.,3,3,M1,?
NCCU-TM026-CN-MM_dft.,4,4,M1,(...)
NCCU-TM026-CN-MM_dft.,4,4,M1,[最近
NCCU-TM026-CN-MM_dft.,4,4,M1,是]
NCCU-TM026-CN-MM_dft.,4,4,M1,--
NCCU-TM026-CN-MM_dft.,5,5,M2,[比較
NCCU-TM026-CN-MM_dft.,5,5,M2,少
NCCU-TM026-CN-MM_dft.,5,5,M2,一
NCCU-TM026-CN-MM_dft.,5,5,M2,點
NCCU-TM026-CN-MM_dft.,5,5,M2,喔]
NCCU-TM026-CN-MM_dft.,5,5,M2,.
NCCU-TM026-CN-MM_dft.,6,6,M2,(...)
NCCU-TM026-CN-MM_dft.,6,6,M2,(3.4)
NCCU-TM026-CN-MM_dft.,6,6,M2,因為
NCCU-TM026-CN-MM_dft.,6,6,M2,","
NCCU-TM026-CN-MM_dft.,7,7,M2,(...)
NCCU-TM026-CN-MM_dft.,7,7,M2,(1.4)
NCCU-TM026-CN-MM_dft.,7,7,M2,現在
NCCU-TM026-CN-MM_dft.,7,7,M2,大家
NCCU-TM026-CN-MM_dft.,7,7,M2,也
NCCU-TM026-CN-MM_dft.,7,7,M2,各
NCCU-TM026-CN-MM_dft.,7,7,M2,忙
NCCU-TM026-CN-MM_dft.,7,7,M2,各
NCCU-TM026-CN-MM_dft.,7,7,M2,的
NCCU-TM026-CN-MM_dft.,7,7,M2,.
NCCU-TM026-CN-MM_dft.,8,8,M2,(.)
