,Tokenisation1,Tokenisation2,IU1,IU2,IUTiebreaker,Done?
1,Lu,Sirui,Ryan,Lu,Haoran,
2,Harry,Haoran,,,,
3,,,,,,
4,Haoran,Sabrina,Haoran,Sabrina,Yujie,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,Yujie,Ryan,Yujie,Ryan,Discussion,Yes
10,,,,,,
11,,,,,,
12,,,,,,
13,Yuting,Sabrina,,,,
14,,,,,,
15,,,,,,
16,Jack,Sunny,Ryan,Sunny,Lu,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,Ryan,Yujie,Ryan,Yujie,Yuting,
26,Group,Group,Sherry,,Lu,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,Sabrina,Yujie,Sabrina,Yujie,Discussion,Yes
37,,,,,,
38,,,,,,
39,Yuting,Lu,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,Danni,Shujie,Danni,Shujie,Discussion,Yes
