"","Sequence","Speaker","Utterance","X"
"1",1,"M1:"," (0)  eh 啊 ,","Angelina"
"2",2,"M1:"," ... (1. 4) 最近 都 沒有 跟 那些 人 ,",""
"3",3,"M1:"," .. 那 個 啊 ?",""
"4",4,"M1:"," ... [ 最近 是 ] --",""
"5",5,"M2:"," [ 比 較 少 一 點 喔 ] .",""
"6",6,"M2:"," ... (3.4) 因 為 ,",""
"7",7,"M2:"," ... (1.4) 現 在 大家 也 各 忙 各 的 .",""
"8",8,"M2:"," .. 反正 我 就 做 我 的 <L 2 trading L2. >",""
"9",9,"M2:"," ... (1.5) 搞 我 自己 的 東西 .",""
"10",10,"M1:"," (0)   可是 ,",""
"11",NA,"M1:"," 走掉 的 也 很多 啊 ?",""
"12",11,"M2:"," (0)   [um] .",""
"13",NA,"M2:"," XXX 像 --",""
"14",NA,"M2:"," 喔 有 啦 ,",""
"15",12,"M2:"," .. <L 2 Mark L2我 > 最近 比 較常 跟 他 聯絡 .",""
"16",13,"M2:"," .. 蔡 .",""
"17",14,"M1:"," .. 蔡喔 .",""
"18",15,"M2:"," .. 他 自己 --",""
"19",NA,"M2:"," 現 在 自己 在 做 交易 .",""
"20",NA,"M2:"," 所以 我 們還 蠻 多 ,",""
"21",NA,"M2:"," .. 互相 交流 的 .",""
"22",17,"M1:"," .. 我 知道 他 從 自營部 離開 呀 .",""
"23",18,"M2:"," ... (1.3) 他 現 在 在 那 個 什麼 ,",""
"24",19,"M2:"," ... (1. 0) 忠 孝敦化 的 路口 .",""
"25",20,"M2:"," .. 有 一 個 太平洋 證券 .",""
"26",NA,"M2:"," 它 裡面 弄 了 個 --",""
"27",21,"M2:"," ... 操盤室 他 在 裡面 弄 .",""
"28",NA,"M2:"," 因為 好像 那 一家 分公司 的 經理 .",""
"29",NA,"M2:"," 跟 他 是 好 朋友 .",""
"30",22,"M1:"," ... (2.8) 太平洋 證券 還 在 唷 ?",""
"31",23,"M2:"," (0)   [um] ?",""
"32",24,"M1:"," .. 太平洋 證券 [還 在 XX ] ?",""
"33",25,"M2:"," [ <@ 對 .",""
"34",NA,"M2:"," 還 在 @>] @ .",""
"35",26,"M2:"," .. 全 台灣 有 幾個 點 .",""
"36",27,"M1:"," .. [um] .",""
"37",28,"M2:"," .. 我 是 不 知道 他們 是 靠 什麼 做 .",""
"38",NA,"M2:"," 反正 那 一 間 --",""
"39",NA,"M2:"," 那 個 點還 在 .",""
"40",NA,"M2:"," 然後 <L2 Mark L2>還 在 裡面 操盤 .",""
"41",29,"M2:"," ... (1. 0) 所以 最近 我 們 常常 在 那 邊 跟 他 聊 .",""
"42",NA,"M2:"," 所以 下 -",""
"43",NA,"M2:"," 接下來 ,",""
"44",NA,"M2:"," 下個 禮拜 可能 找 他 跟 --",""
"45",30,"M2:"," .. 李 呀 什麼 吃 個飯 .",""
"46",NA,"M2:"," 反正 既然 都 在 操盤 大家 聊 一 聊 交流 [交 流] .",""
"47",31,"M1:"," [X ]",""
"48",32,"M1:"," ... 小樓 這件 事 嗎 ?",""
"49",33,"M2:"," (0)   [um] ?",""
"50",34,"M1:"," .. 小樓 .",""
"51",35,"M2:"," .. 有 見過 一 兩 次 .",""
"52",NA,"M2:"," 不 太 熟 .",""
"53",36,"M1:"," (0)   [um] .",""
"54",37,"M1:"," ... (1.7) 大概 黃 比 較熟 吧 ?",""
"55",38,"M2:"," .. [um] .",""
"56",39,"M1:"," ... (3 . 9) 那 時候 我 當 小 特助 的 時候 ,",""
"57",NA,"M1:"," 他 是 董事 .",""
"58",40,"M2:"," (1.9)   他 後來 是 不是 在 澳門 當 ,",""
"59",41,"M1:"," (0)   [um] .. 對 .",""
"60",43,"M2:"," (0)  [ 公務 員] ?",""
"61",44,"M1:"," [司 法] -",""
"62",NA,"M1:"," 司法 警察 .",""
"63",45,"M1:"," ... (2.4) 他 老婆 的 問題 還沒 解決 .",""
"64",NA,"M1:"," 很 麻煩 .",""
"65",46,"M2:"," ... (1.7) 他 老婆 是 --",""
"66",47,"M2:"," ... 原本 就 有 那 樣 的 狀 況然 後 後來 才 展現 出來 .",""
"67",NA,"M2:"," 還 是 說 ,",""
"68",48,"M2:"," ... 後來 才 得 憂鬱症 .",""
"69",49,"M1:"," (0)   後來 更 嚴重 .",""
"70",50,"M1:"," .. 聽說 原 -",""
"71",NA,"M1:"," 本來 就 < L 3 siau1 siaul L 3 . >",""
"72",51,"M2:"," ... (2.7) 幾 年前 我 跟 ,",""
"73",52,"M2:"," ... (1. 9) 嘉 跟 李跑去 澳門 玩 .",""
"74",53,"M1:"," .. 喔 .",""
"75",54,"M2:"," (0)   有 跟 他 們一起 吃 飯 .",""
"76",NA,"M2:"," 可是 那 時候 他 老婆 看起來 很 正常 .",""
"77",55,"M1:"," ... (4.7) 那 次 以後 啦 .",""
"78",56,"M2:"," ... (1. 4) 是 喔 .",""
"79",57,"M2:"," ... 可是 我 上次 見到 她 應該 是 零九 年 喔 .",""
"80",58,"M1:"," (0)   [um] .",""
"81",59,"M2:"," ... 那 時候 她 還蠻 正常 的 .",""
"82",60,"M2:"," ... (2.5) 沒 想到 後來 就 變 那 個 樣子 .",""
"83",61,"M1:"," (0)   [um] ,",""
"84",62,"M1:"," .. 他 跟 我 講說 ,",""
"85",63,"M1:"," .. 他 ,",""
"86",64,"M1:"," ... (1.1) 把 他 丟 --",""
"87",65,"M1:"," .. 就是 ,",""
"88",66,"M1:"," .. 落跑 來台 灣 .",""
"89",67,"M2:"," ... (1. 7) 是 喔 .",""
"90",68,"M2:"," ... (1.7) 那 怎麼 辦 ?",""
"91",69,"M1:"," ... (1. 0) 沒 有 啊 ,",""
"92",70,"M1:"," .. 就 ,",""
"93",71,"M1:"," .. 他 司法 警察 也 不 能 跑 啊 .",""
"94",72,"M1:"," ... 總 不 能 跑 走 .",""
"95",NA,"M1:"," 大概 帶 得 回來 台灣 就 回 台灣 啊 .",""
"96",73,"M1:"," ... (1.7) 比 較慘 的 地方 就是 說 ,",""
"97",74,"M1:"," .. 小朋友 那 時候 在 美 國生 的 啊 .",""
"98",75,"M1:"," ... (1. 0) 拿 美國 護照 .",""
"99",76,"M1:"," .. 他 回來 台灣 ,",""
"100",77,"M1:"," .. 他 在 台 -",""
"101",78,"M1:"," .. 美國 護照 又 過期 .",""
"102",NA,"M1:"," 他 沒辦 法辦 台灣 護照 .",""
"103",79,"M2:"," ... (1.7) 這 很 誇張 耶 .",""
"104",NA,"M2:"," 怎麼 --",""
"105",80,"M1:"," (0)   他 媽媽 扣住 他 的 美國 護照 不 讓 他 動 .",""
"106",81,"M1:"," ... 就 沒辦法 <L2 renewL2啊 > .",""
"107",82,"M1:"," ... (4. 2) 小孩子 在 父親 手上 .",""
"108",83,"M2:"," ... (3.4) 還 有 這種 事 喔 .",""
"109",84,"M1:"," .. [um] .",""
